META; english/premier-league/middlesbrough-v-burnley; 2017-04-01 22:41:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; ; ; 1; ; ; 21/20; 11/10; 11/10; 11/10; ; ; 21/20; ; ; ; 11/10; 21/20; 1; ; ; 59/50; ; ; ; ; ; ; ; 
Middlesbrough; 13/10; 7/5; 1; 13/10; 13/10; 7/5; 29/20; 11/10; 7/5; 13/10; 11/8; 29/20; 27/20; 7/5; 13/10; 7/5; 23/17; 13/10; 13/10; 23/17; 7/5; ; 13/10; ; 13/10; ; ; ; 
Draw; 11/5; 2; 12/5; 2; 11/5; 23/10; 21/10; 11/5; 11/5; 21/10; 19/10; 2; 21/10; 12/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; ; 11/5; ; 11/5; ; ; ; 
Burnley; 11/5; 9/4; 5/2; 21/10; 11/5; 43/20; 12/5; 5/2; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 21/10; 21/10; 11/5; 21/10; 12/5; ; 11/5; ; 11/5; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-03 14:16:11 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 13/10; 13/10; 7/5; 29/20; 5/4; 7/5; 13/10; 11/8; 7/5; 27/20; 7/5; 13/10; 7/5; 23/17; 13/10; 13/10; 23/17; 7/5; 26/19; 13/10; ; 13/10; ; ; ; 
Draw; 11/5; 2; 41/20; 2; 11/5; 11/5; 21/10; 11/5; 11/5; 21/10; 19/10; 2; 21/10; 12/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 28/13; 11/5; ; 11/5; ; ; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 11/5; 2; 11/5; 11/5; 2; 23/10; 23/10; 28/13; 21/10; 11/5; 28/13; 12/5; 9/4; 11/5; ; 11/5; ; ; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-03 18:16:25 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Middlesbrough; 13/10; 7/5; 29/20; 13/10; 13/10; 7/5; 29/20; 5/4; 7/5; 11/8; 11/8; 7/5; 27/20; 7/5; 13/10; 7/5; 23/17; 23/17; 13/10; 23/17; 7/5; 26/19; 13/10; ; 13/10; ; 11/8; ; 
Draw; 11/5; 2; 41/20; 2; 11/5; 11/5; 21/10; 11/5; 11/5; 2; 19/10; 2; 21/10; 12/5; 11/5; 11/5; 28/13; 21/10; 11/5; 28/13; 9/4; 28/13; 11/5; ; 11/5; ; 2; ; 
Burnley; 11/5; 9/4; 43/20; 21/10; 11/5; 23/10; 12/5; 23/10; 11/5; 9/4; 2; 11/5; 11/5; 2; 23/10; 23/10; 11/5; 21/10; 11/5; 11/5; 12/5; 9/4; 11/5; ; 11/5; ; 23/10; ; 
META; english/premier-league/middlesbrough-v-burnley; 2017-04-03 22:16:20 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
