META; english/league-cup/walsall-v-yeovil; 2016-07-12 13:08:29 GMT+3; 2016-08-09 19:45; e70300-dr003
Walsall; 5/6; ; 5/6; 4/5; ; 5/6; 4/5; ; ; 5/6; ; 4/5; ; 4/5; ; 5/6; ; 5/6; 5/6; 5/6; 4/5; 11/13; ; ; 1/100; ; 
Draw; 5/2; ; 5/2; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 5/2; ; 5/2; ; 5/2; ; 5/2; 5/2; 5/2; 12/5; 11/4; ; ; 1/100; ; 
Yeovil; 10/3; ; 10/3; 16/5; ; 16/5; 17/5; ; ; 33/10; ; 16/5; ; 10/3; ; 7/2; ; 33/10; 13/4; 3; 41/13; 18/5; ; ; 1/100; ; 
META; english/league-cup/walsall-v-yeovil; 2016-07-12 16:20:32 GMT+3; 2016-08-09 19:45; e70300-dr003
Walsall; 5/6; ; 5/6; 4/5; ; 5/6; 4/5; ; ; 5/6; ; 4/5; ; 4/5; ; 5/6; ; 5/6; 5/6; 5/6; 4/5; 11/13; ; ; 1/100; ; 
Draw; 5/2; ; 5/2; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 5/2; ; 5/2; ; 5/2; ; 5/2; 5/2; 5/2; 12/5; 11/4; ; ; 1/100; ; 
Yeovil; 10/3; ; 10/3; 16/5; ; 16/5; 17/5; ; ; 33/10; ; 16/5; ; 10/3; ; 7/2; ; 33/10; 13/4; 3; 41/13; 18/5; ; ; 1/100; ; 
META; english/league-cup/walsall-v-yeovil; 2016-07-12 20:22:12 GMT+3; 2016-08-09 19:45; e70300-dr003
Walsall; 5/6; ; 5/6; 4/5; ; 5/6; 4/5; ; ; 5/6; ; 4/5; ; 4/5; ; 5/6; ; 5/6; 5/6; 5/6; 4/5; 11/13; ; ; 1/100; ; 
Draw; 5/2; ; 5/2; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 5/2; ; 5/2; ; 5/2; ; 5/2; 5/2; 5/2; 12/5; 11/4; ; ; 1/100; ; 
Yeovil; 10/3; ; 10/3; 16/5; ; 16/5; 17/5; ; ; 33/10; ; 16/5; ; 10/3; ; 7/2; ; 33/10; 13/4; 3; 41/13; 18/5; ; ; 1/100; ; 
