META; english/league-cup/peterborough-v-afc-wimbledon; 2016-07-12 13:08:07 GMT+3; 2016-08-09 19:45; e70300-dr003
Peterborough; 10/11; ; 10/11; 10/11; ; 9/10; 9/10; ; ; 9/10; ; 20/23; ; 9/10; ; 19/20; ; 9/10; 9/10; 9/10; 13/15; 19/20; ; ; 1/100; ; 
Draw; 12/5; ; 5/2; 5/2; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 49/20; ; 5/2; ; 12/5; 12/5; 12/5; 40/17; 13/5; ; ; 9/4; ; 
AFC Wimbledon; 3; ; 3; 14/5; ; 3; 31/10; ; ; 3; ; 14/5; ; 3; ; 3; ; 3; 3; 3; 29/10; 13/4; ; ; 1/100; ; 
META; english/league-cup/peterborough-v-afc-wimbledon; 2016-07-12 16:20:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Peterborough; 10/11; ; 10/11; 10/11; ; 9/10; 9/10; ; ; 9/10; ; 20/23; ; 9/10; ; 19/20; ; 9/10; 9/10; 9/10; 13/15; 19/20; ; ; 1/100; ; 
Draw; 12/5; ; 5/2; 5/2; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 49/20; ; 5/2; ; 12/5; 12/5; 12/5; 40/17; 13/5; ; ; 9/4; ; 
AFC Wimbledon; 3; ; 3; 14/5; ; 3; 31/10; ; ; 3; ; 14/5; ; 3; ; 3; ; 3; 3; 3; 29/10; 13/4; ; ; 1/100; ; 
META; english/league-cup/peterborough-v-afc-wimbledon; 2016-07-12 20:21:50 GMT+3; 2016-08-09 19:45; e70300-dr003
Peterborough; 10/11; ; 10/11; 10/11; ; 9/10; 9/10; ; ; 9/10; ; 20/23; ; 9/10; ; 19/20; ; 9/10; 9/10; 9/10; 13/15; 19/20; ; ; 1/100; ; 
Draw; 12/5; ; 5/2; 5/2; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 49/20; ; 5/2; ; 12/5; 12/5; 12/5; 40/17; 13/5; ; ; 9/4; ; 
AFC Wimbledon; 3; ; 3; 14/5; ; 3; 31/10; ; ; 3; ; 14/5; ; 3; ; 3; ; 3; 3; 3; 29/10; 13/4; ; ; 1/100; ; 
