META; english/league-cup/oldham-v-wigan; 2016-07-12 13:08:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/100; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/100; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 14/5; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/100; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-12 16:20:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/100; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/100; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 14/5; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/100; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-12 20:21:47 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/100; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/100; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 11/4; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/100; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-13 00:19:22 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/100; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/100; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 11/4; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/100; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-13 04:19:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/50; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/12; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 14/5; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/12; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-13 08:19:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/100; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/100; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 14/5; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/100; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-13 12:20:28 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/50; ; 
Draw; 12/5; ; 12/5; 13/5; ; 12/5; 5/2; ; ; 12/5; ; 12/5; ; 12/5; ; 5/2; ; 12/5; 12/5; 12/5; 23/10; 13/5; ; ; 1/12; ; 
Oldham; 11/4; ; 11/4; 13/5; ; 13/5; 14/5; ; ; 11/4; ; 5/2; ; 11/4; ; 11/4; ; 11/4; 13/5; 11/4; 45/17; 37/13; ; ; 1/12; ; 
META; english/league-cup/oldham-v-wigan; 2016-07-13 16:19:48 GMT+3; 2016-08-09 19:45; e70300-dr003
Wigan; 1; ; 1; 20/21; ; 1; 20/21; ; ; 1; ; 19/20; ; 19/20; ; 1; ; 1; 1; 1; 19/20; 21/20; ; ; 1/50; ; 
