META; english/league-cup/southend-v-gillingham; 2016-07-12 13:08:27 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-12 16:20:30 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-12 20:22:10 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; ; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; ; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 12/5; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; ; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 00:19:44 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 12/5; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 04:19:30 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 12/5; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 08:19:38 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 12:20:58 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 16:20:17 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-13 20:21:47 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-14 00:19:21 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-14 04:19:14 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-14 08:19:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-14 12:21:35 GMT+3; 2016-08-09 19:45; e70300-dr003
Southend; ; ; 5/4; ; ; 6/5; 5/4; ; ; ; ; 6/5; ; 6/5; ; 5/4; ; ; 6/5; ; 6/5; 13/10; ; ; ; ; 
Gillingham; ; ; 21/10; ; ; 2; 21/10; ; ; ; ; 11/5; ; 2; ; 21/10; ; ; 2; ; 37/19; 41/18; ; ; ; ; 
Draw; ; ; 12/5; ; ; 5/2; 5/2; ; ; ; ; 11/5; ; 49/20; ; 5/2; ; ; 5/2; ; 12/5; 5/2; ; ; ; ; 
META; english/league-cup/southend-v-gillingham; 2016-07-14 16:19:14 GMT+3; 2016-08-09 19:45; e70300-dr003
