META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-30 22:23:54 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 11/10; 23/20; 6/5; ; 67/50; ; ; ; ; 23/20; 23/20; ; ; 23/20; ; 11/10; ; 15/13; ; 8/7; ; 11/10; ; 23/20; 6/5; ; ; 10/9; 
Draw; 23/10; 2; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; ; 11/5; ; 28/13; ; 2; ; 11/5; 28/13; ; ; 19/10; 
Sevilla B; 5/2; 12/5; 23/10; ; 5/2; ; ; ; ; 12/5; 12/5; ; ; 49/20; ; 12/5; ; 12/5; ; 28/13; ; 23/10; ; 12/5; 40/17; ; ; 21/10; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 02:22:53 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 11/10; 23/20; 15/13; ; 67/50; ; ; ; ; 23/20; 23/20; ; ; 23/20; ; 11/10; 5/4; 15/13; 5/4; 8/7; ; 11/10; ; 23/20; 15/13; ; ; 10/9; 
Draw; 23/10; 2; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; 21/10; 11/5; 21/10; 28/13; ; 2; ; 11/5; 11/5; ; ; 19/10; 
Sevilla B; 5/2; 12/5; 12/5; ; 5/2; ; ; ; ; 12/5; 12/5; ; ; 49/20; ; 12/5; 23/10; 12/5; 23/10; 28/13; ; 23/10; ; 12/5; 27/11; ; ; 21/10; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 10:23:04 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 5/4; ; 67/50; ; ; ; ; 5/4; 6/5; ; ; 13/10; ; 5/4; 15/13; 13/10; 15/13; 10/9; ; 6/5; ; 5/4; 13/10; ; ; 6/5; 
Draw; 9/4; 85/40; 2; ; 11/5; ; ; ; ; 2; 21/10; ; ; 41/20; ; 21/10; 21/10; 21/10; 21/10; 28/13; ; 2; ; 11/5; 28/13; ; ; 15/8; 
Sevilla B; 23/10; 85/40; 11/5; ; 5/2; ; ; ; ; 11/5; 9/4; ; ; 43/20; ; 11/5; 13/5; 28/13; 13/5; 11/5; ; 2; ; 11/5; 28/13; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 14:23:43 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; ; 6/5; 15/13; 6/5; 15/13; 13/11; 6/5; 11/10; ; 6/5; 6/5; ; ; ; 
Draw; 9/4; 21/10; 2; ; 11/5; ; ; ; 28/13; 2; 21/10; ; 21/10; 21/10; ; 21/10; 21/10; ; 21/10; 21/10; 28/13; 2; ; 11/5; 11/5; ; ; 19/10; 
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 23/10; ; 11/5; 9/4; ; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 23/10; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 18:24:16 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 13/11; 6/5; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 9/4; 21/10; 21/10; ; 11/5; ; ; ; 28/13; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 28/13; 2; ; 11/5; 11/5; ; ; 19/10; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-01-31 22:23:26 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 13/11; 13/11; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 9/4; 21/10; 21/10; ; 11/5; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 2; ; 11/5; 11/5; ; ; 19/10; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 13/5; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 02:22:47 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 6/5; 15/13; 13/11; 13/11; 11/10; ; 6/5; 5/4; ; ; ; 5/4
Draw; 9/4; 21/10; 21/10; ; 11/5; ; ; ; 9/4; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 2; ; 11/5; 11/5; ; ; 19/10; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 10:23:03 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 6/5; 6/5; 6/5; ; 67/50; ; ; ; 6/5; 6/5; 6/5; ; 5/4; 6/5; 5/4; 6/5; 6/5; 15/13; 13/11; 13/11; 11/10; ; 6/5; 6/5; ; ; 6/5; 5/4
Draw; 9/4; 21/10; 2; ; 11/5; ; ; ; 9/4; 2; 21/10; ; 21/10; 41/20; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 2; ; 11/5; 11/5; ; ; 15/8; 9/4
Sevilla B; 23/10; 11/5; 9/4; ; 5/2; ; ; ; 9/4; 9/4; 9/4; ; 11/5; 23/10; 23/10; 9/4; 23/10; 13/5; 28/13; 9/4; 11/5; ; 23/10; 40/17; ; ; 2; 12/5
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 14:23:22 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 67/50; ; ; ; 6/5; 23/20; 23/20; ; 6/5; 6/5; 5/4; 6/5; 15/13; 15/13; 8/7; 13/11; 11/10; ; 23/20; 15/13; ; 1; 10/9; 23/20
Draw; 11/5; 21/10; 21/10; ; 11/5; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; 21/10; 9/4; 2; ; 11/5; 9/4; ; 19/10; 19/10; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 5/2; ; ; ; 9/4; 23/10; 23/10; ; 9/4; 23/10; 23/10; 23/10; 12/5; 13/5; 9/4; 9/4; 23/10; ; 12/5; 12/5; ; 2; 2; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 18:22:38 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 6/5; 23/20; 23/20; ; 6/5; 23/20; 5/4; 11/10; 15/13; 15/13; 8/7; 13/11; 11/10; ; 23/20; 6/5; ; 1; 23/20; 23/20
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 21/10; 11/5; 9/4; 21/10; 21/10; 9/4; 2; ; 11/5; 9/4; ; 19/10; 19/10; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 51/20; ; ; ; 9/4; 23/10; 23/10; ; 9/4; 47/20; 23/10; 23/10; 12/5; 13/5; 9/4; 9/4; 23/10; ; 12/5; 12/5; ; 2; 2; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-01 22:22:34 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 5/4; 11/10; 15/13; 15/13; 8/7; 8/7; 11/10; ; 23/20; 15/13; ; 1; 23/20; 23/20
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 21/10; 11/5; 9/4; 21/10; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 19/10; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 51/20; ; ; ; 12/5; 23/10; 23/10; ; 9/4; 47/20; 23/10; 23/10; 12/5; 13/5; 9/4; 40/17; 23/10; ; 12/5; 27/11; ; 21/10; 2; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-02 02:22:30 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 5/4; 11/10; 15/13; 15/13; 8/7; 8/7; 11/10; ; 23/20; 15/13; ; 1; 23/20; 23/20
Draw; 11/5; 21/10; 21/10; ; 119/50; ; ; ; 9/4; 21/10; 11/5; ; 21/10; 21/10; 21/10; 11/5; 9/4; 21/10; 21/10; 9/4; 2; ; 11/5; 9/4; ; 21/10; 19/10; 23/10
Sevilla B; 5/2; 23/10; 23/10; ; 51/20; ; ; ; 12/5; 23/10; 23/10; ; 9/4; 47/20; 23/10; 23/10; 12/5; 13/5; 9/4; 40/17; 23/10; ; 12/5; 27/11; ; 21/10; 2; 5/2
META; spain/la-liga-segunda/sevilla-b-v-sd-huesca; 2018-02-02 10:22:41 GMT+2; 2018-02-04 15:00; Nothing; Xlenovo
SD Huesca; 23/20; 23/20; 15/13; ; 123/100; ; ; ; 15/13; 23/20; 23/20; ; 6/5; 23/20; 5/4; 11/10; 15/13; 15/13; 8/7; 8/7; 11/10; ; 23/20; 15/13; ; 21/20; 23/20; 23/20
