META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-24 18:27:22 GMT+2; 2018-01-07 17:00; Nothing; Xlenovo
SD Huesca; 4/5; ; ; ; ; ; ; ; 4/5; ; ; 5/6; ; ; 10/11; ; ; 5/6; ; 11/13; 4/5; ; 20/23; ; 5/6; ; ; 4/5; 
Draw; 23/10; ; ; ; ; ; ; ; 9/4; ; ; 11/5; ; ; 12/5; ; ; 23/10; ; 12/5; 9/4; ; 12/5; ; 40/17; ; ; 11/5; 
Oviedo; 15/4; ; ; ; ; ; ; ; 17/5; ; ; 7/2; ; ; 3; ; ; 13/4; ; 14/5; 17/5; ; 7/2; ; 33/10; ; ; 14/5; 
META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-24 22:27:25 GMT+2; 2018-01-07 17:00; Nothing; Xlenovo
SD Huesca; 17/20; ; ; ; ; ; ; ; 4/5; ; ; 5/6; ; ; 10/11; ; ; 5/6; ; 9/10; 4/5; ; 9/10; ; 5/6; ; ; 4/5; 
Draw; 9/4; ; ; ; ; ; ; ; 9/4; ; ; 9/4; ; ; 12/5; ; ; 23/10; ; 40/17; 9/4; ; 23/10; ; 23/10; ; ; 11/5; 
Oviedo; 18/5; ; ; ; ; ; ; ; 17/5; ; ; 10/3; ; ; 3; ; ; 16/5; ; 13/5; 17/5; ; 7/2; ; 13/4; ; ; 14/5; 
META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-25 02:27:25 GMT+2; 2018-01-07 17:00; Nothing; Xlenovo
SD Huesca; 17/20; ; 13/15; ; ; ; ; ; 4/5; ; ; 20/23; ; ; 10/11; ; ; 5/6; ; 9/10; 4/5; ; 9/10; ; 5/6; ; ; ; 
Draw; 9/4; ; 9/4; ; ; ; ; ; 9/4; ; ; 23/10; ; ; 12/5; ; ; 23/10; ; 40/17; 9/4; ; 23/10; ; 23/10; ; ; ; 
Oviedo; 18/5; ; 3; ; ; ; ; ; 17/5; ; ; 3; ; ; 3; ; ; 16/5; ; 13/5; 17/5; ; 7/2; ; 13/4; ; ; ; 
META; spain/la-liga-segunda/sd-huesca-v-oviedo; 2017-12-25 10:27:28 GMT+2; 2018-01-07 17:00; Nothing; Xlenovo
SD Huesca; 17/20; ; 13/15; ; ; ; ; ; 4/5; ; ; 5/6; ; ; 10/11; ; 9/10; 5/6; 9/10; 9/10; 4/5; ; 9/10; ; 5/6; ; ; 4/5; 
Draw; 9/4; ; 9/4; ; ; ; ; ; 9/4; ; ; 23/10; ; ; 12/5; ; 23/10; 23/10; 23/10; 40/17; 9/4; ; 23/10; ; 23/10; ; ; 11/5; 
Oviedo; 18/5; ; 3; ; ; ; ; ; 17/5; ; ; 10/3; ; ; 3; ; 16/5; 16/5; 16/5; 13/5; 17/5; ; 7/2; ; 13/4; ; ; 14/5; 
