Alcorcon; 13/5; 11/4; 14/5; 3; 11/4; 13/5; 31/10; 11/4; 3; 27/10; 27/10; 14/5; 14/5; 14/5; 14/5; 11/4; ; 3; 14/5; 31/10; 40/17; 3; ; 13/5; ; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-06 10:26:50 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 1; 21/20; 21/20; 21/20; 39/40; 21/20; 10/11; 19/20; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 10/11; 21/20; 57/50; 13/12; 15/16; ; 1; ; ; 1; 1; 
Draw; 12/5; 21/10; 2; 2; 11/5; 21/10; 85/40; 2; 9/4; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 9/4; 21/10; 109/50; 21/10; 9/4; ; 2; ; ; 19/10; 2; 
Alcorcon; 13/5; 11/4; 14/5; 3; 11/4; 13/5; 31/10; 11/4; 3; 27/10; 27/10; 14/5; 14/5; 14/5; 14/5; 11/4; ; 3; 14/5; 31/10; 40/17; 3; ; 13/5; ; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-06 14:27:03 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 21/20; 21/20; 21/20; 21/20; 39/40; 21/20; 10/11; 19/20; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 10/11; 21/20; 57/50; 13/12; 15/16; ; 1; ; ; 1; 1; 
Draw; 12/5; 21/10; 2; 2; 11/5; 21/10; 85/40; 2; 9/4; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 9/4; 21/10; 109/50; 21/10; 9/4; ; 2; ; ; 19/10; 2; 
Alcorcon; 13/5; 13/5; 14/5; 3; 11/4; 13/5; 31/10; 11/4; 3; 27/10; 27/10; 14/5; 14/5; 14/5; 14/5; 11/4; ; 3; 14/5; 31/10; 40/17; 3; ; 13/5; ; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-06 18:27:13 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 21/20; 21/20; 21/20; 21/20; 39/40; 21/20; 10/11; 19/20; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 10/11; 21/20; 57/50; 13/12; 15/16; ; 1; 1; ; 1; 1; 
Draw; 12/5; 2; 2; 2; 11/5; 21/10; 85/40; 2; 9/4; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 9/4; 21/10; 109/50; 21/10; 9/4; ; 2; 2; ; 19/10; 2; 
Alcorcon; 13/5; 11/4; 14/5; 3; 11/4; 13/5; 31/10; 13/5; 3; 27/10; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; ; 3; 14/5; 31/10; 40/17; 3; ; 13/5; 11/4; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-06 22:27:04 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 21/20; 21/20; 21/20; 21/20; 39/40; 21/20; 10/11; 19/20; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 10/11; 21/20; 57/50; 13/12; 15/16; ; 1; 1; ; 1; 1; 
Draw; 12/5; 2; 2; 2; 11/5; 21/10; 85/40; 2; 9/4; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 9/4; 21/10; 109/50; 21/10; 9/4; ; 2; 2; ; 19/10; 2; 
Alcorcon; 13/5; 11/4; 14/5; 3; 11/4; 13/5; 31/10; 13/5; 3; 27/10; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; ; 3; 14/5; 31/10; 40/17; 3; ; 13/5; 11/4; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-07 02:26:45 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 21/20; 21/20; 21/20; 11/10; 39/40; 21/20; 10/11; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; ; 11/10; 21/20; 57/50; 13/12; 11/10; ; 1; 1; ; 1; 1; 
Draw; 12/5; 21/10; 2; 2; 21/10; 21/10; 85/40; 2; 21/10; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 2; 39/19; 109/50; 21/10; 39/19; ; 2; 2; ; 19/10; 2; 
Alcorcon; 13/5; 13/5; 14/5; 3; 11/4; 13/5; 31/10; 13/5; 11/4; 27/10; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; ; 27/10; 14/5; 31/10; 40/17; 27/10; ; 13/5; 11/4; ; 13/5; 27/10; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-07 10:26:41 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 10/11; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 57/50; 13/12; 11/10; ; 1; 1; ; 10/11; 20/21; 
Draw; 12/5; 21/10; 2; 2; 21/10; 41/20; 85/40; 2; 21/10; 2; 2; 2; 21/10; 21/10; 21/10; 39/19; ; 2; 21/10; 109/50; 21/10; 39/19; ; 2; 2; ; 19/10; 2; 
Alcorcon; 13/5; 13/5; 14/5; 3; 11/4; 13/5; 31/10; 13/5; 11/4; 27/10; 27/10; 14/5; 14/5; 11/4; 14/5; 11/4; ; 27/10; 14/5; 31/10; 40/17; 27/10; ; 13/5; 11/4; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-07 14:28:12 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 21/20; 1; 21/20; 21/20; 21/20; 1; 21/20; 10/11; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 113/100; ; 11/10; ; 1; 1; ; 1; 1; 10/9
Draw; 12/5; 21/10; 2; 2; 11/5; 41/20; 85/40; 2; 21/10; 2; 2; 19/10; 21/10; 21/10; 21/10; 39/19; ; 2; 39/19; 109/50; ; 39/19; ; 2; 2; ; 19/10; 2; 21/10
Alcorcon; 13/5; 11/4; 14/5; 3; 11/4; 13/5; 31/10; 13/5; 11/4; 11/4; 11/4; 14/5; 14/5; 11/4; 14/5; 11/4; ; 27/10; 14/5; 63/20; ; 27/10; ; 13/5; 11/4; ; 13/5; 27/10; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-07 22:28:45 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 19/20; 1; 1; 1; 1; 1; 1; 10/11; 28/29; 1; 1; 20/21; 1; 20/21; 1; 19/20; 21/20; 22/23; 19/20; 51/50; 42/41; 22/23; ; 10/11; 1; ; 20/21; 20/21; 1
Draw; 5/2; 21/10; 2; 2; 11/5; 41/20; 85/40; 2; 28/13; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; ; 28/13; 11/5; 23/10; 39/19; 28/13; ; 2; 2; ; 19/10; 21/10; 11/5
Alcorcon; 14/5; 11/4; 3; 16/5; 3; 13/5; 10/3; 3; 31/10; 3; 3; 3; 10/3; 3; 16/5; 3; ; 31/10; 41/13; 17/5; 13/5; 31/10; ; 14/5; 3; ; 14/5; 14/5; 10/3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-08 02:27:59 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 19/20; 19/20; 1; 1; 1; 19/20; 1; 10/11; 28/29; 1; 1; 20/21; 1; 20/21; 1; 19/20; ; 22/23; 19/20; 51/50; 42/41; 22/23; ; 10/11; 1; ; 20/21; 20/21; 1
Draw; 5/2; 21/10; 2; 2; 11/5; 41/20; 85/40; 2; 28/13; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; ; 28/13; 11/5; 23/10; 39/19; 28/13; ; 2; 2; ; 19/10; 2; 11/5
Alcorcon; 14/5; 3; 31/10; 16/5; 3; 11/4; 10/3; 3; 31/10; 3; 3; 3; 10/3; 3; 16/5; 3; ; 31/10; 41/13; 17/5; 13/5; 31/10; ; 14/5; 3; ; 14/5; 14/5; 10/3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-08 10:27:45 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 19/20; 19/20; 1; 1; 1; 19/20; 1; 10/11; 28/29; 1; 1; 20/21; 1; 20/21; 1; 19/20; ; 22/23; 19/20; 51/50; 42/41; 22/23; ; 10/11; 1; ; 10/11; 20/21; 1
Draw; 5/2; 21/10; 2; 2; 11/5; 41/20; 85/40; 2; 28/13; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; ; 28/13; 11/5; 23/10; 39/19; 28/13; ; 2; 2; ; 19/10; 2; 11/5
Alcorcon; 14/5; 3; 31/10; 16/5; 3; 11/4; 10/3; 3; 31/10; 3; 3; 3; 10/3; 3; 16/5; 3; ; 31/10; 41/13; 17/5; 13/5; 31/10; ; 14/5; 3; ; 14/5; 14/5; 10/3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-08 14:27:29 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 19/20; 19/20; 1; 1; 1; 19/20; 1; 10/11; 28/29; 1; 1; 20/21; 1; 20/21; 1; 19/20; ; 22/23; 19/20; 51/50; 42/41; 22/23; ; 10/11; 1; ; 10/11; 10/11; 1
Draw; 5/2; 21/10; 2; 2; 11/5; 41/20; 85/40; 2; 28/13; 2; 2; 21/10; 21/10; 21/10; 2; 21/10; ; 28/13; 11/5; 23/10; 39/19; 28/13; ; 2; 2; ; 19/10; 21/10; 11/5
Alcorcon; 14/5; 3; 31/10; 16/5; 3; 11/4; 10/3; 3; 31/10; 3; 3; 3; 10/3; 3; 16/5; 3; ; 31/10; 41/13; 17/5; 13/5; 31/10; ; 14/5; 3; ; 14/5; 5/2; 10/3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-08 18:27:35 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 19/20; 9/10; 1; 10/11; 19/20; 9/10; 10/11; 28/29; 13/15; 1; 10/11; 10/11; 17/20; 19/20; 10/11; ; 22/23; 19/20; 97/100; 8/9; 22/23; ; 9/10; 10/11; ; 10/11; 10/11; 10/11
Draw; 13/5; 21/10; 41/20; 2; 9/4; 41/20; 9/4; 2; 28/13; 21/10; 2; 2; 9/4; 11/5; 21/10; 28/13; ; 28/13; 11/5; 47/20; 21/10; 28/13; ; 2; 9/4; ; 2; 21/10; 9/4
Alcorcon; 3; 3; 17/5; 16/5; 10/3; 11/4; 18/5; 3; 31/10; 10/3; 3; 10/3; 7/2; 10/3; 16/5; 16/5; ; 31/10; 41/13; 71/20; 3; 31/10; ; 3; 3; ; 3; 5/2; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-08 22:27:42 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 19/20; 9/10; 1; 10/11; 19/20; 9/10; 10/11; 28/29; 13/15; 20/23; 20/23; 10/11; 17/20; 19/20; 10/11; ; 22/23; 10/11; 97/100; 8/9; 22/23; ; 9/10; 10/11; ; 10/11; 5/6; 10/11
Draw; 13/5; 21/10; 41/20; 2; 9/4; 41/20; 11/5; 2; 28/13; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; ; 28/13; 9/4; 47/20; 21/10; 28/13; ; 2; 9/4; ; 2; 11/5; 9/4
Alcorcon; 3; 3; 17/5; 16/5; 10/3; 11/4; 15/4; 3; 31/10; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 16/5; ; 31/10; 17/5; 71/20; 3; 31/10; ; 3; 3; ; 3; 3; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-09 02:27:28 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 10/11; 9/10; 1; 10/11; 17/20; 9/10; 5/6; 28/29; 13/15; 20/23; 20/23; 9/10; 17/20; 19/20; 10/11; 9/10; 22/23; 10/11; 97/100; 8/9; 22/23; ; 9/10; 5/6; ; 10/11; 5/6; 10/11
Draw; 13/5; 85/40; 41/20; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 47/20; 21/10; 28/13; ; 2; 9/4; ; 2; 21/10; 9/4
Alcorcon; 3; 16/5; 17/5; 16/5; 10/3; 3; 15/4; 16/5; 31/10; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 16/5; 17/5; 31/10; 17/5; 71/20; 3; 31/10; ; 3; 10/3; ; 3; 11/4; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-09 10:27:36 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 10/11; 9/10; 1; 10/11; 17/20; 9/10; 5/6; 28/29; 13/15; 20/23; 20/23; 9/10; 17/20; 19/20; 11/13; ; 22/23; 10/11; 97/100; 8/9; 22/23; ; 9/10; 5/6; ; 10/11; 5/6; 10/11
Draw; 13/5; 85/40; 41/20; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; ; 28/13; 9/4; 47/20; 21/10; 28/13; ; 2; 9/4; ; 2; 11/5; 9/4
Alcorcon; 3; 16/5; 17/5; 16/5; 10/3; 3; 15/4; 16/5; 31/10; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 10/3; ; 31/10; 57/17; 71/20; 3; 31/10; ; 3; 10/3; ; 3; 3; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-09 14:27:51 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 5/6; 9/10; 1; 10/11; 17/20; 9/10; 5/6; 28/29; 13/15; 20/23; 20/23; 9/10; 17/20; 19/20; 11/13; 9/10; 22/23; 10/11; 97/100; 8/9; 22/23; ; 9/10; 5/6; ; 10/11; 5/6; 10/11
Draw; 13/5; 11/5; 41/20; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 47/20; 21/10; 28/13; ; 2; 9/4; ; 2; 11/5; 9/4
Alcorcon; 3; 16/5; 17/5; 16/5; 10/3; 3; 15/4; 16/5; 31/10; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 10/3; 17/5; 31/10; 57/17; 71/20; 3; 31/10; ; 3; 10/3; ; 3; 3; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-09 18:26:53 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 5/6; 9/10; 1; 10/11; 17/20; 9/10; 5/6; 28/29; 13/15; 20/23; 20/23; 9/10; 17/20; 19/20; 10/11; 9/10; 22/23; 10/11; 24/25; 8/9; 22/23; ; 9/10; 5/6; ; 10/11; 5/6; 10/11
Draw; 13/5; 11/5; 41/20; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 9/4; 11/5; 21/10; 11/5; 9/4; 28/13; 9/4; 121/50; 21/10; 28/13; ; 2; 9/4; ; 21/10; 11/5; 12/5
Alcorcon; 3; 16/5; 17/5; 16/5; 10/3; 3; 15/4; 16/5; 31/10; 10/3; 10/3; 10/3; 7/2; 10/3; 16/5; 16/5; 17/5; 31/10; 17/5; 7/2; 3; 31/10; ; 3; 10/3; ; 3; 3; 7/2
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2017-09-09 22:25:39 GMT+3; 2017-09-10 15:00; Nothing; Xlenovo
Zaragoza; 17/20; 5/6; 9/10; 1; 10/11; 17/20; 9/10; 5/6; 10/11; 10/11; 10/11; 20/23; 9/10; 17/20; 19/20; 10/11; 9/10; 8/9; 10/11; 24/25; 8/9; 8/9; ; 9/10; 5/6; ; 10/11; 5/6; 
