META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-30 22:23:58 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 5/4; ; 5/4; ; 13/10; ; ; ; ; 5/4; ; ; ; 6/5; ; ; ; 5/4; ; 17/14; ; 11/10; 5/4; 5/4; 5/4; ; ; 6/5; 
Draw; 2; 2; 2; ; 11/5; ; ; ; ; ; ; ; ; 41/20; ; ; ; 2; ; 11/5; ; 2; 11/5; ; 39/19; ; ; 19/10; 
Gijon; 5/2; 11/5; 11/5; ; 13/5; ; ; ; ; 11/5; ; ; ; 9/4; ; ; ; 40/17; ; 133/67; ; 11/5; 12/5; 23/10; 40/17; ; ; 2; 
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-31 02:22:58 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 5/4; 5/4; 5/4; ; 13/10; ; ; ; ; 5/4; 5/4; ; ; 6/5; ; 5/4; 5/4; 5/4; 5/4; 17/14; ; 11/10; 5/4; 5/4; 5/4; ; ; 6/5; 
Draw; 2; 2; 2; ; 11/5; ; ; ; ; 2; 2; ; ; 41/20; ; 2; 21/10; 2; 21/10; 11/5; ; 2; 11/5; 21/10; 39/19; ; ; 19/10; 
Gijon; 5/2; 11/5; 11/5; ; 13/5; ; ; ; ; 11/5; 23/10; ; ; 9/4; ; 23/10; 9/4; 40/17; 9/4; 133/67; ; 11/5; 12/5; 23/10; 40/17; ; ; 2; 
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-31 10:23:09 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 23/20; 15/13; ; 13/10; ; ; ; ; 23/20; 23/20; ; ; 11/10; ; 11/10; 5/4; 15/13; 5/4; 13/11; ; 21/20; 6/5; 11/10; 15/13; ; ; 10/9; 
Draw; 21/10; 2; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 2; 21/10; 21/10; 21/10; 11/5; ; 2; 11/5; 11/5; 21/10; ; ; 2; 
Gijon; 13/5; 12/5; 12/5; ; 13/5; ; ; ; ; 12/5; 12/5; ; ; 5/2; ; 5/2; 9/4; 5/2; 9/4; 2; ; 12/5; 5/2; 51/20; 28/11; ; ; 21/10; 
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-31 14:23:48 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 13/10; ; ; ; 15/13; 23/20; 11/10; ; ; 11/10; ; 11/10; 6/5; 11/10; 6/5; 9/8; 15/13; 21/20; 23/20; 11/10; 11/10; ; ; ; 
Draw; 21/10; 21/10; 21/10; ; 11/5; ; ; ; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 2; 11/5; 11/5; 11/5; ; ; ; 
Gijon; 13/5; 12/5; 12/5; ; 13/5; ; ; ; 12/5; 12/5; 5/2; ; ; 5/2; ; 5/2; 12/5; 5/2; 12/5; 28/13; 12/5; 12/5; 27/10; 51/20; 28/11; ; ; 21/10; 
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-31 18:24:21 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 13/10; ; ; ; 15/13; 23/20; 11/10; ; ; 11/10; 11/10; 11/10; 6/5; 11/10; 6/5; 9/8; 15/13; 21/20; 23/20; 11/10; 11/10; ; ; ; 23/20
Draw; 21/10; 85/40; 21/10; ; 11/5; ; ; ; 21/10; 21/10; 21/10; ; ; 21/10; 11/5; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 2; 9/4; 11/5; 11/5; ; ; ; 23/10
Gijon; 13/5; 12/5; 12/5; ; 13/5; ; ; ; 12/5; 12/5; 5/2; ; ; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 28/13; 12/5; 12/5; 13/5; 51/20; 28/11; ; ; 21/10; 13/5
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-01-31 22:23:30 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 13/10; ; ; ; 15/13; 23/20; 11/10; ; ; 11/10; 11/10; 11/10; 6/5; 11/10; 6/5; 9/8; 8/7; 21/20; 23/20; 11/10; 15/13; ; ; ; 23/20
Draw; 21/10; 21/10; 21/10; ; 11/5; ; ; ; 11/5; 21/10; 21/10; ; ; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 28/13; 2; 9/4; 11/5; 11/5; ; ; ; 23/10
Gijon; 13/5; 12/5; 12/5; ; 13/5; ; ; ; 27/11; 12/5; 5/2; ; ; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 28/13; 27/11; 12/5; 13/5; 51/20; 13/5; ; ; 21/10; 13/5
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-01 02:22:52 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 11/10; ; 13/10; ; ; ; 15/13; 11/10; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 6/5; 9/8; 8/7; 21/20; 23/20; 11/10; 15/13; ; ; 21/20; 23/20
Draw; 21/10; 21/10; 21/10; ; 11/5; ; ; ; 11/5; 21/10; 21/10; ; ; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 28/13; 2; 9/4; 11/5; 11/5; ; ; ; 23/10
Gijon; 13/5; 12/5; 12/5; ; 13/5; ; ; ; 27/11; 12/5; 5/2; ; ; 5/2; 5/2; 5/2; 28/11; 12/5; 28/13; 27/11; 12/5; 13/5; 51/20; 13/5; ; ; 21/10; 13/5
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-01 10:23:08 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 21/20; 21/20; ; 23/20; ; ; ; 15/13; 21/20; 21/20; ; ; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 8/7; 1; 11/10; 1; 21/20; ; ; 21/20; 21/20
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 11/5; ; ; 21/10; 9/4; 21/10; 9/4; 11/5; 11/5; 28/13; 85/40; 9/4; 9/4; 9/4; ; ; 21/10; 23/10
Gijon; 13/5; 5/2; 13/5; ; 72/25; ; ; ; 27/11; 13/5; 13/5; ; ; 5/2; 13/5; 13/5; 11/4; 13/5; 40/17; 27/11; 13/5; 11/4; 14/5; 11/4; ; ; 21/10; 14/5
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-01 14:23:27 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 23/20; ; ; ; 15/13; 23/20; 11/10; ; ; 11/10; 21/20; 11/10; 15/13; 11/10; 10/9; 8/7; 21/20; 23/20; 11/10; 15/13; ; 1; 10/9; 23/20
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 21/10; ; ; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 28/13; 2; 9/4; 9/4; 11/5; ; 19/10; 2; 23/10
Gijon; 13/5; 12/5; 12/5; ; 72/25; ; ; ; 27/11; 12/5; 5/2; ; ; 49/20; 13/5; 5/2; 28/11; 13/5; 28/13; 27/11; 12/5; 13/5; 5/2; 28/11; ; 9/4; 2; 27/10
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-01 18:22:44 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 119/100; ; ; ; 15/13; 23/20; 11/10; ; ; 11/10; 21/20; 11/10; 15/13; 11/10; 10/9; 8/7; 21/20; 23/20; 11/10; 15/13; ; 1; 10/9; 23/20
Draw; 21/10; 85/40; 21/10; ; 59/25; ; ; ; 11/5; 21/10; 21/10; ; ; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 28/13; 2; 9/4; 9/4; 11/5; ; 19/10; 2; 23/10
Gijon; 13/5; 12/5; 12/5; ; 67/25; ; ; ; 27/11; 12/5; 5/2; ; ; 49/20; 13/5; 5/2; 28/11; 13/5; 28/13; 27/11; 12/5; 13/5; 5/2; 28/11; ; 9/4; 2; 27/10
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-01 22:22:39 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 119/100; ; ; ; 6/5; 23/20; 11/10; ; ; 11/10; 21/20; 11/10; 15/13; 11/10; 10/9; 6/5; 21/20; 23/20; 11/10; 15/13; ; 1; 10/9; 23/20
Draw; 21/10; 85/40; 21/10; ; 59/25; ; ; ; 21/10; 21/10; 21/10; ; ; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 39/19; 2; 9/4; 9/4; 11/5; ; 19/10; 2; 23/10
Gijon; 13/5; 12/5; 12/5; ; 67/25; ; ; ; 27/11; 12/5; 5/2; ; ; 5/2; 13/5; 5/2; 28/11; 13/5; 28/13; 27/11; 12/5; 13/5; 5/2; 28/11; ; 9/4; 2; 27/10
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-02 02:22:34 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 59/50; ; ; ; 6/5; 23/20; 11/10; ; ; 11/10; 21/20; 11/10; 15/13; 11/10; 10/9; 6/5; 21/20; 23/20; 11/10; 15/13; ; 1; 10/9; 10/9
Draw; 21/10; 85/40; 21/10; ; 119/50; ; ; ; 21/10; 21/10; 21/10; ; ; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 39/19; 2; 9/4; 9/4; 11/5; ; 19/10; 2; 23/10
Gijon; 13/5; 12/5; 12/5; ; 27/10; ; ; ; 27/11; 12/5; 5/2; ; ; 49/20; 13/5; 5/2; 28/11; 13/5; 28/13; 27/11; 12/5; 13/5; 5/2; 13/5; ; 9/4; 2; 27/10
META; spain/la-liga-segunda/oviedo-v-gijon; 2018-02-02 10:22:46 GMT+2; 2018-02-04 17:00; Nothing; Xlenovo
Oviedo; 23/20; 11/10; 15/13; ; 59/50; ; ; ; 6/5; 23/20; 11/10; ; ; 11/10; 21/20; 11/10; 15/13; 11/10; 10/9; 6/5; 21/20; 23/20; 11/10; 15/13; ; 1; 10/9; 10/9
