META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-21 22:17:33 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 1/50; 10/11
Sevilla B; 1/50; 2
Draw; 1/50; 3
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-22 02:17:28 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 73/00; 2/11; 4/6
Draw; 5/2; 1/2; 12/5
Sevilla B; 24/5; 20/21; 23/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-22 10:19:08 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 4/6; 73/00; 4/6; 8/15; 4/6
Draw; 23/10; 5/2; 23/10; 9/5; 12/5
Sevilla B; 9/2; 24/5; 9/2; 7/2; 23/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-22 14:20:51 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 73/00; 4/6; 4/6; 2/9; 4/6
Draw; 5/2; 5/2; 12/5; 11/4; 2/9; 12/5
Sevilla B; 9/2; 24/5; 9/2; 4; 9/5; 23/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-22 18:19:35 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 13/20; 8/13; 8/13; 8/11; 4/6; 8/13; 8/13; 4/6; 4/6; 11/18; 19/29; 8/13; 1/100; 8/13
Draw; 13/5; 12/5; 5/2; 12/5; 143/0; 5/2; 13/5; 5/2; 13/5; 13/5; 28/11; 45/17; 19/10; 11/4
Sevilla B; 9/2; 9/2; 17/4; 19/5; 93/20; 17/4; 9/2; 4; 17/4; 43/10; 18/5; 74/17; 1/100; 9/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-22 22:19:47 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 8/13; 8/13; 33/50; 11/17; 8/13; 8/13; 8/13; 8/13; 10/17; 13/19; 11/17; 11/18; 1/3; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 143/0; 27/10; 5/2; 11/4; 13/5; 14/5; 27/10; 28/11; 45/17; 27/10; 23/10; 14/5
Sevilla B; 9/2; 4; 9/2; 9/2; 47/10; 41/10; 9/2; 4; 9/2; 17/4; 74/17; 7/2; 4; 22/5; 4/7; 23/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-23 02:19:42 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 8/13; 8/13; 33/50; 11/17; 8/13; 8/13; 8/13; 8/13; 10/17; 11/17; 13/19; 11/17; 11/18; 1/3; 8/15; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 143/0; 27/10; 5/2; 11/4; 13/5; 14/5; 27/10; 11/4; 28/11; 45/17; 27/10; 11/8; 5/2; 14/5
Sevilla B; 9/2; 4; 9/2; 9/2; 47/10; 41/10; 9/2; 4; 9/2; 17/4; 74/17; 4; 7/2; 4; 22/5; 2/9; 7/2; 23/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-23 17:29:40 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 8/13; 7/10; 8/13; 11/17; 4/6; 8/13; 4/6; 8/13; 8/13; 11/18; 11/17; 13/19; 11/17; 8/13; 8/15; 4/6; 8/13
Draw; 11/4; 13/5; 5/2; 13/5; 137/0; 27/10; 27/10; 5/2; 13/5; 5/2; 14/5; 13/5; 13/5; 11/4; 28/11; 45/17; 13/5; 12/5; 27/10; 27/10
Sevilla B; 9/2; 4; 21/5; 9/2; 91/20; 4; 41/10; 21/5; 9/2; 4; 17/4; 9/2; 43/10; 4; 7/2; 4; 74/17; 10/3; 23/5; 9/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-23 22:20:43 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 8/13; 8/13; 17/25; 8/13; 11/17; 8/13; 8/13; 4/6; 8/13; 8/13; 11/18; 11/17; 13/19; 11/17; 8/13; 8/15; 8/13; 8/13
Draw; 11/4; 13/5; 5/2; 13/5; 139/0; 27/10; 27/10; 5/2; 11/4; 5/2; 14/5; 13/5; 27/10; 11/4; 28/11; 45/17; 27/10; 12/5; 11/4; 27/10
Sevilla B; 9/2; 4; 17/4; 9/2; 93/20; 4; 41/10; 17/4; 4; 17/4; 9/2; 49/11; 4; 7/2; 4; 9/2; 10/3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-24 02:21:14 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 8/13; 7/10; 13/20; 4/6; 11/17; 4/6; 4/6; 7/10; 4/6; 4/6; 11/17; 11/17; 13/18; 11/17; 11/17; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 5/2; 13/5; 137/0; 13/5; 5/2; 27/10; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 45/17; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 9/2; 91/20; 4; 41/10; 4; 4; 17/4; 4; 17/4; 4; 33/10; 4; 43/10; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-24 10:21:27 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 8/13; 7/10; 13/20; 4/6; 11/17; 4/6; 4/6; 7/10; 4/6; 4/6; 11/17; 11/17; 13/18; 11/17; 11/17; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 5/2; 13/5; 137/0; 13/5; 5/2; 27/10; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 45/17; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 9/2; 91/20; 4; 41/10; 4; 4; 17/4; 4; 17/4; 4; 33/10; 4; 43/10; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-24 14:21:00 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 8/13; 69/00; 13/20; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 11/17; 13/18; 11/17; 9/13; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 5/2; 13/5; 69/25; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 45/17; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 9/2; 23/5; 4; 4; 4; 15/4; 4; 17/4; 4; 75/19; 4; 33/10; 4; 10/3; 22/5; 22/5; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-24 18:18:47 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 8/13; 69/00; 13/20; 4/6; 11/17; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 11/17; 11/17; 13/18; 11/17; 11/17; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 5/2; 13/5; 69/25; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 11/4; 5/2; 45/17; 45/17; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 9/2; 23/5; 4; 41/10; 4; 4; 15/4; 4; 17/4; 4; 17/4; 4; 33/10; 4; 43/10; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-24 22:19:33 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 8/13; 69/00; 13/20; 4/6; 11/17; 4/6; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 11/17; 13/18; 11/17; 4/6; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 5/2; 13/5; 69/25; 13/5; 5/2; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 11/4; 5/2; 45/17; 27/10; 23/10; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 9/2; 23/5; 4; 41/10; 4; 4; 15/4; 4; 17/4; 4; 43/10; 4; 33/10; 4; 74/17; 7/2; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-25 02:21:10 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 71/00; 13/20; 4/6; 11/17; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 13/18; 11/17; 4/6; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 12/5; 13/5; 67/25; 13/5; 5/2; 27/10; 12/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 45/17; 11/4; 5/2; 45/17; 45/17; 12/5; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 4; 91/20; 4; 41/10; 4; 4; 15/4; 4; 17/4; 4; 43/10; 4; 33/10; 4; 74/17; 21/5; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-25 10:22:22 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 4/6; 4/6; 4/6; 71/00; 13/20; 4/6; 11/17; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 13/18; 11/17; 4/6; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 5/2; 12/5; 13/5; 67/25; 13/5; 5/2; 27/10; 12/5; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 45/17; 14/5; 5/2; 45/17; 27/10; 12/5; 12/5; 13/5; 13/5
Sevilla B; 9/2; 4; 4; 91/20; 4; 41/10; 4; 4; 15/4; 4; 17/4; 4; 74/17; 4; 33/10; 4; 74/17; 21/5; 10/3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-25 14:22:27 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 13/5; 5/2; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 9/2; 4; 15/4; 4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 21/5; 10/3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-25 18:21:57 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 13/5; 5/2; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 9/2; 4; 15/4; 4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 4; 10/3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-25 22:21:22 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 13/5; 5/2; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 9/2; 4; 15/4; 17/4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 21/5; 3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-26 02:22:29 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 13/5; 13/5; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 9/2; 4; 15/4; 17/4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 22/5; 3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-26 10:22:50 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 8/13; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 11/4; 13/5; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 4; 15/4; 17/4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 22/5; 3; 23/5; 23/5; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-26 14:23:32 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 13/20; 8/13; 8/13; 11/17; 4/6; 8/13; 4/6; 4/6; 4/6; 4/6; 8/13; 8/13; 4/6; 9/13; 11/17; 8/13; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 11/4; 13/5; 5/2; 13/5; 29/10; 14/5; 11/4; 27/10; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 14/5; 11/4; 13/5; 12/5; 14/5; 14/5
Sevilla B; 9/2; 4; 21/5; 4; 95/20; 4; 41/10; 21/5; 9/2; 4; 15/4; 17/4; 17/4; 9/2; 49/11; 4; 38/11; 4; 9/2; 17/4; 22/5; 3; 23/5; 23/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-26 18:23:20 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 17/25; 8/13; 8/13; 11/17; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 9/13; 11/17; 4/6; 8/13; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 5/2; 13/5; 71/25; 14/5; 11/4; 27/10; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 14/5; 28/11; 45/17; 27/10; 13/5; 5/2; 12/5; 11/4; 27/10
Sevilla B; 9/2; 4; 4; 91/20; 4; 41/10; 4; 4; 15/4; 17/4; 17/4; 4; 22/5; 4; 38/11; 4; 22/5; 17/4; 22/5; 3; 9/2; 9/2; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-26 22:22:58 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 67/00; 8/13; 8/13; 11/17; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 5/2; 13/5; 71/25; 14/5; 11/4; 27/10; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 14/5; 28/11; 45/17; 11/4; 13/5; 5/2; 12/5; 11/4; 27/10
Sevilla B; 9/2; 4; 21/5; 4; 93/20; 4; 41/10; 21/5; 4; 15/4; 17/4; 17/4; 4; 22/5; 4; 38/11; 4; 49/11; 17/4; 21/5; 3; 9/2; 9/2; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-27 02:22:54 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/13; 8/13; 4/6; 4/6; 67/00; 8/13; 8/13; 11/17; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 9/13; 11/17; 11/17; 8/13; 4/7; 4/7; 4/6; 4/6
Draw; 11/4; 13/5; 5/2; 13/5; 143/0; 14/5; 11/4; 27/10; 5/2; 13/5; 12/5; 13/5; 5/2; 13/5; 13/5; 11/4; 14/5; 28/11; 45/17; 11/4; 13/5; 13/5; 12/5; 14/5; 11/4
Sevilla B; 9/2; 4; 4; 23/5; 4; 41/10; 4; 9/2; 15/4; 17/4; 17/4; 4; 74/17; 4; 38/11; 4; 22/5; 17/4; 9/2; 3; 22/5; 22/5; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-27 10:22:55 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 8/11; 7/10; 8/11; 4/6; 37/50; 7/10; 4/6; 11/17; 8/11; 4/6; 8/11; 3/4; 3/4; 3/4; 7/10; 5/7; 7/10; 7/9; 11/17; 5/7; 4/6; 8/11; 4/6; 8/11; 8/11
Draw; 13/5; 12/5; 12/5; 13/5; 66/25; 13/5; 5/2; 27/10; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 28/11; 5/2; 27/11; 45/17; 13/5; 5/2; 5/2; 12/5; 5/2; 13/5
Sevilla B; 4; 15/4; 15/4; 4; 87/20; 4; 41/10; 15/4; 4; 15/4; 7/2; 37/10; 15/4; 15/4; 41/10; 9/2; 33/10; 4; 41/10; 4; 21/5; 4; 21/5; 22/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-27 14:23:14 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 3/4; 3/4; 3/4; 4/6; 77/00; 8/11; 8/11; 4/5; 4/5; 8/11; 3/4; 3/4; 3/4; 4/5; 7/10; 14/19; 7/9; 11/14; 4/5; 14/19; 8/11; 4/5; 4/5; 8/11; 4/5
Draw; 5/2; 23/10; 12/5; 13/5; 129/0; 5/2; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 27/11; 5/2; 27/11; 40/17; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2
Sevilla B; 4; 15/4; 18/5; 4; 21/5; 4; 7/2; 18/5; 17/5; 4; 7/2; 7/2; 18/5; 7/2; 7/2; 75/19; 15/4; 33/10; 7/2; 4; 4; 21/5; 21/5; 21/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-27 18:22:28 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Numancia; 3/4; 7/10; 3/4; 4/6; 19/25; 8/11; 8/11; 7/10; 4/5; 8/11; 3/4; 4/5; 3/4; 4/5; 7/10; 14/19; 7/9; 4/5; 7/10; 14/19; 8/11; 4/5; 8/11; 8/11; 4/5
Draw; 5/2; 12/5; 12/5; 13/5; 63/25; 5/2; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 47/20; 12/5; 9/4; 12/5; 5/2; 40/17; 40/17; 12/5; 9/4; 12/5; 5/2; 12/5; 5/2
Sevilla B; 4; 15/4; 7/2; 4; 89/20; 4; 7/2; 43/10; 17/5; 4; 15/4; 7/2; 7/2; 7/2; 15/4; 41/10; 15/4; 38/11; 17/4; 54/13; 17/4; 4; 21/5; 21/5; 22/5
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2018-05-27 22:21:57 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Sevilla B; 99/00; 4/5; 10/11; 4/5; 1; 19/20; 1; 20/21; 5/6; 20/21
Draw; 127/0; 9/4; 41/20; 11/5; 9/4; 11/5; 12/5; 23/10; 11/5; 9/4
