META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-24 18:27:14 GMT+2; 2018-01-07 11:00; Nothing; Xlenovo
Sevilla B; 11/10; ; ; ; ; ; ; ; 15/13; ; ; 23/20; ; ; 5/4; ; ; 15/13; ; 8/7; 15/13; ; ; ; 6/5; ; ; 6/5; 
Draw; 21/10; ; ; ; ; ; ; ; 2; ; ; 2; ; ; 21/10; ; ; 39/19; ; 11/5; 2; ; ; ; 39/19; ; ; 19/10; 
Lorca; 11/4; ; ; ; ; ; ; ; 5/2; ; ; 5/2; ; ; 23/10; ; ; 40/17; ; 28/13; 5/2; ; ; ; 40/17; ; ; 19/10; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-24 22:27:18 GMT+2; 2018-01-07 11:00; Nothing; Xlenovo
Sevilla B; 11/10; ; ; ; ; ; ; ; 15/13; ; ; 23/20; ; ; 5/4; ; ; 15/13; ; 8/7; 15/13; ; ; ; 6/5; ; ; 6/5; 
Draw; 21/10; ; ; ; ; ; ; ; 2; ; ; 2; ; ; 21/10; ; ; 39/19; ; 11/5; 2; ; ; ; 39/19; ; ; 19/10; 
Lorca; 11/4; ; ; ; ; ; ; ; 5/2; ; ; 5/2; ; ; 23/10; ; ; 40/17; ; 28/13; 5/2; ; ; ; 40/17; ; ; 19/10; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-25 02:27:17 GMT+2; 2018-01-07 11:00; Nothing; Xlenovo
Sevilla B; 11/10; ; 6/5; ; ; ; ; ; 15/13; ; ; 6/5; ; ; 5/4; ; ; 15/13; ; 8/7; 15/13; ; ; ; 6/5; ; ; ; 
Draw; 21/10; ; 2; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; ; 39/19; ; 11/5; 2; ; ; ; 39/19; ; ; ; 
Lorca; 11/4; ; 9/4; ; ; ; ; ; 5/2; ; ; 23/10; ; ; 23/10; ; ; 40/17; ; 28/13; 5/2; ; ; ; 40/17; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-25 10:27:21 GMT+2; 2018-01-07 11:00; Nothing; Xlenovo
Sevilla B; 11/10; ; 6/5; ; ; ; ; ; 15/13; ; ; 23/20; ; ; 6/5; ; 6/5; 15/13; 6/5; 8/7; 15/13; ; ; ; 15/13; ; ; 23/20; 
Draw; 21/10; ; 2; ; ; ; ; ; 2; ; ; 2; ; ; 2; ; 21/10; 39/19; 21/10; 11/5; 2; ; ; ; 39/19; ; ; 19/10; 
Lorca; 11/4; ; 23/10; ; ; ; ; ; 5/2; ; ; 5/2; ; ; 5/2; ; 12/5; 40/17; 12/5; 28/13; 5/2; ; ; ; 12/5; ; ; 2; 
META; spain/la-liga-segunda/sevilla-b-v-lorca; 2017-12-25 14:27:25 GMT+2; 2018-01-07 11:00; Nothing; Xlenovo
Sevilla B; 11/10; ; 6/5; ; ; ; ; ; 15/13; ; ; 23/20; ; ; 6/5; ; 6/5; 15/13; 6/5; 8/7; 15/13; ; ; 6/5; 15/13; ; ; 23/20; 
