META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-04 22:25:51 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
Draw; 1/50
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 02:25:55 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
Draw; 1/50
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 10:25:51 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
Draw; 1/50
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 14:26:20 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
Draw; 1/50
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 18:26:23 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
Draw; 1/100
FC Barcelona B; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-05 22:26:26 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
FC Barcelona B; 13/10; 13/10; 13/10; 27/20; 4/7
Draw; 39/19; 21/10; 39/19; 21/10; 4/5
Numancia; 21/10; 21/10; 21/10; 21/10; 4/5
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-06 02:26:19 GMT+2; 2018-03-11 15:00; Nothing; Xlenovo
FC Barcelona B; 13/10; 13/10; 13/10; 27/20; 4/6
Draw; 39/19; 21/10; 39/19; 21/10; 10/11
Numancia; 21/10; 21/10; 21/10; 21/10; 20/21
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-06 10:26:06 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
Zaragoza; 3/5; 8/13; 3/5; 3/5; 2/11
Draw; 37/13; 11/4; 14/5; 11/4; 5/6
Lorca; 39/10; 4; 19/5; 19/4; 13/8
META; spain/la-liga-segunda/fc-barcelona-b-v-numancia; 2018-03-06 14:26:16 GMT+2; 2018-03-11 11:00; Nothing; Xlenovo
Zaragoza; 8/15; 4/7; 16/25; 8/15; 3/5; 4/7; 4/7; 3/5; 10/17; 4/7; 3/5; 8/13; 11/18; 2/9
Draw; 13/5; 13/5; 74/25; 13/5; 37/13; 13/5; 11/4; 11/4; 45/17; 11/4; 14/5; 11/4; 27/10; 23/10
Lorca; 5; 19/4; 51/10; 9/2; 39/10; 19/4; 9/2; 9/2; 74/17; 41/10; 19/5; 9/2; 22/5; 12/5
