Granada; 13/5; ; 9/4; ; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; ; 5/2; 5/2; 28/11; ; ; 19/10; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-26 14:29:52 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 5/4; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; ; 5/4; 6/5; 6/5; ; ; 6/5; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; ; 21/10; 2; 37/19; ; ; 19/10; 
Granada; 13/5; ; 9/4; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; ; 5/2; 5/2; 28/11; ; ; 19/10; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-26 18:27:10 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-26 22:26:19 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-27 02:26:19 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 13/11; 11/10; 11/10; 5/4; 6/5; 6/5; ; ; 23/20; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; 15/8; 85/40; 2; 37/19; ; ; 2; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; 23/10; 5/2; 5/2; 28/11; ; ; 2; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-27 10:26:28 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
Cadiz; 6/5; ; 6/5; 6/5; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 6/5; 15/13; 6/5; 13/11; 11/10; 11/10; 5/4; 6/5; 6/5; ; ; ; 
Draw; 2; ; 2; 2; ; ; ; ; 2; ; ; 19/10; ; ; 2; ; 21/10; 19/10; 21/10; 28/13; 2; 15/8; 85/40; 2; 19/10; ; ; ; 
Granada; 13/5; ; 23/10; 23/10; ; ; ; ; 45/17; ; ; 5/2; ; ; 5/2; ; 12/5; 5/2; 12/5; 39/19; 13/5; 23/10; 5/2; 5/2; 28/11; ; ; ; 
META; spain/la-liga-segunda/cadiz-v-granada; 2017-12-27 14:30:23 GMT+2; 2018-01-06 17:00; Nothing; Xlenovo
