META; spain/la-liga-segunda/gijon-v-cordoba; 2017-12-24 18:26:59 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Gijon; 3/4; ; ; ; ; ; ; ; 7/10; ; ; 5/6; ; ; 5/6; ; ; 10/13; ; 9/11; 7/10; ; 17/20; ; 4/5; ; ; 4/5; 
Draw; 23/10; ; ; ; ; ; ; ; 9/4; ; ; 9/4; ; ; 12/5; ; ; 9/4; ; 23/10; 9/4; ; 23/10; ; 9/4; ; ; 21/10; 
Cordoba; 17/4; ; ; ; ; ; ; ; 43/10; ; ; 10/3; ; ; 100/ 30; ; ; 18/5; ; 3; 17/4; ; 19/5; ; 62/17; ; ; 3; 
META; spain/la-liga-segunda/gijon-v-cordoba; 2017-12-24 22:27:04 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Gijon; 3/4; ; ; ; ; ; ; ; 7/10; ; ; 5/6; ; ; 5/6; ; ; 10/13; ; 9/11; 7/10; ; 5/6; ; 4/5; ; ; 8/11; 
Draw; 23/10; ; ; ; ; ; ; ; 9/4; ; ; 9/4; ; ; 12/5; ; ; 9/4; ; 23/10; 9/4; ; 23/10; ; 9/4; ; ; 21/10; 
Cordoba; 17/4; ; ; ; ; ; ; ; 43/10; ; ; 10/3; ; ; 100/ 30; ; ; 18/5; ; 3; 17/4; ; 4; ; 62/17; ; ; 3; 
META; spain/la-liga-segunda/gijon-v-cordoba; 2017-12-25 02:27:03 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Gijon; 3/4; ; 4/5; ; ; ; ; ; 7/10; ; ; 4/5; ; ; 5/6; ; ; 10/13; ; 9/11; 7/10; ; 5/6; ; 4/5; ; ; ; 
Draw; 23/10; ; 9/4; ; ; ; ; ; 9/4; ; ; 9/4; ; ; 12/5; ; ; 9/4; ; 23/10; 9/4; ; 23/10; ; 9/4; ; ; ; 
Cordoba; 17/4; ; 17/5; ; ; ; ; ; 43/10; ; ; 7/2; ; ; 100/ 30; ; ; 18/5; ; 3; 17/4; ; 4; ; 62/17; ; ; ; 
META; spain/la-liga-segunda/gijon-v-cordoba; 2017-12-25 10:27:06 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Gijon; 3/4; ; 4/5; ; ; ; ; ; 7/10; ; ; 4/5; ; ; 5/6; ; 4/5; 10/13; 4/5; 9/11; 7/10; ; 5/6; ; 4/5; ; ; 8/11; 
Draw; 23/10; ; 23/10; ; ; ; ; ; 9/4; ; ; 9/4; ; ; 12/5; ; 23/10; 9/4; 23/10; 23/10; 9/4; ; 12/5; ; 9/4; ; ; 11/5; 
Cordoba; 17/4; ; 10/3; ; ; ; ; ; 43/10; ; ; 7/2; ; ; 100/ 30; ; 15/4; 18/5; 15/4; 3; 17/4; ; 15/4; ; 62/17; ; ; 3; 
