META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-11 02:22:13 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lorca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Valladolid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-11 10:22:26 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/25; ; ; ; ; ; ; ; 1/5; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; 4/6; ; 
Lorca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; ; ; ; 27/20; ; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-11 14:23:08 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/25; ; ; ; ; 4/6; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 9/4; ; ; 8/11; ; 
Lorca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 24/5; ; ; ; ; 21/4; ; ; 17/10; ; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-11 18:23:19 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 7/10; 7/10; 8/11; ; ; ; ; ; ; 8/11; 8/11; 3/4; ; ; 3/4; ; 11/17; 5/7; 19/25; 13/17; ; ; 3/4; 8/11; 5/7; ; 4/7; 4/6; 
Draw; 12/5; 23/10; 12/5; ; ; ; ; ; ; 12/5; 5/2; 12/5; ; ; 5/2; ; 5/2; 27/11; 129/50; 40/17; ; 23/10; 5/2; 51/20; 27/11; ; 23/20; 11/5; 
Lorca; 9/2; 4; 15/4; ; ; ; ; ; ; 15/4; 4; 15/4; ; 37/10; 15/4; ; 9/2; 4; 23/5; 13/4; ; 19/5; 21/5; 15/4; 77/19; ; 3; 10/3; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-11 22:23:42 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 4/6; 4/6; 7/10; ; 7/10; 7/10; ; ; ; 7/10; 8/11; 7/10; ; 8/11; 3/4; ; 7/10; 9/13; 3/4; 13/17; ; ; 8/11; 7/10; 9/13; ; 4/6; 8/11; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 12/5; ; ; ; 23/10; 5/2; 5/2; ; 12/5; 5/2; ; 12/5; 5/2; 67/25; 40/17; ; 23/10; 5/2; 51/20; 5/2; ; 12/5; 11/5; 
Lorca; 5; 4; 19/5; ; 17/4; 4; ; ; ; 19/5; 4; 15/4; ; 19/5; 15/4; ; 17/4; 21/5; 9/2; 13/4; ; 19/5; 22/5; 4; 17/4; ; 6/5; 3; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-12 02:23:27 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 4/6; 4/6; 7/10; ; 7/10; 7/10; ; ; ; 7/10; 8/11; 7/10; ; 8/11; 3/4; 7/10; 7/10; 4/6; 8/11; 13/17; ; 8/13; 8/11; 7/10; 4/6; ; 4/6; 8/11; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 12/5; ; ; ; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 67/25; 40/17; ; 12/5; 5/2; 51/20; 5/2; ; 9/5; 11/5; 
Lorca; 5; 4; 19/5; ; 17/4; 4; ; ; ; 19/5; 4; 15/4; ; 19/5; 15/4; 4; 17/4; 43/10; 47/10; 13/4; ; 7/2; 22/5; 4; 43/10; ; 6/5; 3; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-12 10:23:51 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 4/6; 4/6; 7/10; ; 7/10; 7/10; ; ; ; 7/10; 4/6; 7/10; ; 8/11; 3/4; 4/6; 7/10; 4/6; 73/100; 14/19; ; 8/13; 8/11; 7/10; 4/6; ; 4/6; 4/6; 
Draw; 23/10; 23/10; 23/10; ; 5/2; 12/5; ; ; ; 23/10; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 67/25; 12/5; ; 12/5; 5/2; 51/20; 5/2; ; 2; 9/4; 
Lorca; 5; 9/2; 19/5; ; 4; 4; ; ; ; 19/5; 9/2; 15/4; ; 19/5; 15/4; 9/2; 4; 43/10; 47/10; 57/17; ; 7/2; 22/5; 4; 43/10; ; 7/2; 10/3; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-12 14:24:59 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 8/13; 8/13; 4/6; ; 7/10; 13/20; ; ; ; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 7/10; 8/13; 17/25; 13/19; ; 8/13; 4/6; 13/20; ; ; 4/6; 4/7; 
Draw; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 28/11; 11/4; 27/11; ; 5/2; 13/5; 53/20; ; ; 9/4; 23/10; 
Lorca; 11/2; 9/2; 4; ; 4; 9/2; ; ; ; 4; 9/2; 4; 4; 4; 17/4; 9/2; 4; 50/11; 51/10; 37/10; ; 19/5; 19/4; 17/4; ; ; 7/2; 7/2; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-12 18:26:05 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 8/13; 8/13; 4/6; 13/20; 7/10; 13/20; ; ; ; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 7/10; 8/13; 17/25; 13/19; ; 8/13; 4/6; 13/20; 11/17; ; 4/6; 4/7; 
Draw; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 49/20; 13/5; 5/2; 5/2; 28/11; 11/4; 27/11; ; 5/2; 13/5; 53/20; 28/11; ; 9/4; 23/10; 
Lorca; 11/2; 9/2; 21/5; 4; 4; 9/2; ; ; ; 21/5; 9/2; 4; 4; 4; 17/4; 9/2; 4; 50/11; 51/10; 37/10; ; 19/5; 19/4; 17/4; 23/5; ; 7/2; 7/2; 
META; spain/la-liga-segunda/valladolid-v-lorca; 2017-12-12 22:26:41 GMT+2; 2017-12-16 17:00; Nothing; Xlenovo
Valladolid; 8/13; 8/13; 4/6; 13/20; 7/10; 13/20; 8/13; ; ; 4/6; 4/6; 4/6; 4/6; 4/6; 4/6; 8/13; 7/10; 11/17; 69/ 100; 13/19; ; 8/13; 4/6; 13/20; 11/17; ; 4/6; 4/7; 4/6
Draw; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 139/ 50; 27/11; ; 5/2; 13/5; 53/20; 28/11; ; 5/2; 23/10; 11/4
