META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-02 17:47:55 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; 27/25; 19/20; 1; 10/11; 21/20; 1; 21/20; 21/20; 1; 21/20; 21/20; 1; 24/23; 24/23; 1; 1; 1; ; ; 
Draw; 2; 19/10; 19/10; 15/8; 21/10; 2; 15/8; 11/5; 19/10; 2; 15/8; 2; 2; 19/10; 39/19; 2; 37/19; 28/13; 21/10; 39/19; 15/8; 2; 21/10
Cadiz; 10/3; 3; 3; 7/2; 16/5; 3; 14/5; 3; 16/5; 14/5; 31/10; 3; 16/5; 10/3; 27/10; 11/4; 17/5; 13/4; 14/5; 10/3; ; ; 
META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-02 22:25:19 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; 27/25; 19/20; 1; 10/11; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 1; 24/23; 24/23; 1; 1; 1; ; 
Draw; 2; 19/10; 19/10; 15/8; 21/10; 2; 15/8; 11/5; 19/10; 2; 15/8; 2; 2; 39/19; 2; 37/19; 28/13; 21/10; 39/19; 15/8; 2; 21/10
Cadiz; 10/3; 3; 3; 7/2; 16/5; 3; 14/5; 3; 16/5; 3; 31/10; 3; 13/4; 10/3; 27/10; 11/4; 17/5; 13/4; 3; 14/5; 10/3; 
META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-03 02:24:41 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; 27/25; 19/20; 1; 10/11; 42/41; 1; 21/20; 1; 21/20; 21/20; 1; 24/23; 42/41; 1; 1; 20/21; 21/20; ; 
Draw; 2; 19/10; 19/10; 15/8; 52/25; 2; 15/8; 2; 19/10; 2; 15/8; 2; 19/10; 39/19; 2; 37/19; 37/19; 21/10; 2; 39/19; 19/10; 2
Cadiz; 10/3; 3; 3; 71/20; 16/5; 3; 16/5; 3; 16/5; 14/5; 31/10; 3; 13/4; 10/3; 27/10; 31/10; 17/5; 7/2; 33/10; 3; 14/5; 10/3
META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-03 10:25:22 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; 11/10; 19/20; 1; 10/11; 42/41; 1; 21/20; 21/20; 1; 19/20; 1; 1; 42/41; 42/41; 1; 1; 1; ; 
Draw; 2; 19/10; 19/10; 15/8; 51/25; 2; 15/8; 15/8; 2; 19/10; 2; 15/8; 39/20; 2; 19/10; 2; 39/19; 37/19; 21/10; 2; 19/10; 2
Cadiz; 10/3; 3; 3; 71/20; 16/5; 3; 16/5; 3; 16/5; 3; 7/2; 16/5; 33/10; 10/3; 29/10; 31/10; 17/5; 7/2; 33/10; 7/2; 3; 10/3
META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-03 14:23:59 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 1; 1; 21/20; 28/25; 19/20; 1; 10/11; 42/41; 1; 1; 19/20; 1; 24/23; 42/41; 1; 21/20; 1; 21/20; ; ; ; ; 
Draw; 2; 19/10; 19/10; 15/8; 191/00; 2; 15/8; 15/8; 2; 19/10; 19/10; 2; 19/10; 39/19; 2; 39/19; 37/19; 21/10; 2; 39/19; 19/10; 2; 
Cadiz; 10/3; 3; 3; 15/4; 16/5; 3; 16/5; 3; 10/3; 16/5; 3; 7/2; 16/5; 31/10; 10/3; 37/13; 31/10; 17/5; 7/2; 31/10; 7/2; 7/2; 7/2
META; spain/la-liga-segunda/osasuna-v-cadiz; 2018-03-03 18:23:34 GMT+2; 2018-03-03 17:00; Nothing; Xlenovo
Osasuna; 19/20; 1; 109/00; 19/20; 1; 10/11; 42/41; 1; 1; 1; 1; 42/41; 42/41; 1; 1; 1; ; ; ; ; ; ; ; ; ; 
Draw; 2; 19/10; 15/8; 7/4; 47/25; 15/8; 15/8; 9/5; 2; 15/8; 15/8; 15/8; 15/8; 15/8; 15/8; 15/8; 2; 37/19; 37/19; 19/10; 2; 19/10; 19/10; 19/10; ; 
Cadiz; 7/2; 3; 10/3; 17/5; 4; 10/3; 10/3; 16/5; 16/5; 10/3; 10/3; 10/3; 3; 10/3; 7/2; 10/3; 33/10; 10/3; 3; 31/10; 15/4; 7/2; 33/10; 7/2; 7/2; 4
