META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-05 10:23:45 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/50; 21/20
Lorca; 1/50; 11/5
Draw; 1/50; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-05 14:24:56 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/50; 21/20
Lorca; 1/50; 11/5
Draw; 1/50; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-05 18:24:03 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/50; 21/20
Lorca; 1/50; 11/5
Draw; 1/50; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-05 22:20:48 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/50; 21/20
Lorca; 1/50; 11/5
Draw; 1/50; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-06 02:21:04 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/33; 21/20
Lorca; 1/33; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-06 10:21:15 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/33; 21/20
Lorca; 1/33; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-06 14:21:27 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/33; 21/20
Lorca; 1/33; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-06 18:20:05 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/33; 21/20
Lorca; 1/33; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-06 22:18:39 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/33; 21/20
Lorca; 1/33; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-07 02:18:59 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/25; 21/20
Lorca; 1/25; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-07 10:19:35 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/25; 21/20
Lorca; 1/25; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-07 14:19:44 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/25; 21/20
Lorca; 1/25; 11/5
Draw; 1/100; 12/5
META; spain/la-liga-segunda/lorca-v-numancia; 2018-05-07 18:20:10 GMT+3; 2018-05-11 20:00; Nothing; Xlenovo
Numancia; 1/25; 21/20
Lorca; 1/25; 11/5
Draw; 1/100; 12/5
