META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-21 22:17:04 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 1/50; 5/6
FC Barcelona B; 1/50; 12/5
Draw; 1/50; 13/5
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-22 02:16:58 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 6/4; 4/7; 7/5
FC Barcelona B; 2; 8/11; 19/10
Draw; 23/10; 5/6; 11/5
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-22 10:18:38 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 29/20; 6/4; 7/5; 10/9; 7/5
FC Barcelona B; 9/5; 2; 15/8; 7/5; 19/10
Draw; 21/10; 23/10; 11/5; 17/10; 9/4
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-22 14:20:21 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 29/20; 6/4; 7/5; 6/4; 8/11; 7/5
FC Barcelona B; 15/8; 2; 19/10; 19/10; 20/21; 19/10
Draw; 2; 23/10; 21/10; 19/10; 21/20; 9/4
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-22 18:19:05 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 7/5; 7/5; 29/20; 11/8; 38/25; 29/20; 7/5; 29/20; 8/5; 7/5; 10/7; 10/7; 31/20; 16/11; 10/11; 7/5
Draw; 2; 2; 21/10; 109/0; 2; 21/10; 19/10; 37/19; 21/10; 39/19; 21/10; 37/19; 17/10; 21/10; ; 
FC Barcelona B; 11/5; 19/10; 15/8; 2; 52/25; 15/8; 2; 15/8; 19/10; 2; 19/11; 37/19; 2; 23/20; 2; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-22 22:19:16 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 6/4; 31/20; 11/8; 81/50; 16/11; 31/20; 6/4; 6/4; 6/4; 6/4; 10/7; 10/7; 8/5; 6/4; 3/10; 6/4
FC Barcelona B; 19/10; 9/5; 7/4; 2; 97/50; 39/19; 7/4; 15/8; 9/5; 15/8; 9/5; 19/11; 2; 19/10; 24/13; 6/5; 19/10
Draw; 2; 2; 21/10; 109/0; 39/19; 2; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 39/19; 6/5; 21/10; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-23 02:19:12 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 6/4; 6/4; 11/8; 159/00; 16/11; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 10/7; 10/7; 8/5; 6/4; 6/5; 11/8; 6/4
FC Barcelona B; 19/10; 9/5; 7/4; 2; 49/25; 39/19; 7/4; 15/8; 9/5; 15/8; 9/5; 19/10; 19/11; 2; 19/10; 24/13; 8/5; 6/4; 19/10
Draw; 2; 2; 21/10; 11/5; 39/19; 2; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 2; 7/5; 7/4; 21/10; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-23 17:28:45 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 6/4; 8/5; 8/5; 17/10; 8/5; 16/11; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; 17/11; 23/15; 10/7; 17/10; 8/5; 7/5; 13/8
FC Barcelona B; 19/10; 7/4; 17/10; 17/10; 183/00; 9/5; 39/19; 17/10; 9/5; 7/4; 17/10; 7/4; 7/4; 19/10; 8/5; 2; 9/5; 7/4; 6/4; 7/4
Draw; 2; 2; 21/10; 11/5; 2; 39/19; 2; 21/10; 2; 2; 21/10; 39/19; 21/10; 2; 17/10; 21/10; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-23 22:19:50 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 13/8; 8/5; 8/5; 33/20; 8/5; 8/5; 8/5; 8/5; 31/20; 17/10; 6/4; 17/11; 8/5; 23/15; 17/11; 17/10; 8/5; 7/5; 8/5
FC Barcelona B; 19/10; 17/10; 17/10; 17/10; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 8/5; 7/4; 9/5; 7/4; 6/4; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 21/10; 2; 21/10; 2; 21/10; 37/19; 21/10; 21/10; 85/40; 28/13; 17/10; 9/4; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-24 02:20:19 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 13/8; 31/20; 8/5; 41/25; 8/5; 6/4; 8/5; 31/20; 8/5; 8/5; 17/10; 6/4; 17/11; 8/5; 6/4; 17/11; 17/10; 8/5; 7/5; 13/8
FC Barcelona B; 19/10; 17/10; 17/10; 17/10; 181/00; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 13/8; 7/4; 9/5; 7/4; 6/4; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 21/10; 2; 21/10; 2; 21/10; 37/19; 21/10; 21/10; 85/40; 28/13; 17/10; 9/4; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-24 10:20:32 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 13/8; 31/20; 8/5; 41/25; 8/5; 6/4; 8/5; 31/20; 8/5; 31/20; 17/10; 6/4; 17/11; 8/5; 6/4; 17/11; 17/10; 8/5; 7/5; 13/8
FC Barcelona B; 19/10; 17/10; 17/10; 17/10; 181/00; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 24/13; 13/8; 7/4; 9/5; 7/4; 6/4; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 21/10; 2; 21/10; 2; 21/10; 37/19; 21/10; 21/10; 85/40; 28/13; 17/10; 9/4; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-24 14:20:04 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 13/8; 31/20; 8/5; 161/00; 8/5; 6/4; 31/20; 8/5; 31/20; 8/5; 13/8; 17/10; 6/4; 17/11; 8/5; 6/4; 17/11; 17/10; 8/5; 7/5; 13/8
FC Barcelona B; 19/10; 17/10; 17/10; 17/10; 46/25; 9/5; 7/4; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 17/10; 24/13; 13/8; 7/4; 9/5; 17/10; 6/4; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 2; 21/10; 21/10; 41/20; 2; 28/13; 37/19; 21/10; 21/10; 85/40; 11/5; 17/10; 9/4; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-24 18:17:54 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 8/5; 6/4; 31/20; 8/5; 8/5; 8/5; 6/4; 8/5; 31/20; 8/5; 31/20; 8/5; 13/8; 17/10; 6/4; 17/11; 8/5; 6/4; 17/11; 17/10; 8/5; 7/5; 8/5
FC Barcelona B; 19/10; 7/4; 17/10; 17/10; 37/20; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 7/4; 24/13; 13/8; 7/4; 9/5; 7/4; 7/5; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 21/10; 2; 21/10; 21/10; 41/20; 2; 21/10; 37/19; 21/10; 21/10; 85/40; 28/13; 9/5; 9/4; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-24 22:18:46 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 8/5; 8/5; 161/00; 8/5; 6/4; 8/5; 8/5; 8/5; 8/5; 8/5; 13/8; 17/10; 6/4; 8/5; 8/5; 6/4; 17/11; 17/10; 28/17; 7/5; 7/5; 8/5
FC Barcelona B; 9/5; 17/10; 17/10; 17/10; 46/25; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 7/4; 7/4; 24/13; 13/8; 7/4; 9/5; 7/4; 13/8; 7/5; 7/4
Draw; 2; 2; 21/10; 58/25; 2; 21/10; 2; 2; 21/10; 41/20; 2; 28/13; 37/19; 21/10; 21/10; 85/40; 28/13; 9/5; 9/5; 9/4; ; ; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-25 02:20:40 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 8/5; 8/5; 41/25; 8/5; 13/8; 8/5; 8/5; 8/5; 31/20; 13/8; 13/8; 17/10; 8/5; 28/17; 8/5; 6/4; 17/11; 13/8; 28/17; 7/5; 7/5; 13/8
FC Barcelona B; 9/5; 17/10; 17/10; 17/10; 89/50; 9/5; 13/8; 9/5; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 24/13; 13/8; 7/4; 9/5; 17/10; 13/8; 7/5; 13/8
Draw; 2; 2; 21/10; 59/25; 2; 21/10; 2; 21/10; 11/5; 2; 41/20; 2; 21/10; 11/5; 37/19; 21/10; 21/10; 11/5; 11/5; 9/5; 9/5; 23/10; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-25 10:21:49 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 8/5; 8/5; 41/25; 8/5; 13/8; 8/5; 8/5; 8/5; 31/20; 13/8; 13/8; 17/10; 8/5; 28/17; 28/17; 6/4; 17/11; 13/8; 28/17; 7/5; 7/5; 13/8
FC Barcelona B; 9/5; 17/10; 17/10; 17/10; 89/50; 9/5; 13/8; 9/5; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 13/8; 7/4; 9/5; 17/10; 13/8; 7/5; 13/8
Draw; 2; 2; 21/10; 59/25; 2; 21/10; 2; 21/10; 11/5; 2; 41/20; 2; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 9/5; 9/5; 23/10; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-25 14:21:56 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 13/8; 8/5; 81/50; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 13/8; 33/20; 13/8; 8/5; 8/5; 28/17; 6/4; 17/11; 17/10; 28/17; 6/4; 7/5; 7/5; 8/5
FC Barcelona B; 9/5; 17/10; 33/20; 17/10; 44/25; 9/5; 13/8; 9/5; 33/20; 17/10; 7/4; 17/10; 33/20; 13/8; 17/10; 17/10; 7/4; 13/8; 7/4; 17/10; 17/10; 8/5; 6/4; 7/5; 13/8
Draw; 2; 2; 21/10; 121/0; 2; 21/10; 2; 21/10; 19/10; 2; 41/20; 9/4; 2; 11/5; 21/10; 21/10; 21/10; 11/5; 9/4; 9/4; 9/5; 9/5; 12/5; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-25 18:21:27 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 13/8; 8/5; 81/50; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 13/8; 33/20; 13/8; 8/5; 8/5; 28/17; 6/4; 17/11; 17/10; 28/17; 6/4; 7/5; 7/5; 8/5
FC Barcelona B; 9/5; 17/10; 33/20; 17/10; 44/25; 9/5; 13/8; 9/5; 33/20; 17/10; 7/4; 17/10; 33/20; 13/8; 17/10; 17/10; 7/4; 13/8; 7/4; 17/10; 17/10; 8/5; 6/4; 7/5; 13/8
Draw; 2; 2; 21/10; 121/0; 2; 21/10; 2; 21/10; 19/10; 2; 41/20; 9/4; 2; 11/5; 21/10; 21/10; 21/10; 11/5; 9/4; 9/4; 15/8; 9/5; 12/5; ; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-25 22:20:53 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 13/8; 8/5; 171/00; 13/8; 13/8; 8/5; 13/8; 13/8; 17/10; 17/10; 33/20; 13/8; 8/5; 17/10; 28/17; 6/4; 17/11; 17/10; 17/10; 13/8; 8/5; 7/5; 17/10
FC Barcelona B; 9/5; 17/10; 13/8; 17/10; 43/25; 17/10; 13/8; 9/5; 13/8; 13/8; 7/4; 13/8; 13/8; 13/8; 17/10; 28/17; 7/4; 13/8; 7/4; 17/10; 17/10; 6/4; 6/4; 7/5; 13/8
Draw; 2; 2; 21/10; 117/0; 21/10; 2; 21/10; 2; 21/10; 19/10; 2; 41/20; 9/4; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 19/10; 9/5; 23/10; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-26 02:22:00 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 13/8; 8/5; 171/00; 13/8; 13/8; 17/10; 13/8; 13/8; 17/10; 17/10; 33/20; 13/8; 8/5; 17/10; 28/17; 6/4; 28/17; 17/10; 17/10; 13/8; 6/4; 7/5; 17/10
FC Barcelona B; 9/5; 13/8; 13/8; 17/10; 43/25; 13/8; 13/8; 8/5; 13/8; 13/8; 7/4; 13/8; 33/20; 13/8; 17/10; 28/17; 7/4; 13/8; 17/11; 17/10; 28/17; 6/4; 6/4; 7/5; 13/8
Draw; 2; 2; 21/10; 117/0; 21/10; 2; 9/4; 2; 21/10; 19/10; 2; 41/20; 9/4; 2; 28/13; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 19/10; 9/5; 23/10; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-26 10:22:21 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 33/20; 8/5; 43/25; 13/8; 13/8; 17/10; 33/20; 13/8; 17/10; 17/10; 33/20; 13/8; 8/5; 17/10; 28/17; 6/4; 28/17; 17/10; 17/10; 13/8; 6/4; 7/5; 17/10
FC Barcelona B; 9/5; 13/8; 13/8; 17/10; 43/25; 13/8; 13/8; 8/5; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 17/10; 28/17; 7/4; 13/8; 17/11; 17/10; 28/17; 13/8; 6/4; 7/5; 13/8
Draw; 2; 2; 21/10; 58/25; 21/10; 2; 9/4; 2; 21/10; 21/10; 2; 41/20; 9/4; 2; 28/13; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 9/5; 9/4; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-26 14:23:02 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 33/20; 13/8; 43/25; 13/8; 13/8; 17/10; 33/20; 13/8; 17/10; 13/8; 33/20; 13/8; 8/5; 17/10; 28/17; 11/7; 28/17; 17/10; 17/10; 13/8; 6/4; 7/5; 17/10
FC Barcelona B; 9/5; 13/8; 8/5; 8/5; 7/4; 13/8; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 13/8; 13/8; 8/5; 28/17; 7/4; 20/13; 17/11; 17/10; 28/17; 13/8; 6/4; 7/5; 13/8
Draw; 2; 2; 11/5; 57/25; 21/10; 2; 9/4; 2; 21/10; 21/10; 11/5; 41/20; 9/4; 21/10; 28/13; 21/10; 28/13; 11/5; 11/5; 11/5; 11/5; 21/10; 9/5; 9/4; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-26 18:22:50 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 17/10; 13/8; 31/20; 13/8; 8/5; 13/8; 13/8; 17/10; 31/20; 8/5; 31/20; 6/4; 8/5; 6/4; 8/5; 8/5; 28/17; 52/35; 28/17; 17/10; 8/5; 6/4; 6/4; 11/8; 8/5
FC Barcelona B; 9/5; 13/8; 17/10; 8/5; 46/25; 13/8; 13/8; 8/5; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10; 17/10; 7/4; 13/8; 17/11; 7/4; 7/4; 13/8; 6/4; 6/4; 17/10
Draw; 2; 2; 11/5; 117/0; 21/10; 2; 9/4; 2; 21/10; 21/10; 11/5; 41/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 9/4; 9/4; 19/10; 9/5; 23/10; 
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-26 22:22:30 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 31/20; 6/4; 6/4; 13/8; 77/50; 13/8; 6/4; 17/10; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 7/5; 28/17; 31/20; 17/11; 6/4; 6/4; 13/10; 6/4
FC Barcelona B; 2; 7/4; 9/5; 8/5; 49/25; 7/4; 7/4; 8/5; 9/5; 7/4; 9/5; 9/5; 37/20; 15/8; 9/5; 24/13; 19/10; 19/11; 17/11; 19/10; 24/13; 9/5; 9/5; 8/5; 9/5
Draw; 2; 21/10; 2; 11/5; 57/25; 21/10; 2; 9/4; 2; 21/10; 2; 21/10; 41/20; 21/10; 2; 28/13; 21/10; 28/13; 11/5; 11/5; 11/5; 11/5; 19/10; 9/5; 9/4
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-27 02:22:25 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 29/20; 29/20; 29/20; 13/8; 8/5; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 17/11; 7/5; 31/21; 31/20; 6/4; 6/4; 7/5; 5/4; 6/4
FC Barcelona B; 21/10; 9/5; 9/5; 8/5; 191/00; 15/8; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 15/8; 15/8; 15/8; 19/10; 19/10; 19/11; 7/4; 19/10; 19/10; 9/5; 9/5; 13/8; 15/8
Draw; 2; 21/10; 2; 11/5; 9/4; 21/10; 2; 9/4; 2; 21/10; 2; 21/10; 41/20; 21/10; 2; 28/13; 21/10; 28/13; 9/4; 11/5; 11/5; 21/10; 21/10; 9/5; 11/5
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-27 10:22:27 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 29/20; 29/20; 29/20; 13/8; 77/50; 6/4; 6/4; 6/4; 29/20; 7/5; 29/20; 6/4; 6/4; 6/4; 7/5; 6/4; 17/11; 17/12; 31/21; 31/20; 6/4; 7/5; 6/4; 6/4; 8/5
FC Barcelona B; 21/10; 9/5; 9/5; 8/5; 39/20; 15/8; 7/4; 9/5; 9/5; 15/8; 15/8; 9/5; 37/20; 15/8; 15/8; 19/10; 19/10; 9/5; 7/4; 19/10; 19/10; 9/5; 19/10; 19/10; 19/10
Draw; 2; 21/10; 2; 11/5; 23/10; 21/10; 2; 9/4; 2; 21/10; 21/10; 21/10; 41/20; 21/10; 21/10; 28/13; 21/10; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-27 14:22:44 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 6/4; 6/4; 31/20; 13/8; 39/25; 31/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 6/4; 8/5; 6/4; 31/21; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5
FC Barcelona B; 19/10; 7/4; 7/4; 8/5; 177/00; 7/4; 7/4; 9/5; 9/5; 17/10; 17/10; 7/4; 7/4; 17/10; 8/5; 7/4; 24/13; 17/10; 7/4; 9/5; 7/4; 13/8; 9/5; 9/5; 15/8
Draw; 21/10; 21/10; 2; 11/5; 63/25; 23/10; 2; 9/4; 2; 11/5; 9/4; 11/5; 21/10; 23/10; 21/10; 23/10; 21/10; 9/4; 9/4; 9/4; 40/17; 12/5; 11/5; 23/10; 12/5
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-27 18:21:59 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 13/8; 6/4; 31/20; 13/8; 163/00; 31/20; 6/4; 17/11; 6/4; 6/4; 31/20; 6/4; 31/20; 6/4; 6/4; 8/5; 8/5; 53/35; 6/4; 8/5; 8/5; 13/8; 6/4; 13/8; 13/8
FC Barcelona B; 7/4; 17/10; 17/10; 8/5; 179/00; 7/4; 7/4; 7/4; 9/5; 17/10; 17/10; 17/10; 17/10; 17/10; 8/5; 17/10; 24/13; 18/11; 17/10; 9/5; 17/10; 13/8; 9/5; 9/5; 19/10
Draw; 21/10; 85/40; 21/10; 11/5; 59/25; 23/10; 2; 9/4; 2; 11/5; 11/5; 11/5; 21/10; 23/10; 2; 11/5; 21/10; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10
META; spain/la-liga-segunda/albacete-v-fc-barcelona-b; 2018-05-27 22:21:29 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Albacete; 171/00; 37/19; 2; 21/10; 2; 7/4; 2; 21/10; 7/4; 9/4; 21/10
