META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-11 22:23:52 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 11/10; ; ; ; ; ; 6/5; ; 11/10; ; ; ; 23/20; ; ; ; 11/10; 11/10; 15/13; ; ; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 85/40; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; 39/19; ; ; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 13/5; ; 5/2; ; ; ; 51/20; ; ; ; 12/5; 5/2; 40/17; ; ; 5/2; ; 12/5; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-12 02:24:57 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 11/10; ; ; ; ; ; 6/5; ; 11/10; ; ; ; 23/20; ; ; ; 11/10; 11/10; 15/13; 127/100; ; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 85/40; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; 39/19; 21/10; ; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 13/5; ; 5/2; ; ; ; 51/20; ; ; ; 12/5; 5/2; 40/17; 14/5; ; 5/2; ; 12/5; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-12 10:23:38 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 5/4; ; ; ; ; ; 6/5; ; 11/10; ; ; ; 23/20; ; ; ; 11/10; 11/10; 6/5; 127/100; ; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 21/10; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; 2; 21/10; ; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 13/5; ; 5/2; ; ; ; 51/20; ; ; ; 12/5; 5/2; 23/10; 14/5; ; 5/2; ; 12/5; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-12 14:23:40 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 5/4; ; ; ; ; ; 6/5; ; 11/10; ; ; ; 23/20; ; ; ; 11/10; 11/10; 15/13; 127/100; ; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 21/10; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; 39/19; 21/10; ; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 13/5; ; 5/2; ; ; ; 51/20; ; ; ; 12/5; 5/2; 40/17; 14/5; ; 5/2; ; 12/5; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-12 18:24:14 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 5/4; ; ; ; ; ; 6/5; ; 11/10; ; ; ; 6/5; ; ; ; 11/10; 11/10; 6/5; 127/100; 17/14; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 85/40; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; 39/19; 21/10; 28/13; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 13/5; ; 5/2; ; ; ; 49/20; ; ; ; 12/5; 5/2; 40/17; 14/5; 39/19; 5/2; ; 23/10; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-12 22:24:43 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
Gimnastic de Tarragona; 5/4; ; ; ; ; ; 5/4; ; 11/10; ; ; ; 6/5; ; ; ; 11/10; 11/10; ; 127/100; 17/14; 11/10; ; 11/10; ; ; ; ; 
Draw; 2; ; ; ; ; ; 85/40; ; 21/10; ; ; ; 21/10; ; ; ; 11/5; 21/10; ; 21/10; 28/13; 21/10; ; 2; ; ; ; ; 
Almeria; 5/2; ; ; ; ; ; 5/2; ; 5/2; ; ; ; 49/20; ; ; ; 12/5; 5/2; ; 14/5; 39/19; 5/2; ; 23/10; ; ; ; ; 
META; spain/la-liga-segunda/gimnastic-de-tarragona-v-almeria; 2017-08-13 02:23:56 GMT+3; 2017-08-20 19:30; Nothing; Xlenovo
