META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-21 22:23:56 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gimnastic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 02:23:50 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gimnastic; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 10:24:19 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Gimnastic; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 14:24:28 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 13/20; 4/6; 4/6; ; 4/5; ; ; ; ; 4/6; 4/6; 8/13; ; ; 4/6; ; 11/17; 11/18; 11/17; 11/18; ; ; 13/20; 8/13; 4/6; 4/9; ; 
Draw; 5/2; 5/2; 13/5; ; 5/2; ; ; ; ; 13/5; 5/2; 13/5; ; ; 11/4; ; 5/2; 13/5; 5/2; 14/5; ; ; 14/5; 27/10; 12/5; 9/5; ; 
Gimnastic; 19/4; 4; 4; ; 22/5; ; ; ; ; 4; 4; 4; ; ; 4; ; 9/2; 74/17; 9/2; 62/17; ; ; 9/2; 9/2; 17/4; 21/10; ; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 18:24:30 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 6/10; 4/7; 8/13; 17/25; ; ; ; 3/5; 4/7; 3/5; 6/10; 6/10; ; 3/5; ; 8/13; 4/7; 8/13; 4/7; 3/5; 8/15; 8/13; 11/20; 4/7; 2/5; 4/7; 
Draw; 13/5; 13/5; 11/4; 11/4; 137/ 50; ; ; ; 45/17; 11/4; 13/5; 13/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 14/5; 29/10; 29/10; 27/10; 9/4; 23/10; 
Gimnastic; 11/2; 9/2; 9/2; 4; 51/10; ; ; ; 43/10; 9/2; 9/2; 9/2; 17/4; ; 9/2; ; 5; 49/10; 5; 50/13; 17/4; 17/4; 19/4; 5; 24/5; 12/5; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-22 22:24:25 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 4/7; 8/13; 31/50; ; ; ; 3/5; 4/7; 4/7; 6/10; 6/10; ; 3/5; ; 8/13; 5/9; 8/13; 4/7; 3/5; 1/2; 3/5; 8/15; 4/7; 2/5; 4/7; 
Draw; 13/5; 13/5; 11/4; 11/4; 73/25; ; ; ; 45/17; 11/4; 11/4; 13/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 14/5; 29/10; 59/20; 14/5; 17/10; 23/10; 
Gimnastic; 11/2; 9/2; 9/2; 4; 11/2; ; ; ; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; ; 5; 49/10; 5; 50/13; 17/4; 9/2; 5; 5; 94/19; 12/5; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 02:24:16 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 3/5; 8/13; 13/20; ; ; ; 3/5; 6/10; 3/5; 6/10; 6/10; ; 3/5; ; 8/13; 5/9; 8/13; 4/7; 3/5; 8/15; 8/13; 4/7; 4/7; 2/5; 4/7; 
Draw; 13/5; 13/5; 27/10; 11/4; 72/25; ; ; ; 45/17; 27/10; 13/5; 14/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 14/5; 13/8; 23/10; 
Gimnastic; 11/2; 9/2; 17/4; 4; 26/5; ; ; ; 43/10; 17/4; 9/2; 4; 9/2; ; 9/2; ; 5; 49/10; 5; 50/13; 17/4; 17/4; 19/4; 9/2; 94/19; 23/10; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 10:24:22 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 3/5; 8/13; 13/20; ; ; ; 3/5; 6/10; 3/5; 6/10; 6/10; ; 3/5; ; 8/13; 5/9; 8/13; 4/7; 3/5; 8/15; 8/13; 4/7; 4/7; 2/5; 4/7; 
Draw; 13/5; 13/5; 27/10; 11/4; 72/25; ; ; ; 45/17; 27/10; 13/5; 14/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 14/5; 9/5; 23/10; 
Gimnastic; 11/2; 9/2; 17/4; 4; 26/5; ; ; ; 43/10; 17/4; 9/2; 4; 9/2; ; 9/2; ; 5; 49/10; 5; 50/13; 17/4; 17/4; 19/4; 9/2; 94/19; 5/2; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 14:24:24 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 3/5; 8/13; 13/20; ; ; ; 3/5; 6/10; 3/5; 6/10; 6/10; ; 3/5; ; 8/13; 4/7; 8/13; 4/7; 3/5; 8/15; 8/13; 4/7; 10/17; 2/5; 4/7; 
Draw; 13/5; 13/5; 27/10; 11/4; 72/25; ; ; ; 45/17; 27/10; 13/5; 14/5; 11/4; ; 11/4; ; 5/2; 11/4; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 11/4; 9/5; 23/10; 
Gimnastic; 11/2; 9/2; 17/4; 4; 26/5; ; ; ; 43/10; 17/4; 9/2; 4; 9/2; ; 9/2; ; 5; 63/13; 5; 50/13; 17/4; 17/4; 19/4; 9/2; 49/10; 5/2; 4; 
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 18:24:52 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 4/7; 8/13; 13/20; ; ; ; 3/5; 4/7; 3/5; 6/10; 6/10; ; 3/5; 4/7; 8/13; 11/18; 8/13; 4/7; 3/5; 8/15; 3/5; 4/7; 10/17; 8/15; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 72/25; ; ; ; 45/17; 11/4; 13/5; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 5/2; 29/10; 13/5; 11/4; 29/10; 59/20; 11/4; 12/5; 12/5; 14/5
Gimnastic; 11/2; 9/2; 9/2; 4; 26/5; ; ; ; 43/10; 9/2; 9/2; 4; 9/2; ; 9/2; 9/2; 5; 79/17; 5; 50/13; 17/4; 17/4; 5; 9/2; 49/10; 7/2; 9/2; 5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-23 22:24:47 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 6/10; 4/7; 8/13; 61/ 100; ; ; ; 3/5; 4/7; 4/7; 6/10; 6/10; ; 3/5; 4/7; 8/13; 5/9; 8/13; 4/7; 3/5; 8/15; 8/13; 11/20; 4/7; ; 4/9; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 149/ 50; ; ; ; 45/17; 11/4; 11/4; 11/4; 11/4; ; 11/4; 13/5; 5/2; 14/5; 5/2; 29/10; 13/5; 14/5; 29/10; 59/20; 14/5; ; 5/2; 12/5; 3
Gimnastic; 11/2; 9/2; 9/2; 4; 11/2; ; ; ; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; 5; 5; 94/19; 5; 50/13; 17/4; 9/2; 19/4; 19/4; 5; ; 7/2; 21/5; 27/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 02:24:22 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 4/7; 8/13; 61/ 100; ; ; ; 3/5; 4/7; 4/7; 6/10; 6/10; ; 3/5; 4/7; 4/7; 5/9; 4/7; 4/7; 3/5; 8/15; 8/13; 11/20; 4/7; ; 4/9; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 149/ 50; ; ; ; 45/17; 11/4; 11/4; 11/4; 11/4; ; 11/4; 13/5; 13/5; 14/5; 13/5; 29/10; 13/5; 14/5; 29/10; 59/20; 14/5; ; 19/10; 12/5; 3
Gimnastic; 11/2; 9/2; 9/2; 4; 11/2; ; ; ; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; 5; 11/2; 94/19; 11/2; 50/13; 17/4; 9/2; 19/4; 19/4; 5; ; 14/5; 21/5; 27/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 10:24:19 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 8/15; 4/7; 8/13; 61/ 100; ; ; 8/15; 3/5; 4/7; 4/7; 6/10; 6/10; ; 3/5; 4/7; 4/7; 5/9; 4/7; 4/7; 3/5; 8/15; 8/13; 11/20; 4/7; ; 4/9; 8/15; 4/7
Draw; 13/5; 11/4; 11/4; 11/4; 149/ 50; ; ; 13/5; 45/17; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 13/5; 14/5; 13/5; 29/10; 13/5; 14/5; 29/10; 59/20; 14/5; ; 13/5; 12/5; 3
Gimnastic; 11/2; 5; 9/2; 4; 11/2; ; ; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; 9/2; 11/2; 94/19; 11/2; 50/13; 17/4; 9/2; 19/4; 19/4; 5; ; 7/2; 21/5; 27/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 14:24:26 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 8/15; 4/7; 8/13; 4/6; ; ; 8/15; 3/5; 4/7; 3/5; 4/7; 6/10; ; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 10/17; ; 2/5; 8/15; 4/7
Draw; 13/5; 11/4; 11/4; 11/4; 143/ 50; ; ; 13/5; 45/17; 11/4; 13/5; 11/4; 11/4; ; 11/4; 13/5; 13/5; 27/10; 13/5; 29/10; 13/5; 11/4; 29/10; 29/10; 11/4; ; 19/10; 12/5; 14/5
Gimnastic; 11/2; 5; 9/2; 4; 5; ; ; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; ; 9/2; 9/2; 11/2; 47/10; 11/2; 50/13; 17/4; 4; 19/4; 9/2; 19/4; ; 14/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 18:24:24 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 8/15; 4/7; 8/13; 4/6; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 4/7; 6/10; 6/10; 3/5; 4/7; 4/7; 11/18; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 11/18; ; 2/5; 8/15; 4/7
Draw; 13/5; 11/4; 11/4; 11/4; 143/ 50; 11/4; 11/4; 13/5; 45/17; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 13/5; 13/5; 11/4; 13/5; 29/10; 13/5; 11/4; 29/10; 29/10; 14/5; ; 19/10; 12/5; 14/5
Gimnastic; 11/2; 5; 9/2; 4; 5; 9/2; 9/2; 9/2; 43/10; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 11/2; 24/5; 11/2; 50/13; 17/4; 4; 19/4; 9/2; 49/10; ; 14/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-24 22:24:14 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 8/15; 4/7; 8/13; 4/6; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 4/7; 6/10; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 11/18; ; 2/5; 8/15; 4/7
Draw; 13/5; 11/4; 11/4; 11/4; 143/ 50; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 13/5; 13/5; 14/5; 13/5; 29/10; 11/4; 11/4; 29/10; 29/10; 14/5; ; 13/5; 12/5; 14/5
Gimnastic; 11/2; 5; 9/2; 4; 5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 11/2; 24/5; 11/2; 50/13; 9/2; 4; 19/4; 9/2; 63/13; ; 7/2; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-25 02:24:02 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 6/10; 4/7; 8/13; 4/6; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 4/7; 6/10; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 11/18; ; 2/5; 8/15; 4/7
Draw; 13/5; 13/5; 11/4; 11/4; 143/ 50; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 11/4; 13/5; 13/5; 14/5; 13/5; 29/10; 11/4; 11/4; 29/10; 29/10; 14/5; ; 9/5; 12/5; 14/5
Gimnastic; 11/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 11/2; 63/13; 11/2; 50/13; 9/2; 4; 19/4; 9/2; 49/10; ; 7/2; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-25 10:23:58 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 4/7; 8/13; 4/6; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 8/13; 6/10; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 11/18; ; 2/5; 8/15; 4/7
Draw; 13/5; 11/4; 11/4; 11/4; 143/ 50; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 14/5; 11/4; 11/4; 13/5; 13/5; 14/5; 13/5; 29/10; 11/4; 11/4; 29/10; 29/10; 14/5; ; 19/10; 12/5; 14/5
Gimnastic; 11/2; 9/2; 9/2; 4; 5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 17/4; 9/2; 9/2; 11/2; 24/5; 11/2; 50/13; 9/2; 4; 19/4; 9/2; 63/13; ; 7/2; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-gimnastic; 2018-01-25 14:24:16 GMT+2; 2018-01-28 15:00; Nothing; Xlenovo
Gijon; 4/7; 4/7; 4/7; 8/13; 4/6; 11/20; 4/7; 8/15; 3/5; 4/7; 4/7; 8/13; 6/10; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 3/5; 8/15; 8/13; 4/7; 11/18; ; 1/2; 8/15; 4/7
