META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-12 10:21:20 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Draw; 1/50
Granada; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-12 14:21:38 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Draw; 1/50
Granada; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-12 18:20:51 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Draw; 1/50
Granada; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-12 22:18:16 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Draw; 1/50
Granada; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-13 02:17:55 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Draw; 1/100
Granada; 1/33
Reus Deportiu; 1/33
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-13 10:17:53 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-13 14:18:00 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-13 18:18:12 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-13 22:16:42 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/100; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/100; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-14 02:16:26 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-14 10:17:35 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-14 14:17:56 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-14 18:17:56 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-14 22:17:55 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/33; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/33; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-15 02:17:53 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/25; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/25; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-15 10:18:07 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/25; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/25; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-15 14:18:42 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/25; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/25; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-15 18:18:43 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1/25; 4/5
Draw; 1/100; 13/5
Reus Deportiu; 1/25; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-15 22:18:14 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 15/13; 23/20; 15/13; 2/9; 4/5
Draw; 19/10; 2; 19/10; 2/5; 13/5
Reus Deportiu; 45/17; 13/5; 13/5; 4/7; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-16 02:17:59 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1; 1; 4/9; 1
Draw; 2; 2; 5/2; 
Reus Deportiu; 3; 56/19; 6/5; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-16 10:18:12 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 1; 1; 4/9; 1
Draw; 2; 2; 21/20; 5/2
Reus Deportiu; 3; 56/19; 5/4; 13/5
META; spain/la-liga-segunda/granada-v-reus-deportiu; 2018-05-16 14:19:24 GMT+3; 2018-05-19 19:30; Nothing; Xlenovo
Granada; 10/11; 4/5; 10/11; 10/11; 9/10; 4/5; 10/11; 20/21; 5/6; 5/6; 10/11; 4/5; 9/10; 20/23; 4/5; 4/9; 5/6
Draw; 2; 11/5; 2; 2; 11/5; 21/10; 21/10; 43/20; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/20; 21/10; 
