META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-24 14:27:09 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; ; ; ; ; 
Valladolid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/4; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-24 18:27:02 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 11/10; ; ; ; ; ; ; ; 19/20; ; ; 21/20; ; ; 23/20; ; ; 11/10; ; 21/20; 19/20; ; 23/20; ; 11/10; ; ; 10/9; 
Draw; 2; ; ; ; ; ; ; ; 21/10; ; ; 11/5; ; ; 11/5; ; ; 2; ; 9/4; 21/10; ; 9/4; ; 39/19; ; ; 19/10; 
Valladolid; 3; ; ; ; ; ; ; ; 3; ; ; 13/5; ; ; 12/5; ; ; 13/5; ; 23/10; 56/19; ; 13/5; ; 45/17; ; ; 21/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-24 22:27:06 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 11/10; ; ; ; ; ; ; ; 19/20; ; ; 23/20; ; ; 23/20; ; ; 11/10; ; 10/9; 19/20; ; 23/20; ; 11/10; ; ; 10/9; 
Draw; 2; ; ; ; ; ; ; ; 21/10; ; ; 2; ; ; 11/5; ; ; 2; ; 9/4; 21/10; ; 9/4; ; 39/19; ; ; 19/10; 
Valladolid; 3; ; ; ; ; ; ; ; 3; ; ; 13/5; ; ; 12/5; ; ; 13/5; ; 21/10; 56/19; ; 13/5; ; 45/17; ; ; 21/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-25 02:27:05 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 11/10; ; 15/13; ; ; ; ; ; 19/20; ; ; 23/20; ; ; 23/20; ; ; 11/10; ; 10/9; 19/20; ; 23/20; ; 11/10; ; ; ; 
Draw; 2; ; 2; ; ; ; ; ; 21/10; ; ; 21/10; ; ; 11/5; ; ; 39/19; ; 9/4; 21/10; ; 9/4; ; 39/19; ; ; ; 
Valladolid; 3; ; 12/5; ; ; ; ; ; 3; ; ; 5/2; ; ; 12/5; ; ; 13/5; ; 21/10; 56/19; ; 13/5; ; 45/17; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-25 10:27:08 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 11/10; ; 6/5; ; ; ; ; ; 19/20; ; ; 23/20; ; ; 6/5; ; 15/13; 11/10; 15/13; 10/9; 19/20; ; 6/5; ; 11/10; ; ; 6/5; 
Draw; 2; ; 21/10; ; ; ; ; ; 21/10; ; ; 2; ; ; 2; ; 21/10; 39/19; 21/10; 9/4; 21/10; ; 9/4; ; 39/19; ; ; 2; 
Valladolid; 3; ; 11/5; ; ; ; ; ; 3; ; ; 5/2; ; ; 13/5; ; 5/2; 13/5; 5/2; 21/10; 56/19; ; 12/5; ; 13/5; ; ; 19/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-25 14:27:13 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 23/20; ; 6/5; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 15/13; 15/13; 15/13; 7/6; 11/10; ; 6/5; 6/5; 15/13; ; ; 6/5; 
Draw; 2; ; 21/10; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; 21/10; 37/19; 21/10; 11/5; 2; ; 11/5; 2; 2; ; ; 2; 
Valladolid; 11/4; ; 9/4; ; ; ; ; ; 13/5; ; ; 12/5; ; ; 12/5; ; 5/2; 27/11; 5/2; 39/19; 13/5; ; 5/2; 5/2; 5/2; ; ; 19/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-25 18:27:07 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 23/20; ; 6/5; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 15/13; 6/5; 15/13; 7/6; 11/10; ; 6/5; 6/5; 6/5; ; ; 6/5; 
Draw; 2; ; 21/10; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; 21/10; 37/19; 21/10; 11/5; 2; ; 11/5; 2; 2; ; ; 2; 
Valladolid; 11/4; ; 11/5; ; ; ; ; ; 13/5; ; ; 12/5; ; ; 12/5; ; 5/2; 12/5; 5/2; 39/19; 13/5; ; 5/2; 5/2; 27/11; ; ; 19/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-25 22:27:09 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 23/20; ; 6/5; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 15/13; 6/5; 15/13; 7/6; 11/10; ; 6/5; 6/5; 6/5; ; ; 6/5; 
Draw; 2; ; 21/10; ; ; ; ; ; 2; ; ; 21/10; ; ; 21/10; ; 21/10; 37/19; 21/10; 11/5; 2; ; 11/5; 2; 2; ; ; 2; 
Valladolid; 11/4; ; 11/5; ; ; ; ; ; 13/5; ; ; 12/5; ; ; 12/5; ; 5/2; 12/5; 5/2; 39/19; 13/5; ; 5/2; 5/2; 27/11; ; ; 19/10; 
META; spain/la-liga-segunda/osasuna-v-valladolid; 2017-12-26 02:27:13 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Osasuna; 23/20; ; 6/5; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 6/5; ; 15/13; 6/5; 15/13; 7/6; 11/10; ; 6/5; 6/5; 6/5; ; ; 6/5; 
