META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 02:25:27 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 10:25:28 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 14:26:33 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 18:25:34 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-07 22:23:07 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Cadiz; 1/50
Draw; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-08 02:22:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Draw; 1/100
Cadiz; 1/50
Reus Deportiu; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-08 10:24:03 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Draw; 1/100
Cadiz; 1/33
Reus Deportiu; 1/33
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-08 14:26:13 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Draw; 1/100
Cadiz; 1/33
Reus Deportiu; 1/33
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-08 18:26:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Cadiz; 1/33; 7/4
Reus Deportiu; 1/33; 7/4
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-08 22:25:55 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/100; 8/5
Draw; 1/100; 9/5
Cadiz; 1/100; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-09 02:25:51 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/50; 8/5
Draw; 1/100; 9/5
Cadiz; 1/50; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-09 10:25:48 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-09 14:26:39 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-09 18:26:21 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-09 22:26:24 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/50; 8/5
Draw; 1/100; 9/5
Cadiz; 1/50; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 02:26:02 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 10:26:08 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 14:26:43 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 1/33; 8/5
Draw; 1/100; 9/5
Cadiz; 1/33; 9/5
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 18:26:38 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 17/10; 15/8; 1/33; 9/5
Draw; 9/5; 19/10; 1/100; 9/5
Cadiz; 7/4; 2; 1/33; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-10 22:26:29 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 17/10; 15/8; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 1/33; 9/5
Draw; 15/8; 19/10; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 24/13; 1/100; 9/5
Cadiz; 17/10; 2; 13/8; 9/5; 7/4; 9/5; 9/5; 9/5; 9/5; 9/5; 1/33; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 02:24:31 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 17/10; 15/8; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 1/33; 9/5
Draw; 15/8; 19/10; 7/4; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 24/13; 1/100; 9/5
Cadiz; 17/10; 2; 7/4; 9/5; 9/5; 9/5; 17/10; 9/5; 9/5; 9/5; 9/5; 1/33; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 10:24:40 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 17/10; 15/8; 7/4; 7/4; 7/4; 7/4; 7/4; 17/10; 7/4; 7/4; 7/4; 7/4; 13/8; 9/5
Draw; 9/5; 19/10; 15/8; 7/4; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 24/13; 7/4; 9/5
Cadiz; 7/4; 2; 7/4; 7/4; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 13/8; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 14:25:01 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Draw; 15/8; 17/10; 19/10; 17/10; 13/8; 24/13; 17/10; 17/10; 13/8; 17/10; 13/8; 17/10; 9/5; 9/5; 17/10; 9/5; 6/4; 15/8
Cadiz; 9/5; 7/4; 19/10; 9/5; 7/4; 24/13; 9/5; 9/5; 9/5; 9/5; 9/5; 9/5; 7/4; 9/5; 15/8; 9/5; 13/8; 15/8
Reus Deportiu; 15/8; 9/5; 197/100; 15/8; 15/8; 9/5; 9/5; 15/8; 15/8; 37/20; 2; 9/5; 9/5; 7/4; 2; 24/13; 7/4; 19/10
META; spain/la-liga-segunda/reus-deportiu-v-cadiz; 2018-04-11 18:25:00 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Reus Deportiu; 7/4; 17/10; 17/10; 19/10; 189/100; 9/5; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 17/10; 9/5; 9/5; 7/4; 24/13; 7/4; 9/5; 7/4; 13/8; 8/5; 9/5
