META; spain/la-liga-segunda/osasuna-v-granada; 2017-10-31 02:25:34 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Draw; 2; 21/10; 21/10; ; 21/10; 21/10; ; 2; 11/5; 21/10; 11/5; 11/5; 11/5; ; 2; 21/10; 9/4; 21/10; 111/50; 28/13; 28/13; ; 9/4; 9/4; 28/13; ; 2; ; 
Granada; 10/3; 14/5; 29/10; ; 12/5; 3; ; 11/4; 11/4; 29/10; 3; 3; 14/5; ; 3; 3; 13/5; 58/19; 18/5; 13/5; 27/10; 14/5; 16/5; 3; 31/10; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-01 22:26:27 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 101/100; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 28/13; 111/50; 28/13; 28/13; ; 9/4; 9/4; 28/13; ; 2; 2; 
Granada; 10/3; 3; 29/10; 14/5; 12/5; 3; 3; 11/4; 11/4; 29/10; 3; 3; 14/5; 3; 3; 3; 13/5; 41/13; 18/5; 13/5; 27/10; 14/5; 16/5; 3; 41/13; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 02:26:14 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 26/25; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 28/13; 111/50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; ; 
Granada; 10/3; 3; 29/10; 14/5; 12/5; 3; 3; 11/4; 11/4; 29/10; 3; 3; 14/5; 3; 3; 3; 13/5; 41/13; 69/20; 13/5; 27/10; 14/5; 16/5; 3; 41/13; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 10:26:23 GMT+3; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 26/25; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 10/11; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 28/13; 111/50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; 2; 
Granada; 10/3; 3; 29/10; 14/5; 12/5; 3; 3; 11/4; 11/4; 29/10; 3; 3; 14/5; 3; 3; 3; 13/5; 41/13; 69/20; 13/5; 27/10; 14/5; 16/5; 3; 41/13; ; 11/4; 14/5; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 14:12:05 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 1; 1; 1; 19/20; 1; 10/11; 21/20; 1; 1; 20/21; 1; 19/20; 21/20; 19/20; 21/20; 1; 21/20; 28/29; 21/20; 9/10; 1; 19/20; 1; ; 20/21; 20/21; 
Draw; 2; 85/40; 21/10; 11/5; 21/10; 21/10; 2; 2; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 21/10; 54/25; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; ; 
Granada; 10/3; 14/5; 29/10; 14/5; 12/5; 3; 3; 11/4; 11/4; 29/10; 3; 3; 14/5; 3; 3; 3; 13/5; 41/13; 7/2; 13/5; 27/10; 14/5; 16/5; 3; 41/13; ; 11/4; ; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 18:25:24 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 19/20; 19/20; 1; 19/20; 10/11; 10/11; 10/11; 9/10; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 1; 19/20; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 2; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 9/4; 21/10; 85/40; 28/13; 28/13; ; 11/5; 9/4; 21/10; ; 2; 21/10; 
Granada; 10/3; 3; 3; 14/5; 13/5; 3; 10/3; 11/4; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 14/5; 7/2; 4; 45/17; 57/17; 3; 16/5; 10/3; 7/2; ; 3; 3; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-02 22:25:33 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 1; 10/11; 10/11; 5/6; 9/10; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 1; 10/11; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; ; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 9/4; 21/10; 107/ 50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; 21/10; 
Granada; 10/3; 16/5; 3; 14/5; 12/5; 3; 10/3; 3; 17/5; 3; 10/3; 3; 14/5; 3; 7/2; 16/5; 14/5; 7/2; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 39/11; ; 3; 3; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-03 02:24:30 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 19/20; 10/11; 10/11; 5/6; 9/10; 19/20; 20/21; 20/23; 19/20; 19/20; 19/20; 10/11; 1; 10/11; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 21/10; 9/4; 21/10; 107/ 50; 28/13; 28/13; ; 11/5; 9/4; 21/10; ; 2; 21/10; 
Granada; 10/3; 16/5; 3; 14/5; 13/5; 3; 10/3; 3; 17/5; 3; 10/3; 10/3; 14/5; 3; 7/2; 16/5; 14/5; 7/2; 79/20; 45/17; 57/17; 3; 16/5; 10/3; 39/11; ; 3; 3; 
META; spain/la-liga-segunda/osasuna-v-granada; 2017-11-03 10:24:38 GMT+2; 2017-11-05 17:00; Nothing; Xlenovo
Osasuna; 1; 10/11; 19/20; 1; 9/10; 10/11; 10/11; 5/6; 9/10; 19/20; 20/21; 20/21; 19/20; 19/20; 19/20; 19/20; 19/20; 19/20; 49/50; 19/20; 9/10; 9/10; 1; 19/20; 19/20; ; 5/6; 20/21; 
Draw; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 2; 2; 23/10; 21/10; 107/ 50; 28/13; 28/13; ; 11/5; 9/4; 28/13; ; 2; 21/10; 
