META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-04 22:25:57 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-05 02:26:01 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-05 10:25:58 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-05 14:26:27 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-05 18:26:30 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-05 22:26:33 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 13/10; 13/10; 13/10; 5/4; 1/5
Draw; 39/19; 21/10; 39/19; 21/10; 4/5
Lugo; 21/10; 21/10; 21/10; 23/10; 4/11
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-06 02:26:25 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 13/10; 13/10; 13/10; 5/4; 2/9
Draw; 39/19; 21/10; 39/19; 21/10; 20/21
Lugo; 21/10; 21/10; 21/10; 23/10; 2/5
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-06 10:26:12 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Albacete; 28/17; 13/8; 28/17; 17/10; 5/6
Osasuna; 28/17; 13/8; 28/17; 17/10; 5/6
Draw; 39/19; 21/10; 39/19; 2; 9/5
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-06 14:26:22 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Albacete; 13/8; 13/8; 171/00; 28/17; 13/8; 13/8; 13/8; 8/5; 23/15; 28/17; 17/10; 8/5; 7/5
Osasuna; 7/4; 9/5; 199/00; 28/17; 9/5; 7/4; 9/5; 9/5; 32/19; 28/17; 15/8; 9/5; 6/4
Draw; 19/10; 15/8; 21/10; 39/19; 15/8; 2; 19/10; 2; 39/19; 39/20; 37/19; 9/5; 
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-06 18:26:31 GMT+2; 2018-03-12 04:00; Nothing; Xlenovo
Albacete; 8/5; 13/8; 13/8; 89/50; 28/17; 13/8; 13/8; 8/5; 13/8; 8/5; 8/5; 52/35; 28/17; 7/4; 17/10; 8/5; 5/6; 6/4
Draw; 15/8; 19/10; 9/5; 39/20; 39/19; 9/5; 15/8; 15/8; 9/5; 9/5; 24/13; 79/40; 39/19; 19/10; 37/20; 24/13; 9/5; 9/5
Osasuna; 2; 9/5; 9/5; 103/0; 28/17; 9/5; 15/8; 9/5; 2; 24/13; 2; 7/4; 28/17; 19/10; 19/10; 19/10; 13/8; 17/10
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-07 10:57:48 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 10/11; 10/11; 10/11; 49/50; 5/6; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 10/11; 10/11; 13/15; 10/11; 19/20; 37/40; 9/10; 10/11; 8/11; 9/10
Draw; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 23/10; 23/10; 5/2; 12/5; 12/5; 23/10; 9/4; 23/10; 27/11; 23/10; 12/5; 12/5; 23/10; 21/10; 11/5
Lugo; 16/5; 14/5; 14/5; 13/4; 11/4; 14/5; 14/5; 3; 11/4; 11/4; 14/5; 14/5; 29/10; 10/3; 27/11; 14/5; 16/5; 3; 56/19; 27/10; 13/5
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-07 14:25:22 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 10/11; 10/11; 10/11; 49/50; 5/6; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 10/11; 10/11; 13/15; 10/11; 19/20; 19/20; 9/10; 10/11; 8/11; 9/10; 20/21
Draw; 23/10; 23/10; 23/10; 5/2; 23/10; 40/17; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 12/5; 23/10; 21/10; 9/4; 12/5
Lugo; 16/5; 14/5; 11/4; 13/4; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 14/5; 14/5; 29/10; 10/3; 27/11; 14/5; 31/10; 3; 56/19; 27/10; 13/5; 3
META; spain/la-liga-segunda/cordoba-v-lugo; 2018-03-07 18:25:51 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Cordoba; 10/11; 10/11; 10/11; 49/50; 17/20; 5/6; 19/20; 10/11; 10/11; 10/11; 19/20; 19/20; 19/20; 10/11; 13/15; 10/11; 19/20; 19/20; 9/10; 10/11; 8/11; 9/10; 20/21; 20/21; 
