META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-07 02:25:34 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/50
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-07 10:25:34 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/50
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-07 14:26:40 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/50
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-07 18:25:41 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/50
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-07 22:23:14 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/50
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-08 02:22:47 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/100
Lugo; 1/50
Numancia; 1/50
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-08 10:24:09 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/100
Lugo; 1/33
Numancia; 1/33
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-08 14:26:20 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/100
Lugo; 1/33
Numancia; 1/33
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-08 18:26:07 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Draw; 1/100
Lugo; 1/33
Numancia; 1/33
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-08 22:26:02 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/100; 20/21
Draw; 1/100; 23/10
Lugo; 1/100; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-09 02:25:57 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/50; 20/21
Draw; 1/100; 23/10
Lugo; 1/50; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-09 10:25:54 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/33; 20/21
Draw; 1/100; 23/10
Lugo; 1/33; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-09 14:26:45 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/33; 20/21
Draw; 1/100; 23/10
Lugo; 1/33; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-09 18:26:28 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/33; 20/21
Draw; 1/100; 23/10
Lugo; 1/33; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-09 22:26:30 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/50; 20/21
Draw; 1/100; 23/10
Lugo; 1/50; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-10 02:26:08 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/50; 20/21
Draw; 1/100; 23/10
Lugo; 1/50; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-10 10:26:15 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/33; 20/21
Draw; 1/100; 23/10
Lugo; 1/33; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-10 14:26:49 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
Numancia; 1/33; 20/21
Draw; 1/100; 12/5
Lugo; 1/33; 12/5
META; spain/la-liga-segunda/numancia-v-lugo; 2018-04-10 18:26:45 GMT+3; 2018-04-14 17:00; Nothing; Xlenovo
