META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-05-31 02:18:16 GMT+3; 2018-06-02 15:00; Nothing; Xlenovo
Alcorcon; 103/00; 1; 21/20; 
Draw; 6/5; 6/5; 10/9; 10/9
Reus Deportiu; 42/5; 7; 17/2; 42/5
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-05-31 10:18:13 GMT+3; 2018-06-02 15:00; Nothing; Xlenovo
Alcorcon; 1; 53/50; 1; 21/20; 21/20; 1; 21/20; 24/23; 10/9; 10/9
Draw; 11/10; 21/20; 11/10; 15/13; 11/10; 21/20; 15/13; 8/7; 9/10; 10/11
Reus Deportiu; 13/2; 44/5; 15/2; 15/2; 15/2; 7; 15/2; 36/5; 37/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-05-31 14:18:07 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Alcorcon; 1; 53/50; 1; 21/20; 21/20; 1; 21/20; 24/23; 10/9; 10/9
Draw; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 15/13; 15/14; 21/20; 10/9
Reus Deportiu; 13/2; 44/5; 15/2; 9; 15/2; 7; 15/2; 9; 31/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-05-31 18:17:34 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Alcorcon; 1; 53/50; 1; 11/10; 11/10; 1; 11/10; 11/10; 23/20; 23/20
Draw; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 15/13; 1; 1; 
Reus Deportiu; 13/2; 44/5; 15/2; 15/2; 15/2; 7; 15/2; 6; 31/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-05-31 22:17:11 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 21/20; 1; 1; 21/20; 1; 20/21; 1; ; 
Alcorcon; 11/10; 53/50; 11/10; 11/10; 23/20; 21/20; 15/13; 11/10; 13/10; 27/20
Reus Deportiu; 13/2; 44/5; 15/2; 15/2; 15/2; 7; 15/2; 6; 31/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-01 02:17:02 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 21/20; 1; 21/20; 1; 21/20; 1; 1; ; 
Alcorcon; 11/10; 53/50; 11/10; 11/10; 23/20; 21/20; 15/13; 11/10; 5/4; 5/4
Reus Deportiu; 13/2; 44/5; 15/2; 15/2; 7; 7; 15/2; 6; 31/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-01 10:17:03 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 21/20; 1; 21/20; 1; 21/20; 1; 20/21; 1; 
Alcorcon; 11/10; 53/50; 11/10; 15/13; 23/20; 21/20; 15/13; 15/13; 6/4; 7/5
Reus Deportiu; 13/2; 44/5; 6; 7; 7; 28/5; 29/5; ; ; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-01 14:16:43 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 1; 19/20; 21/20; 1; 11/10; 21/20; 1; ; 
Alcorcon; 11/10; 113/00; 11/10; 5/4; 6/5; 11/10; 6/5; 15/13; 11/8; 7/5
Reus Deportiu; 13/2; 17/2; 15/2; 13/2; 13/2; 13/2; 13/2; 6; 28/5; 29/5
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-01 18:16:39 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 1; 21/20; 19/20; 21/20; 1; 21/20; 21/20; 21/20; ; 
Alcorcon; 11/10; 113/00; 11/10; 15/13; 23/20; 11/10; 15/13; 8/7; 6/5; 13/10; 13/10
Reus Deportiu; 13/2; 17/2; 15/2; 7; 7; 13/2; 7; 31/5; 32/5; ; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-01 22:16:28 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 47/50; 1; 1; 1; 19/20; 21/20; 1; 21/20; 21/20; 21/20; ; 
Alcorcon; 11/10; 6/5; 11/10; 15/13; 6/5; 11/10; 13/10; 11/10; 15/13; 8/7; 6/5; 5/4; 27/20
Reus Deportiu; 13/2; 17/2; 15/2; 7; 13/2; 13/2; 7; 13/2; 7; 31/5; 32/5; ; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-02 02:16:18 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 47/50; 1; 21/20; 21/20; 1; 19/20; 11/10; 1; 21/20; 11/10; 21/20; 11/10; 
Alcorcon; 11/10; 6/5; 11/10; 21/20; 23/20; 11/10; 13/10; 11/10; 15/13; 11/10; 21/20; 15/13; 10/9; 23/20
Reus Deportiu; 13/2; 17/2; 15/2; 15/2; 7; 13/2; 13/2; 7; 13/2; 7; 29/4; 33/5; 39/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-02 10:16:20 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Draw; 1; 24/25; 21/20; 21/20; 1; 19/20; 11/10; 11/10; 24/23; 21/20; 21/20; 11/10; 6/5; 21/20
Alcorcon; 11/10; 117/00; 21/20; 23/20; 11/10; 11/10; 15/13; 15/13; 17/14; 21/20; 23/20; 15/13; 23/20; 6/5
Reus Deportiu; 13/2; 17/2; 15/2; 7; 13/2; 7; 29/4; 53/10; 7; 10/3; 29/4; 32/5; 33/5; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-02 14:16:14 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Alcorcon; 8/11; 7/10; 7/10; 8/11; 7/10; 8/11; 6/10; 7/10; 4/5; 7/9; 7/10; 5/6; 4/5; 5/6
Draw; 13/8; 17/10; 8/5; 13/8; 28/17; 13/8; 6/4; 6/4; 17/11; 17/11; 8/5; 17/10; 6/4; 6/4
Reus Deportiu; 7; 13/2; 87/10; 13/2; 7; 15/2; 13/2; 13/2; 8; 57/10; 13/2; 5; 19/2; 49/5
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-02 18:16:00 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Alcorcon; 3/4; 4/5; 7/10; 8/11; 3/4; 8/11; 8/11; 7/10; 4/5; 9/11; 3/4; 20/23; 8/11; 5/6; 5/6
Draw; 6/4; 6/4; 38/25; 6/4; 17/11; 6/4; 6/4; 7/5; 17/11; 14/9; 6/4; 31/20; 21/10; 6/4; 6/4
Reus Deportiu; 10; 10; 7; 8; 15/2; 8; 13/2; 19/4; 4; 19/2; 49/5; ; ; ; 
META; spain/la-liga-segunda/alcorcon-v-reus-deportiu; 2018-06-02 22:15:53 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
Alcorcon; 1/50; 59/00; 1/66; 1/50; 1/50; 4/7; 1/33
Draw; 20; 127/0; 22; 13; 12; 26; 
Reus Deportiu; 100; 32/5; 100; 45; 75; 17/2; 97
