META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-03 18:25:38 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 23/20; 6/5; 6/5; 5/4; 27/20; 5/4; 6/5; 6/5; 5/4; 5/4; 6/5; 6/5; 13/10; 19/16; 16/13; 5/4; 5/4; 6/5; 13/10
Draw; 2; 85/40; 21/10; 11/5; 57/25; 28/13; 21/10; 21/10; 21/10; 21/10; 21/10; 39/19; 2; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4
Gimnastic; 11/4; 85/40; 11/5; 2; 119/50; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 9/4; 23/10; 45/23; 23/10; 12/5; 9/4; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-03 22:25:35 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 23/20; 5/4; 6/5; 5/4; 133/100; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 19/16; 16/13; 5/4; 5/4; 6/5; 4/5; 5/4
Draw; 2; 21/10; 21/10; 11/5; 9/4; 21/10; 28/13; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 39/19; 2; 9/4; 21/10; 9/4; 21/10; 21/10; 5/4; 21/10
Gimnastic; 11/4; 85/40; 11/5; 2; 123/50; 9/4; 23/10; 11/5; 23/10; 9/4; 21/10; 23/10; 9/4; 23/10; 23/10; 45/23; 23/10; 12/5; 9/4; 23/10; 13/8; 12/5
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-04 02:24:59 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 23/20; 6/5; 6/5; 5/4; 133/100; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 19/16; 16/13; 5/4; 5/4; 6/5; 4/5; 5/4
Draw; 2; 21/10; 21/10; 11/5; 9/4; 21/10; 28/13; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 39/19; 2; 9/4; 21/10; 9/4; 21/10; 21/10; 5/4; 21/10
Gimnastic; 11/4; 11/5; 11/5; 2; 123/50; 9/4; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 23/10; 23/10; 23/10; 45/23; 23/10; 12/5; 9/4; 23/10; 17/10; 12/5
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-04 10:25:04 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 23/20; 6/5; 6/5; 5/4; 133/100; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 13/10; 6/5; 6/5; 13/10; 19/16; 16/13; 5/4; 5/4; 6/5; 4/5; 5/4
Draw; 2; 21/10; 21/10; 11/5; 9/4; 21/10; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 39/19; 2; 9/4; 21/10; 9/4; 21/10; 21/10; 5/4; 21/10
Gimnastic; 11/4; 11/5; 11/5; 2; 123/50; 23/10; 23/10; 11/5; 23/10; 9/4; 11/5; 12/5; 23/10; 23/10; 23/10; 45/23; 23/10; 12/5; 9/4; 23/10; 27/20; 12/5
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-04 14:25:13 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 23/20; 6/5; 6/5; 5/4; 133/100; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 13/10; 6/5; 6/5; 13/10; 19/16; 16/13; 5/4; 5/4; 6/5; 4/5; 6/5; 5/4
Draw; 2; 21/10; 21/10; 11/5; 9/4; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5; 21/10; 21/10; 2; 9/4; 21/10; 9/4; 21/10; 21/10; 5/4; 19/10; 9/4
Gimnastic; 11/4; 11/5; 11/5; 2; 123/50; 23/10; 9/4; 23/10; 11/5; 23/10; 9/4; 11/5; 12/5; 23/10; 40/17; 23/10; 45/23; 23/10; 12/5; 9/4; 40/17; 27/20; 21/10; 12/5
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-04 18:25:16 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 5/4; 1; 6/5; 5/4
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 43/20; 11/5; 21/10; 28/13; 2; 9/4; 21/10; 9/4; 11/5; 28/13; 13/8; 19/10; 21/10
Gimnastic; 23/10; 85/40; 11/5; 2; 119/50; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 21/10; 43/20; 12/5; 11/5; 11/5; 23/10; 45/23; 23/10; 12/5; 11/5; 9/4; 5/4; 21/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-04 22:25:15 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 5/4; 1; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 43/20; 11/5; 21/10; 28/13; 2; 9/4; 21/10; 9/4; 11/5; 28/13; 17/10; 19/10; 9/4; 9/4
Gimnastic; 23/10; 85/40; 11/5; 2; 119/50; 23/10; 9/4; 23/10; 11/5; 11/5; 9/4; 21/10; 43/20; 12/5; 11/5; 11/5; 23/10; 45/23; 23/10; 12/5; 11/5; 9/4; 11/8; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-05 02:25:15 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 5/4; 1; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 43/20; 11/5; 21/10; 28/13; 2; 9/4; 21/10; 9/4; 11/5; 28/13; 13/8; 19/10; 9/4; 9/4
Gimnastic; 23/10; 85/40; 11/5; 2; 119/50; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 21/10; 43/20; 12/5; 11/5; 11/5; 23/10; 45/23; 23/10; 12/5; 11/5; 9/4; 5/4; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-05 10:25:09 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 21/20; 6/5; 13/10; 5/4
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 11/5; 43/20; 11/5; 21/10; 28/13; 2; 9/4; 21/10; 9/4; 28/13; 17/10; 19/10; 9/4; 21/10
Gimnastic; 23/10; 85/40; 11/5; 2; 119/50; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 21/10; 43/20; 12/5; 11/5; 11/5; 23/10; 45/23; 23/10; 12/5; 9/4; 27/20; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-05 14:25:20 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 21/20; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 11/5; 9/4; 11/5; 43/20; 11/5; 11/5; 11/5; 2; 9/4; 21/10; 9/4; 9/4; 17/10; 19/10; 23/10; 23/10
Gimnastic; 23/10; 85/40; 21/10; 2; 119/50; 23/10; 9/4; 23/10; 21/10; 11/5; 21/10; 21/10; 43/20; 12/5; 21/10; 9/4; 23/10; 45/23; 23/10; 12/5; 9/4; 27/20; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-05 18:25:27 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 21/20; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 2; 23/10; 21/10; 23/10; 9/4; 17/10; 19/10; 23/10; 23/10
Gimnastic; 23/10; 85/40; 21/10; 2; 119/50; 23/10; 9/4; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 21/10; 9/4; 23/10; 31/16; 23/10; 23/10; 9/4; 27/20; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-05 22:25:31 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 21/20; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 2; 23/10; 21/10; 23/10; 9/4; 17/10; 19/10; 23/10; 23/10
Gimnastic; 23/10; 85/40; 21/10; 2; 119/50; 23/10; 9/4; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 21/10; 9/4; 23/10; 31/16; 23/10; 23/10; 9/4; 27/20; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-06 02:25:09 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
Valladolid; 6/5; 6/5; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 5/4; 13/10; 19/16; 16/13; 5/4; 5/4; 21/20; 6/5; 13/10; 13/10
Draw; 9/4; 85/40; 21/10; 11/5; 23/10; 21/10; 2; 28/13; 21/10; 11/5; 9/4; 11/5; 11/5; 23/10; 11/5; 11/5; 2; 23/10; 21/10; 23/10; 9/4; 17/10; 19/10; 23/10; 23/10
Gimnastic; 23/10; 85/40; 21/10; 2; 119/50; 23/10; 9/4; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 21/10; 9/4; 23/10; 31/16; 23/10; 23/10; 9/4; 27/20; 21/10; 23/10; 23/10
META; spain/la-liga-segunda/gimnastic-v-valladolid; 2018-04-06 10:25:22 GMT+3; 2018-04-08 11:00; Nothing; Xlenovo
