META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-10 22:22:30 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Alcorcon; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-11 02:23:46 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Alcorcon; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-11 10:23:52 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Alcorcon; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-11 14:25:17 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Alcorcon; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-11 18:24:56 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Alcorcon; 1/50
Draw; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-11 22:24:32 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Lugo; 1/50; 6/4
Draw; 1/100; 9/5
Alcorcon; 1/50; 9/5
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-12 02:24:49 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Lugo; 1/33; 6/4
Draw; 1/100; 9/5
Alcorcon; 1/33; 9/5
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-12 10:25:09 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Lugo; 1/33; 6/4
Draw; 1/100; 9/5
Alcorcon; 1/33; 9/5
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-12 14:25:47 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Lugo; 1/33; 6/4
Draw; 1/100; 9/5
Alcorcon; 1/33; 9/5
META; spain/la-liga-segunda/lugo-v-alcorcon; 2018-03-12 18:25:43 GMT+2; 2018-03-17 17:00; Nothing; Xlenovo
Lugo; 1/33; 6/4
Draw; 1/100; 9/5
