META; spain/la-liga-segunda/sevilla-b-v-gijon; 2018-03-02 17:48:12 GMT+2; 2018-03-04 17:00; Nothing; Xlenovo
Gijon; 5/6; 5/6; 20/23; 17/20; 87/100; 3/4; 5/6; 8/11; 9/11; 20/23; 5/6; 20/23; 10/11; 9/10; 10/11; 5/6; 13/15; 10/11; 8/9; 13/16; 9/10; 13/15; 4/6; 5/6; 9/10
Draw; 21/10; 23/10; 23/10; 23/10; 13/5; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 21/10; 23/10; 40/17; 12/5; 12/5; 21/10; 9/4; 5/2; 
Sevilla B; 4; 16/5; 3; 37/10; 16/5; 10/3; 16/5; 17/5; 3; 10/3; 3; 3; 10/3; 13/4; 18/5; 27/10; 17/5; 10/3; 33/10; 13/5; 10/3; ; ; ; 
META; spain/la-liga-segunda/sevilla-b-v-gijon; 2018-03-02 22:25:36 GMT+2; 2018-03-04 17:00; Nothing; Xlenovo
Gijon; 5/6; 5/6; 17/20; 17/20; 21/25; 4/5; 4/5; 4/5; 9/11; 17/20; 5/6; 20/23; 17/20; 17/20; 5/6; 5/6; 5/6; 10/11; 13/15; 13/16; 9/10; 5/6; 5/6; 5/6
Draw; 21/10; 23/10; 23/10; 23/10; 67/25; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 5/2; 12/5; 21/10; 23/10; 40/17; 12/5; 27/11; 23/10; 23/10; 5/2
Sevilla B; 4; 16/5; 3; 15/4; 10/3; 10/3; 16/5; 17/5; 3; 10/3; 16/5; 3; 31/10; 16/5; 10/3; 17/5; 18/5; 11/4; 17/5; 10/3; 17/5; 3; 7/2; 
META; spain/la-liga-segunda/sevilla-b-v-gijon; 2018-03-03 02:24:57 GMT+2; 2018-03-04 17:00; Nothing; Xlenovo
Gijon; 5/6; 5/6; 4/5; 17/20; 77/00; 3/4; 4/5; 8/11; 9/11; 4/5; 4/5; 3/4; 5/6; 5/6; 5/6; 4/5; 4/5; 5/6; 16/19; 13/16; 4/5; 4/5; 8/11; 8/11; 8/11
Draw; 21/10; 23/10; 12/5; 23/10; 68/25; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 47/20; 12/5; 12/5; 27/11; 9/4; 12/5; 40/17; 51/20; 5/2; 23/10; 12/5; 13/5
Sevilla B; 4; 16/5; 10/3; 3; 21/5; 17/5; 10/3; 10/3; 17/5; 10/3; 7/2; 7/2; 3; 16/5; 100/0; 7/2; 18/5; 15/4; 14/5; 17/5; 15/4; 62/17; 3; 7/2; 
META; spain/la-liga-segunda/sevilla-b-v-gijon; 2018-03-03 10:25:44 GMT+2; 2018-03-04 17:00; Nothing; Xlenovo
Gijon; 5/6; 5/6; 5/6; 17/20; 39/50; 3/4; 4/5; 8/11; 9/11; 5/6; 4/5; 5/6; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 11/13; 13/16; 4/5; 4/5; 8/11; 4/5; 4/5
Draw; 21/10; 23/10; 23/10; 23/10; 137/0; 12/5; 9/4; 23/10; 12/5; 23/10; 23/10; 12/5; 12/5; 47/20; 12/5; 23/10; 27/11; 9/4; 12/5; 40/17; 51/20; 27/11; 23/10; 12/5; 13/5
Sevilla B; 4; 16/5; 16/5; 3; 41/10; 17/5; 10/3; 10/3; 17/5; 16/5; 7/2; 16/5; 3; 16/5; 100/0; 7/2; 39/11; 15/4; 14/5; 17/5; 15/4; 18/5; 3; 7/2; 
META; spain/la-liga-segunda/sevilla-b-v-gijon; 2018-03-03 14:24:17 GMT+2; 2018-03-04 17:00; Nothing; Xlenovo
Gijon; 8/11; 5/6; 8/11; 8/11; 18/25; 8/11; 8/11; 4/6; 4/5; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 7/10; 10/13; 3/4; 3/4; 11/14; 8/11; 10/13; 4/6; 4/6; 8/11
Draw; 11/5; 23/10; 12/5; 12/5; 68/25; 12/5; 12/5; 23/10; 27/11; 12/5; 12/5; 12/5; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 27/11; 12/5; 53/20; 5/2; 12/5; 13/5; 27/10
