META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-19 18:27:09 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 6/5; 10/11; ; 6/5; 21/20; 21/20; 1; ; 21/20; 21/20; ; ; ; ; ; 11/10; ; 1; ; 42/41; ; ; ; 21/20; ; 20/21; 6/5; 
Draw; 11/5; 2; 2; ; 21/10; 2; 85/40; 15/8; ; 2; 2; ; ; ; ; ; 21/10; ; 28/13; ; 39/19; ; ; ; 21/10; ; 2; 19/10; 
Numancia; 16/5; 23/10; 14/5; ; 5/2; 12/5; 31/10; 13/5; ; 11/4; 11/4; ; ; ; ; ; 13/5; ; 14/5; ; 13/5; ; ; ; 29/10; ; 5/2; 2; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-19 22:26:27 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 1; 1; 10/11; 1; 1; 37/40; 21/20; 1; ; 21/20; 21/20; ; 21/20; ; ; ; 19/20; ; 1; ; 42/41; ; ; ; 21/20; ; 1; 21/20; 
Draw; 11/5; 21/10; 41/20; 2; 11/5; 21/10; 11/5; 15/8; ; 2; 2; ; 11/5; ; ; ; 11/5; ; 21/10; ; 39/19; ; ; ; 21/10; ; 2; 2; 
Numancia; 16/5; 14/5; 11/4; 3; 3; 11/4; 31/10; 11/4; ; 27/10; 27/10; ; 13/5; ; ; ; 29/10; ; 37/13; ; 13/5; ; ; ; 29/10; ; 11/4; 5/2; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-20 02:25:36 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 1; 1; 1; 37/40; 23/20; 1; ; 15/13; 23/20; ; 23/20; ; ; 21/20; 19/20; ; 11/10; ; 10/9; ; ; ; 11/10; ; 1; 10/9; 
Draw; 21/10; 2; 2; 2; 11/5; 21/10; 85/40; 15/8; ; 2; 2; ; 21/10; ; ; 39/19; 11/5; ; 39/19; ; 21/10; ; ; ; 21/10; ; 19/10; 2; 
Numancia; 14/5; 11/4; 5/2; 3; 3; 11/4; 14/5; 11/4; ; 5/2; 5/2; ; 5/2; ; ; 11/4; 29/10; ; 13/5; ; 9/4; ; ; ; 27/10; ; 13/5; 12/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-20 10:25:43 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 21/20; 1; 1; 1; 37/40; 23/20; 1; ; 15/13; 23/20; 23/20; 23/20; ; ; 11/10; 19/20; ; 15/13; ; 10/9; ; ; ; 11/10; ; 21/20; ; 
Draw; 21/10; 2; 2; 2; 11/5; 21/10; 85/40; 15/8; ; 2; 2; 2; 21/10; ; ; 39/19; 11/5; ; 37/19; ; 21/10; ; ; ; 21/10; ; 2; ; 
Numancia; 14/5; 11/4; 5/2; 3; 3; 11/4; 14/5; 13/5; ; 5/2; 5/2; 13/5; 12/5; ; ; 27/10; 29/10; ; 45/17; ; 9/4; ; ; ; 53/20; ; 23/10; ; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-20 14:25:56 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
Cadiz; 11/10; 11/10; 1; 1; 1; 37/40; 23/20; 1; 21/20; 15/13; 23/20; 23/20; 23/20; ; ; 11/10; 19/20; ; 15/13; 63/50; 10/9; 24/23; ; ; 11/10; ; 21/20; 10/9; 
Draw; 21/10; 2; 2; 2; 11/5; 21/10; 85/40; 15/8; 28/13; 2; 2; 2; 21/10; ; ; 2; 11/5; ; 2; 52/25; 21/10; 21/10; ; ; 21/10; ; 19/10; 2; 
Numancia; 14/5; 13/5; 5/2; 3; 3; 11/4; 14/5; 13/5; 37/13; 5/2; 5/2; 13/5; 12/5; ; ; 27/10; 29/10; ; 45/17; 143/50; 9/4; 14/5; ; ; 53/20; ; 23/10; 12/5; 
META; spain/la-liga-segunda/cadiz-v-numancia; 2017-09-20 18:26:46 GMT+3; 2017-09-24 19:00; Nothing; Xlenovo
