META; spain/la-liga-segunda/fc-barcelona-b-v-sevilla-b; 2017-10-23 14:26:19 GMT+3; 2017-10-29 11:00; Nothing; Xlenovo
FC Barcelona B; ; ; 11/13; ; ; ; ; ; ; 17/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; 5/2; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sevilla B; ; ; 29/10; ; ; ; ; ; ; 29/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-sevilla-b; 2017-10-23 18:26:43 GMT+3; 2017-10-29 11:00; Nothing; Xlenovo
FC Barcelona B; 23/20; 11/10; 6/5; ; 23/20; ; ; 1; ; 6/5; 6/5; ; ; 6/5; 6/5; ; 6/5; 15/13; ; 22/19; ; ; ; 23/20; 15/13; ; ; ; 
Draw; 23/10; 11/5; 21/10; ; 41/20; ; ; 21/10; ; 21/10; 9/4; ; ; 11/5; 23/10; ; 11/5; 11/5; ; 23/10; ; ; ; ; 11/5; ; ; ; 
Sevilla B; 12/5; 23/10; 11/5; ; 11/5; ; ; 23/10; ; 11/5; 12/5; ; ; 11/5; 11/5; ; 23/10; 23/10; ; 2; ; ; ; 23/10; 40/17; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-sevilla-b; 2017-10-23 22:26:12 GMT+3; 2017-10-29 11:00; Nothing; Xlenovo
FC Barcelona B; 1; 1; 1; 6/5; 19/20; ; ; 1; 11/10; 1; 21/20; 1; ; 1; 21/20; ; 1; 1; ; 30/29; 13/12; 10/11; ; 1; 1; ; ; 20/21; 
Draw; 12/5; 9/4; 11/5; 11/5; 21/10; ; ; 21/10; 23/10; 11/5; 23/10; 12/5; ; 9/4; 9/4; ; 9/4; 9/4; ; 23/10; 23/10; 11/5; ; 23/10; 23/10; ; ; 11/5; 
Sevilla B; 11/4; 13/5; 13/5; 11/5; 13/5; ; ; 23/10; 27/11; 13/5; 11/4; 13/5; ; 13/5; 13/5; ; 14/5; 11/4; ; 9/4; 12/5; 13/5; ; 11/4; 14/5; ; ; 12/5; 
META; spain/la-liga-segunda/fc-barcelona-b-v-sevilla-b; 2017-10-24 02:25:47 GMT+3; 2017-10-29 11:00; Nothing; Xlenovo
FC Barcelona B; 1; 1; 1; 6/5; 19/20; 19/20; ; 10/11; 11/10; 1; 21/20; 1; 21/20; 1; 19/20; ; 1; 1; ; 30/29; 13/12; 10/11; ; 1; 1; ; ; 20/21; 
Draw; 12/5; 9/4; 11/5; 11/5; 21/10; 9/4; ; 11/5; 23/10; 11/5; 23/10; 12/5; 23/10; 9/4; 9/4; ; 9/4; 9/4; ; 23/10; 23/10; 11/5; ; 23/10; 23/10; ; ; 11/5; 
Sevilla B; 11/4; 13/5; 13/5; 11/5; 13/5; 11/4; ; 13/5; 27/11; 13/5; 11/4; 13/5; 5/2; 13/5; 3; ; 14/5; 14/5; ; 9/4; 12/5; 13/5; ; 11/4; 14/5; ; ; 12/5; 
META; spain/la-liga-segunda/fc-barcelona-b-v-sevilla-b; 2017-10-24 10:26:14 GMT+3; 2017-10-29 11:00; Nothing; Xlenovo
FC Barcelona B; 1; 1; ; 6/5; 19/20; 19/20; ; 10/11; 11/10; 1; 21/20; 1; 21/20; 1; 19/20; ; 1; 1; 21/20; 30/29; 13/12; 10/11; ; 1; 1; ; ; 20/21; 
