META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-03 18:25:41 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 5/4; 13/10; 13/10; 5/4; 11/8; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 23/18; 16/13; 11/8; 13/10; 5/4; 13/10
Draw; 2; 2; 21/10; 54/25; 21/10; 2; 2; 21/10; 2; 37/19; 21/10; 39/19; 21/10; 21/10; 2; 21/10; ; ; 
Oviedo; 5/2; 85/40; 21/10; 21/10; 123/50; 40/17; 21/10; 9/4; 23/10; 11/5; 9/4; 9/4; 5/2; 27/14; 40/17; 23/10; 9/4; 9/4; 5/2
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-03 22:25:39 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 11/8; 5/4; 73/50; 5/4; 11/8; 13/10; 7/5; 13/10; 13/10; 23/17; 5/4; 23/18; 16/13; 7/5; 27/20; 23/17; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 2; 19/10; 21/10; 2; 37/19; 37/19; 21/10; 39/19; 21/10; 21/10; 2; 21/10; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 58/25; 40/17; 2; 11/5; 21/10; 11/5; 21/10; 21/10; 5/2; 27/14; 40/17; 11/5; 21/10; 28/13; 23/10
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-04 02:25:02 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 11/8; 5/4; 73/50; 13/10; 5/4; 11/8; 13/10; 11/8; 7/5; 13/10; 23/17; 5/4; 23/18; 16/13; 7/5; 27/20; 23/17; 1/100; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 21/10; 2; 2; 2; 37/19; 37/19; 21/10; 39/19; 21/10; 21/10; 2; 1/100; 21/10; ; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 58/25; 21/10; 40/17; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 5/2; 27/14; 40/17; 11/5; 21/10; 21/10; 1/100; 23/10
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-04 10:25:08 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 11/8; 5/4; 73/50; 13/10; 5/4; 11/8; 13/10; 11/8; 11/8; 13/10; 23/17; 5/4; 23/18; 16/13; 7/5; 27/20; 23/17; 6/5; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 21/10; 2; 2; 9/5; 2; 37/19; 37/19; 21/10; 39/19; 21/10; 21/10; 2; 19/10; 21/10; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 58/25; 21/10; 40/17; 2; 11/5; 21/10; 19/10; 21/10; 21/10; 5/2; 27/14; 40/17; 11/5; 21/10; 21/10; 19/10; 23/10
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-04 14:25:16 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 27/20; 5/4; 37/25; 13/10; 5/4; 27/20; 13/10; 11/8; 11/8; 13/10; 23/17; 5/4; 23/18; 16/13; 7/5; 27/20; 23/17; 6/5; 6/5; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 21/10; 2; 2; 9/5; 2; 37/19; 37/19; 21/10; 39/19; 21/10; 21/10; 2; 19/10; 19/10; 21/10; ; 
Oviedo; 9/4; 21/10; 21/10; 21/10; 57/25; 21/10; 40/17; 21/10; 11/5; 21/10; 19/10; 21/10; 21/10; 5/2; 27/14; 40/17; 11/5; 21/10; 28/13; 19/10; 21/10; 9/4
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-04 18:25:20 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 11/8; 5/4; 149/100; 13/10; 11/8; 5/4; 11/8; 11/8; 7/5; 7/5; 11/8; 11/8; 23/17; 23/17; 23/18; 16/13; 29/20; 7/5; 7/5; 6/5; 13/10; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 2; 19/10; 2; 9/5; 2; 37/19; 21/10; 39/19; 21/10; 2; 19/10; 15/8; 21/10; ; ; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 113/50; 21/10; 2; 40/17; 2; 21/10; 21/10; 41/20; 19/10; 21/10; 21/10; 9/4; 27/14; 40/17; 85/40; 21/10; 28/13; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-04 22:25:18 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 11/8; 5/4; 153/100; 13/10; 11/8; 5/4; 11/8; 11/8; 7/5; 7/5; 11/8; 11/8; 23/17; 23/17; 23/18; 16/13; 29/20; 7/5; 7/5; 6/5; 13/10; 7/5; 7/5
Draw; 2; 2; 21/10; 43/20; 21/10; 2; 21/10; 2; 19/10; 2; 9/5; 2; 37/19; 21/10; 39/19; 21/10; 2; 19/10; 15/8; 2; 21/10; ; ; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 11/5; 21/10; 2; 40/17; 2; 21/10; 21/10; 41/20; 19/10; 21/10; 21/10; 9/4; 27/14; 40/17; 85/40; 21/10; 28/13; 19/10; 19/10; 11/5; 11/5
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-05 02:25:19 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 7/5; 5/4; 77/50; 7/5; 11/8; 5/4; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 23/17; 23/17; 23/18; 16/13; 29/20; 7/5; 7/5; 5/4; 13/10; 7/5; 7/5
Draw; 2; 2; 21/10; 43/20; 19/10; 2; 21/10; 2; 2; 9/5; 2; 37/19; 21/10; 39/19; 21/10; 2; 7/4; 15/8; 2; 21/10; ; ; ; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 109/50; 21/10; 2; 40/17; 2; 21/10; 2; 41/20; 19/10; 21/10; 21/10; 9/4; 27/14; 40/17; 21/10; 21/10; 28/13; 19/10; 19/10; 11/5; 11/5
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-05 10:25:12 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 13/10; 7/5; 5/4; 77/50; 7/5; 11/8; 5/4; 7/5; 11/8; 7/5; 7/5; 11/8; 11/8; 23/17; 23/17; 23/18; 16/13; 29/20; 7/5; 13/10; 13/10; 7/5; 7/5
Draw; 2; 2; 21/10; 43/20; 19/10; 2; 21/10; 2; 2; 9/5; 2; 37/19; 21/10; 39/19; 21/10; 2; 9/5; 15/8; 2; 21/10; ; ; ; 
Oviedo; 9/4; 21/10; 2; 21/10; 109/50; 21/10; 2; 40/17; 2; 21/10; 2; 41/20; 19/10; 21/10; 21/10; 9/4; 27/14; 40/17; 21/10; 28/13; 19/10; 19/10; 11/5; 11/5
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-05 14:25:23 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
Lugo; 11/8; 7/5; 7/5; 29/20; 13/8; 7/5; 7/5; 17/11; 7/5; 7/5; 29/20; 7/5; 11/8; 7/5; 16/11; 23/17; 23/18; 6/4; 29/20; 16/11; 13/10; 11/8; 6/4; 6/4
Draw; 2; 19/10; 2; 19/10; 85/40; 2; 2; 2; 2; 9/5; 2; 37/19; 21/10; 37/19; 21/10; 2; 9/5; 15/8; 2; 21/10; ; ; ; 
Oviedo; 9/4; 2; 2; 52/25; 2; 2; 2; 19/10; 2; 19/10; 2; 9/4; 27/14; 37/19; 85/40; 39/19; 9/5; 19/10; 2; 21/10; ; ; ; 
META; spain/la-liga-segunda/lugo-v-oviedo; 2018-04-05 18:25:30 GMT+3; 2018-04-08 15:00; Nothing; Xlenovo
