META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-21 22:17:23 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 1/50; 4/6
Draw; 1/50; 13/5
Lugo; 1/50; 7/2
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-22 02:17:18 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 7/20; 1/50; 1/3
Draw; 41/10; 1/50; 4
Lugo; 9; 1/50; 44/5
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-22 10:18:58 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 8/25; 2/7; 2/9; 3/10
Draw; 15/4; 43/10; 4; 21/5; 
Lugo; 9; 10; 37/5; 49/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-22 14:20:41 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 8/25; 2/7; 2/7; 1/10; 3/10
Draw; 15/4; 43/10; 4; 15/4; 2/5; 21/5
Lugo; 10; 10; 9; 2/5; 49/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-22 18:19:25 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 2/7; 33/00; 3/10; 3/10; 3/10; 1/3; 3/11; 2/7; 3/10; 3/11; 1/10; 2/7
Draw; 15/4; 15/4; 19/5; 4; 81/20; 19/5; 4; 15/4; 15/4; 50/13; 4; 21/5; 39/10; 2/5; 4
Lugo; 11; 17/2; 9; 21/2; 17/2; 9; 17/2; 8; 39/4; 69/10; 21/2; 10; 2/5; 54/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-22 22:19:37 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 2/7; 17/50; 3/10; 3/10; 3/10; 3/10; 30/00; 3/11; 3/10; 3/10; 3/10; 5/18; 1/10; 3/10
Draw; 15/4; 15/4; 19/5; 4; 79/20; 39/10; 19/5; 4; 15/4; 17/4; 19/5; 4; 19/5; 21/5; 50/13; 2/5; 4
Lugo; 11; 17/2; 17/2; 8; 41/4; 9; 17/2; 9; 17/2; 8; 19/2; 34/5; 9; 21/2; 39/4; 2/5; 51/5
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-23 02:19:32 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 2/7; 17/50; 3/10; 3/10; 3/10; 3/10; 30/00; 3/11; 1/3; 3/10; 3/10; 3/10; 3/11; 1/10; 1/4; 3/10
Draw; 15/4; 15/4; 19/5; 4; 39/10; 19/5; 4; 15/4; 17/4; 50/13; 15/4; 4; 19/5; 21/5; 39/10; 2/5; 10/3; 4; 
Lugo; 11; 17/2; 17/2; 8; 10; 17/2; 9; 17/2; 8; 39/4; 33/4; 34/5; 9; 21/2; 39/4; 2/5; 36/5; 54/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-23 17:29:22 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 3/10; 8/25; 2/7; 3/10; 3/10; 3/10; 3/10; 30/00; 3/10; 3/11; 1/3; 3/10; 3/10; 3/10; 3/11; 1/4; 3/10; 3/10
Draw; 15/4; 15/4; 19/5; 4; 4; 39/10; 19/5; 4; 15/4; 17/4; 15/4; 50/13; 15/4; 4; 19/5; 4; 39/10; 10/3; 4; ; 
Lugo; 11; 17/2; 17/2; 8; 19/2; 9; 17/2; 9; 17/2; 8; 39/4; 33/4; 34/5; 9; 21/2; 39/4; 36/5; 54/5; 54/5; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-23 22:20:26 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 1/4; 1/4; 1/4
Draw; 15/4; 15/4; 4; 21/5; 4; 39/10; 4; 4; 17/4; 4; 54/13; 15/4; 4; 19/5; 4; 21/5; 10/3; 22/5; 22/5; ; 
Lugo; 11; 17/2; 17/2; 8; 10; 9; 17/2; 9; 8; 21/2; 10; 34/5; 9; 21/2; 43/4; 36/5; 59/5; 56/5; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-24 02:20:54 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 3/10; 29/00; 1/4; 2/7; 3/10; 3/10; 2/7; 2/7; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 1/4; 1/4; 1/4
Draw; 15/4; 15/4; 4; 43/10; 4; 7/2; 39/10; 4; 4; 17/4; 4; 54/13; 15/4; 4; 19/5; 4; 54/13; 10/3; 22/5; 22/5; ; 
Lugo; 11; 17/2; 8; 41/4; 10; 9; 17/2; 9; 8; 21/2; 10; 34/5; 9; 21/2; 43/4; 36/5; 59/5; 56/5; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-24 10:21:08 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 3/10; 3/10; 1/4; 1/4; 3/10; 3/10; 2/7; 3/10; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 1/4; 1/4; 1/4
Draw; 15/4; 15/4; 4; 85/20; 4; 39/10; 4; 15/4; 17/4; 4; 54/13; 15/4; 4; 19/5; 21/5; 21/5; 10/3; 22/5; 22/5; ; ; 
Lugo; 11; 9; 39/4; 10; 9; 9; 8; 11; 10; 34/5; 9; 21/2; 11; 36/5; 59/5; 56/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-24 14:20:42 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 3/10; 2/7; 3/10; 3/10; 1/3; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 3/11; 1/4; 1/4; 1/4
Draw; 15/4; 15/4; 4; 85/20; 4; 7/2; 4; 15/4; 4; 19/5; 17/4; 4; 41/10; 15/4; 4; 19/5; 4; 54/13; 10/3; 22/5; 22/5; ; 
Lugo; 11; 9; 39/4; 10; 9; 8; 15/2; 8; 21/2; 10; 34/5; 9; 11; 21/2; 36/5; 59/5; 56/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-24 18:18:29 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 3/10; 3/10; 7/25; 1/4; 1/4; 3/10; 3/10; 2/7; 2/7; 3/10; 3/10; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 43/10; 4; 39/10; 4; 4; 19/5; 17/4; 4; 54/13; 15/4; 4; 19/5; 21/5; 21/5; 10/3; 22/5; 22/5; ; ; ; 
Lugo; 11; 9; 11; 10; 9; 9; 17/2; 8; 9; 11; 10; 34/5; 9; 21/2; 11; 36/5; 59/5; 59/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-24 22:19:18 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 7/25; 1/4; 1/4; 3/10; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 43/10; 4; 39/10; 4; 4; 19/5; 17/4; 4; 43/10; 15/4; 4; 19/5; 17/4; 74/17; 7/2; 10/3; 9/2; 9/2; ; ; ; 
Lugo; 11; 9; 11; 10; 9; 10; 17/2; 17/2; 8; 23/2; 10; 34/5; 9; 21/2; 23/2; 17/2; 37/5; 59/5; 59/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-25 02:21:00 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 7/25; 1/4; 1/4; 3/10; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 5/19; 3/10; 3/10; 3/10; 3/10; 5/19; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 43/10; 4; 39/10; 4; 4; 19/5; 17/4; 4; 43/10; 15/4; 4; 19/5; 17/4; 74/17; 7/2; 10/3; 9/2; 9/2; ; ; ; 
Lugo; 11; 9; 11; 10; 9; 10; 17/2; 17/2; 8; 23/2; 10; 34/5; 9; 21/2; 23/2; 17/2; 37/5; 59/5; 59/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-25 10:22:12 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 1/4; 3/10; 3/10; 5/18; 3/10; 5/19; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 9/2; 4; 4; 4; 4; 19/5; 17/4; 4; 74/17; 4; 39/10; 17/4; 22/5; 7/2; 10/3; 9/2; 9/2; ; ; ; ; 
Lugo; 11; 9; 11; 10; 10; 10; 17/2; 17/2; 8; 47/4; 21/2; 34/5; 10; 21/2; 47/4; 17/2; 37/5; 59/5; 59/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-25 14:22:17 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 5/19; 5/18; 3/10; 5/18; 3/10; 5/19; 1/4; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 9/2; 4; 4; 4; 4; 19/5; 17/4; 4; 74/17; 17/4; 4; 39/10; 17/4; 22/5; 17/4; 7/2; 9/2; 22/5; ; ; ; ; 
Lugo; 11; 9; 11; 10; 10; 10; 17/2; 17/2; 8; 47/4; 10; 34/5; 10; 21/2; 47/4; 10; 17/2; 59/5; 56/5; ; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-25 18:21:48 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 3/10; 3/10; 2/7; 1/4; 1/4; 5/18; 3/10; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 5/19; 5/18; 3/10; 5/18; 3/10; 3/11; 1/4; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 87/20; 4; 4; 4; 4; 19/5; 17/4; 4; 17/4; 17/4; 4; 39/10; 17/4; 43/10; 4; 7/2; 10/3; 22/5; 21/5; ; ; ; 
Lugo; 11; 9; 21/2; 10; 10; 10; 17/2; 17/2; 8; 23/2; 10; 34/5; 10; 21/2; 23/2; 10; 17/2; 36/5; 56/5; 54/5; ; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-25 22:21:13 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 1/4; 2/7; 3/10; 30/00; 1/4; 1/4; 5/18; 3/10; 5/18; 3/10; 5/19; 1/4; 2/9; 1/4; 1/4; 1/4
Draw; 15/4; 4; 4; 89/20; 4; 4; 4; 4; 19/5; 17/4; 4; 74/17; 17/4; 4; 39/10; 17/4; 22/5; 17/4; 7/2; 10/3; 9/2; 9/2; ; ; ; 
Lugo; 11; 9; 45/4; 10; 10; 10; 10; 17/2; 17/2; 8; 10; 47/4; 10; 34/5; 10; 21/2; 12; 10; 17/2; 36/5; 61/5; 59/5; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-26 02:22:19 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 3/10; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 1/4; 2/7; 3/10; 30/00; 1/4; 1/4; 5/18; 3/10; 5/18; 3/10; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 15/4; 4; 4; 89/20; 4; 4; 4; 4; 19/5; 17/4; 4; 74/17; 17/4; 4; 39/10; 17/4; 22/5; 17/4; 7/2; 10/3; 9/2; 22/5; ; ; ; 
Lugo; 11; 9; 45/4; 10; 10; 10; 10; 17/2; 17/2; 8; 10; 47/4; 10; 34/5; 10; 21/2; 12; 10; 17/2; 36/5; 61/5; 59/5; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-26 10:22:40 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 1/4; 1/4; 5/18; 3/11; 5/18; 2/7; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 4; 21/5; 4; 89/20; 9/2; 4; 21/5; 4; 17/4; 4; 17/4; 4; 22/5; 17/4; 41/10; 39/10; 9/2; 49/11; 17/4; 4; 7/2; 9/2; 22/5; ; ; 
Lugo; 11; 10; 10; 45/4; 11; 10; 10; 10; 9; 17/2; 8; 10; 47/4; 10; 15/2; 10; 21/2; 12; 11; 17/2; 37/5; 61/5; 59/5; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-26 14:23:22 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 1/4; 1/4; 5/18; 3/11; 5/18; 2/7; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 4; 21/5; 4; 89/20; 9/2; 4; 21/5; 4; 4; 17/4; 4; 22/5; 17/4; 41/10; 39/10; 9/2; 49/11; 17/4; 4; 7/2; 9/2; 22/5; ; ; ; 
Lugo; 11; 10; 10; 45/4; 11; 10; 10; 10; 9; 17/2; 8; 10; 12; 10; 15/2; 10; 21/2; 12; 11; 37/5; 61/5; 59/5; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-26 18:23:10 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 2/7; 1/4; 5/18; 3/11; 5/18; 2/7; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 4; 21/5; 4; 89/20; 9/2; 4; 21/5; 4; 17/4; 4; 17/4; 4; 22/5; 17/4; 41/10; 39/10; 9/2; 49/11; 17/4; 4; 7/2; 9/2; 22/5; ; ; 
Lugo; 11; 10; 8; 45/4; 11; 10; 10; 9; 17/2; 8; 47/4; 10; 15/2; 10; 10; 12; 11; 19/2; 36/5; 61/5; 59/5; ; ; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-26 22:22:49 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 1/4; 2/7; 3/10; 27/00; 1/4; 1/4; 5/18; 2/7; 1/4; 2/7; 2/7; 3/10; 30/00; 1/4; 1/4; 5/18; 3/11; 5/18; 2/7; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 4; 21/5; 4; 89/20; 9/2; 4; 21/5; 4; 17/4; 4; 17/4; 4; 22/5; 17/4; 41/10; 39/10; 9/2; 49/11; 17/4; 21/5; 7/2; 23/5; 9/2; ; ; 
Lugo; 11; 10; 10; 45/4; 11; 10; 10; 10; 17/2; 17/2; 8; 10; 47/4; 10; 15/2; 10; 10; 12; 11; 52/5; 36/5; 64/5; 61/5; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-27 02:22:44 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/7; 1/4; 2/7; 3/10; 13/50; 1/4; 1/4; 5/18; 2/7; 1/4; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 5/18; 3/11; 5/18; 2/7; 1/4; 1/4; 2/9; 1/4; 2/7; 1/4
Draw; 4; 21/5; 4; 23/5; 9/2; 4; 21/5; 9/2; 4; 17/4; 4; 17/4; 4; 49/11; 17/4; 41/10; 39/10; 9/2; 9/2; 9/2; 21/5; 7/2; 23/5; 9/2; ; 
Lugo; 11; 10; 10; 23/2; 11; 10; 10; 10; 10; 17/2; 8; 10; 12; 10; 15/2; 10; 10; 12; 11; 52/5; 36/5; 64/5; 61/5; ; ; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-27 10:22:46 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/9; 2/9; 2/9; 1/4; 6/25; 2/9; 2/9; 4/17; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4; 2/9; 2/9; 5/19; 5/18; 4/17; 2/9; 2/9; 2/9; 1/4; 2/9; 1/4; 1/4
Draw; 5; 9/2; 9/2; 4; 99/20; 5; 9/2; 22/5; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 49/10; 9/2; 24/5; 43/10; 5; 94/19; 9/2; 5; 24/5; 5; 
Lugo; 11; 10; 12; 11; 47/4; 12; 11; 11; 12; 11; 10; 10; 10; 10; 11; 51/4; 11; 42/5; 21/2; 14; 13; 11; 66/5; 66/5; 66/5; 68/5
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-27 14:23:04 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/9; 2/9; 2/9; 1/4; 23/00; 1/5; 2/9; 1/5; 2/9; 1/5; 2/9; 1/5; 2/9; 2/9; 1/5; 3/14; 2/9; 3/14; 1/5; 2/9; 3/14; 2/9; 2/9; 1/4; 2/9; 1/4
Draw; 5; 9/2; 19/4; 4; 51/10; 5; 9/2; 51/10; 19/4; 5; 9/2; 5; 9/2; 11/2; 9/2; 96/19; 5; 49/10; 5; 21/4; 51/10; 9/2; 11/2; 28/5; 26/5; 28/5
Lugo; 11; 11; 12; 11; 49/4; 12; 11; 23/2; 12; 11; 11; 11; 11; 10; 27/2; 12; 42/5; 23/2; 12; 55/4; 11; 73/5; 73/5; 71/5; 76/5; 
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-27 18:22:18 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 2/11; 2/9; 1/5; 1/4; 19/96; 2/11; 1/5; 1/5; 2/9; 2/11; 1/5; 2/11; 1/5; 1/5; 2/11; 1/6; 2/9; 3/16; 1/5; 1/5; 1/6; 2/11; 1/5; 2/9; 2/9; 2/9
Draw; 11/2; 9/2; 5; 57/10; 11/2; 5; 51/10; 19/4; 11/2; 5; 19/4; 11/2; 9/2; 29/5; 5; 51/10; 5; 11/2; 76/13; 11/2; 29/5; 6; 6; ; ; 
Lugo; 14; 11; 14; 11; 27/2; 14; 12; 23/2; 12; 12; 12; 12; 12; 11; 11; 31/2; 12; 23/2; 23/2; 16; 63/4; 12; 16; 76/5; 76/5; 83/5
META; spain/la-liga-segunda/rayo-vallecano-v-lugo; 2018-05-27 22:21:48 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Rayo Vallecano; 1/5; 1/20; 1/20; 1/14; 1/33; 3/14; 1/16; 1/18; 2/11; 1/12; 1/14; 
Draw; 29/5; 23/2; 11; 15/2; 10; 9/2; 9; 19/2; 94/19; 61/5; 64/5; 61/5
Lugo; 55/4; 45; 40; 25; 40; 27/2; 25; 33; 65/4; 54; 7/2; 48
