META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-30 22:23:51 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 10/11; 19/20; 1; ; 1; ; ; ; ; 1; 20/21; ; ; 1; ; 19/20; ; 1; ; 28/29; ; 9/10; 1; ; 1; ; ; 20/21; 
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; ; ; ; ; ; 41/20; ; 21/10; ; 28/13; ; 28/13; ; 2; 11/5; ; 28/13; ; ; 2; 
Albacete; 7/2; ; 29/10; ; 7/2; ; ; ; ; 29/10; 3; ; ; 29/10; ; 3; ; 56/19; ; 13/5; ; 14/5; 16/5; ; 56/19; ; ; 5/2; 
META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-31 02:22:51 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 10/11; 19/20; 19/20; ; 1; ; ; ; ; 19/20; 20/21; ; ; 1; ; 19/20; 10/11; 1; 10/11; 28/29; ; 9/10; 19/20; 19/20; 1; ; ; 10/11; 
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; ; 21/10; 21/10; ; ; 21/10; ; 21/10; 9/4; 28/13; 9/4; 28/13; ; 2; 9/4; 11/5; 11/5; ; ; 21/10; 
Albacete; 7/2; 3; 3; ; 7/2; ; ; ; ; 3; 3; ; ; 3; ; 3; 16/5; 56/19; 16/5; 13/5; ; 14/5; 10/3; 3; 56/19; ; ; 5/2; 
META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-31 10:23:02 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 10/11; 10/11; 10/11; ; 1; ; ; ; ; 10/11; 10/11; ; ; 10/11; ; 10/11; 10/11; 10/11; 10/11; 28/29; ; 9/10; 10/11; 10/11; 19/20; ; ; 5/6; 
Draw; 21/10; 85/40; 21/10; ; 23/10; ; ; ; ; 21/10; 21/10; ; ; 43/20; ; 21/10; 9/4; 11/5; 9/4; 28/13; ; 2; 9/4; 9/4; 11/5; ; ; 21/10; 
Albacete; 7/2; 3; 3; ; 7/2; ; ; ; ; 3; 10/3; ; ; 16/5; ; 16/5; 16/5; 31/10; 16/5; 13/5; ; 3; 7/2; 16/5; 41/13; ; ; 27/10; 
META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-31 14:23:40 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 1; ; ; ; 9/10; 10/11; 10/11; ; 10/11; 10/11; ; 10/11; 10/11; 10/11; 10/11; 15/16; 9/10; 5/6; 37/40; 9/10; 10/11; ; ; 5/6; 
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 28/13; 21/10; 21/10; ; 9/4; 43/20; ; 21/10; 9/4; 11/5; 9/4; 11/5; 28/13; 2; 9/4; ; 9/4; ; ; 21/10; 
Albacete; 4; 10/3; 3; ; 7/2; ; ; ; 16/5; 3; 10/3; ; 3; 16/5; ; 10/3; 16/5; 57/17; 16/5; 27/10; 31/10; 3; 7/2; 10/3; 17/5; ; ; 13/5; 
META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-31 18:24:13 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 1; ; ; ; 9/10; 10/11; 10/11; ; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 5/6; 37/40; 9/10; 10/11; ; ; 5/6; 20/21
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 28/13; 21/10; 21/10; ; 11/5; 43/20; 9/4; 21/10; 9/4; 11/5; 9/4; 28/13; 28/13; 2; 9/4; ; 9/4; ; ; 21/10; 23/10
Albacete; 4; 7/2; 3; ; 7/2; ; ; ; 16/5; 3; 10/3; ; 3; 16/5; 16/5; 10/3; 16/5; 57/17; 16/5; 14/5; 31/10; 3; 7/2; 10/3; 57/17; ; ; 13/5; 10/3
META; spain/la-liga-segunda/lugo-v-albacete; 2018-01-31 22:23:23 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 1; ; ; ; 9/10; 10/11; 10/11; ; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; ; 5/6; 20/21
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 21/10; ; 11/5; 43/20; 9/4; 21/10; 9/4; 9/4; 9/4; 28/13; 11/5; 2; 9/4; ; ; ; ; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 7/2; ; ; ; 33/10; 16/5; 10/3; ; 3; 16/5; 16/5; 10/3; 16/5; 57/17; 16/5; 56/19; 13/4; 3; 18/5; 10/3; 57/17; ; ; 13/5; 10/3
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-01 02:22:45 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 1; ; ; ; 9/10; 10/11; 10/11; ; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; ; 5/6; 20/21
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 21/10; ; 11/5; 43/20; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 2; 9/4; ; ; ; ; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 7/2; ; ; ; 33/10; 16/5; 10/3; ; 3; 16/5; 16/5; 10/3; 57/17; 16/5; 56/19; 13/4; 3; 18/5; 10/3; 57/17; ; ; 13/5; 10/3
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-01 10:23:01 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 13/15; ; 1; ; ; ; 9/10; 20/23; 5/6; ; 10/11; 9/10; 17/20; 10/11; 13/15; 10/11; 7/8; 9/10; 4/5; 20/23; 17/20; 13/15; ; ; 5/6; 5/6
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 21/10; ; 9/4; 43/20; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 85/40; 23/10; ; 23/10; ; ; 11/5; 23/10
Albacete; 4; 10/3; 10/3; ; 7/2; ; ; ; 33/10; 13/4; 7/2; ; 16/5; 16/5; 7/2; 10/3; 39/11; 16/5; 56/19; 13/4; 100/30; 15/4; 7/2; 18/5; ; ; 11/4; 7/2
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-01 14:23:20 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 1; ; ; ; 9/10; 10/11; 5/6; ; 10/11; 10/11; 17/20; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 9/10; 9/10; 10/11; ; 8/11; 5/6; 10/11
Draw; 21/10; 21/10; 21/10; ; 23/10; ; ; ; 11/5; 21/10; 11/5; ; 9/4; 43/20; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 2; 9/4; ; 9/4; ; 19/10; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 7/2; ; ; ; 33/10; 16/5; 10/3; ; 3; 31/10; 7/2; 10/3; 17/5; 16/5; 56/19; 13/4; 3; 18/5; 10/3; 38/11; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-01 18:22:36 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 19/20; ; ; ; 9/10; 10/11; 5/6; ; 10/11; 10/11; 17/20; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; 8/11; 5/6; 10/11
Draw; 21/10; 21/10; 21/10; ; 119/50; ; ; ; 11/5; 21/10; 11/5; ; 9/4; 43/20; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 2; 23/10; ; 9/4; ; 19/10; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 18/5; ; ; ; 33/10; 16/5; 10/3; ; 3; 31/10; 7/2; 10/3; 17/5; 16/5; 56/19; 13/4; 3; 7/2; 10/3; 17/5; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-01 22:22:31 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 19/20; ; ; ; 9/10; 10/11; 5/6; ; 10/11; 10/11; 17/20; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; 4/5; 5/6; 10/11
Draw; 21/10; 21/10; 21/10; ; 119/50; ; ; ; 11/5; 21/10; 11/5; ; 9/4; 43/20; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 2; 23/10; ; 9/4; ; 19/10; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 18/5; ; ; ; 33/10; 16/5; 10/3; ; 3; 31/10; 7/2; 10/3; 17/5; 16/5; 56/19; 13/4; 3; 7/2; 10/3; 17/5; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-02 02:22:27 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 93/100; ; ; ; 9/10; 10/11; 5/6; ; 10/11; 10/11; 17/20; 10/11; 10/11; 10/11; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; 4/5; 5/6; 10/11
Draw; 21/10; 21/10; 21/10; ; 121/50; ; ; ; 11/5; 21/10; 11/5; ; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; 28/13; 11/5; 2; 23/10; ; 9/4; ; 19/10; 21/10; 23/10
Albacete; 4; 10/3; 16/5; ; 73/20; ; ; ; 33/10; 16/5; 10/3; ; 3; 16/5; 7/2; 10/3; 17/5; 16/5; 56/19; 13/4; 3; 7/2; 10/3; 38/11; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/lugo-v-albacete; 2018-02-02 10:22:38 GMT+2; 2018-02-04 11:00; Nothing; Xlenovo
Lugo; 17/20; 5/6; 10/11; ; 93/100; ; ; ; 9/10; 10/11; 5/6; ; 10/11; 10/11; 17/20; 10/11; 10/11; 19/20; 7/8; 9/10; 5/6; 10/11; 9/10; 10/11; ; 4/5; 5/6; 10/11
