META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-03 14:25:22 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Draw; 19/10; 1
Numancia; 13/5; 6/5
Alcorcon; 23/20; 1/4
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-03 18:25:28 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 13/10; 5/4; 13/10; 23/20; 7/5; 13/10; 23/17; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 13/10; 24/19; 4/3; 11/8; 13/10; 13/10; 6/5; 11/8
Draw; 2; 19/10; 2; 21/10; 2; 19/10; 2; 19/10; 21/10; 2; 37/19; 2; 39/19; 37/19; 2; 37/19; 9/5; 2; ; ; 
Numancia; 12/5; 11/5; 11/5; 12/5; 5/2; 23/10; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 9/4; 23/10; 39/19; 9/4; 12/5; 47/20; 23/10; 2; 5/2
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-03 22:25:25 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 6/5; 6/5; 23/20; 32/25; 6/5; 11/10; 23/17; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 4/3; 6/5; 6/5; 6/5; 11/10; 5/4
Draw; 2; 19/10; 19/10; 2; 52/25; 2; 2; 19/10; 19/10; 2; 19/10; 37/19; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 5/2; 5/2; 9/4; 12/5; 5/2; 12/5; 5/2; 5/2; 28/11; 23/10; 28/13; 9/4; 27/10; 5/2; 13/5; 9/4; 11/4
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-04 02:24:49 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 6/5; 6/5; 23/20; 32/25; 6/5; 11/10; 23/17; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 13/10; 6/5; 4/3; 6/5; 6/5; 6/5; 11/10; 5/4
Draw; 2; 19/10; 19/10; 2; 52/25; 2; 2; 19/10; 19/10; 2; 19/10; 37/19; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 5/2; 5/2; 9/4; 12/5; 5/2; 12/5; 5/2; 5/2; 28/11; 23/10; 28/13; 9/4; 27/10; 5/2; 13/5; 9/4; 11/4
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-04 10:24:54 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 6/5; 6/5; 23/20; 32/25; 6/5; 11/10; 23/17; 6/5; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 6/5; 4/3; 6/5; 6/5; 6/5; 11/10; 5/4
Draw; 2; 19/10; 19/10; 2; 52/25; 2; 2; 19/10; 19/10; 2; 15/8; 19/10; 37/19; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 5/2; 5/2; 9/4; 12/5; 5/2; 12/5; 12/5; 5/2; 28/11; 23/10; 28/13; 9/4; 13/5; 5/2; 13/5; 9/4; 11/4
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-04 14:25:02 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 6/5; 6/5; 23/20; 32/25; 6/5; 6/5; 23/17; 6/5; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 6/5; 4/3; 5/4; 6/5; 6/5; 11/10; 6/5; 5/4
Draw; 2; 19/10; 19/10; 2; 52/25; 2; 15/8; 2; 19/10; 19/10; 2; 15/8; 19/10; 37/19; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 5/2; 5/2; 9/4; 12/5; 5/2; 12/5; 12/5; 5/2; 28/11; 23/10; 28/13; 9/4; 13/5; 5/2; 13/5; 9/4; 2; 11/4
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-04 18:25:06 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 6/5; 6/5; 23/20; 127/100; 6/5; 11/10; 23/17; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 6/5; 13/10; 6/5; 4/3; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5
Draw; 2; 19/10; 19/10; 2; 21/10; 2; 2; 19/10; 19/10; 2; 39/20; 15/8; 19/10; 37/19; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 5/2; 5/2; 9/4; 12/5; 5/2; 12/5; 49/20; 12/5; 5/2; 28/11; 23/10; 28/13; 9/4; 13/5; 5/2; 13/5; 9/4; 2; 14/5
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-04 22:25:05 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 23/20; 6/5; 23/20; 127/100; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; 6/5; 13/10; 6/5; 13/11; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5
Draw; 2; 19/10; 2; 21/10; 2; 2; 19/10; 2; 39/20; 15/8; 2; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; 2; ; ; ; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 13/5; 5/2; 13/5; 12/5; 13/5; 12/5; 49/20; 12/5; 5/2; 45/17; 23/10; 28/13; 28/11; 13/5; 5/2; 27/10; 23/10; 2; 14/5; 14/5
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-05 02:25:06 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 23/20; 6/5; 23/20; 127/100; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; 6/5; 13/10; 6/5; 13/11; 5/4; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5
Draw; 2; 19/10; 2; 21/10; 2; 2; 19/10; 2; 39/20; 15/8; 2; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; 2; ; ; ; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 13/5; 5/2; 13/5; 12/5; 13/5; 12/5; 49/20; 12/5; 5/2; 45/17; 23/10; 28/13; 28/11; 13/5; 5/2; 27/10; 23/10; 2; 14/5; 14/5
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-05 10:24:59 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 23/20; 6/5; 23/20; 127/100; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; 6/5; 13/10; 6/5; 13/11; 5/4; 6/5; 11/10; 6/5; 6/5; 6/5
Draw; 2; 19/10; 2; 21/10; 2; 2; 19/10; 2; 39/20; 15/8; 2; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; 2; ; ; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 13/5; 5/2; 13/5; 12/5; 13/5; 12/5; 49/20; 12/5; 5/2; 45/17; 23/10; 28/13; 28/11; 13/5; 27/10; 23/10; 2; 14/5; 14/5
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-05 14:25:10 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 23/20; 6/5; 23/20; 127/100; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; 6/5; 13/10; 6/5; 13/11; 5/4; 6/5; 10/9; 6/5; 6/5; 6/5
Draw; 2; 19/10; 2; 21/10; 2; 2; 19/10; 2; 39/20; 15/8; 2; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; 2; ; ; ; ; 
Numancia; 11/4; 12/5; 12/5; 12/5; 14/5; 13/5; 5/2; 13/5; 12/5; 13/5; 12/5; 12/5; 12/5; 5/2; 45/17; 23/10; 28/13; 28/11; 13/5; 45/17; 23/10; 21/10; 14/5; 14/5
META; spain/la-liga-segunda/alcorcon-v-numancia; 2018-04-05 18:25:17 GMT+3; 2018-04-07 17:00; Nothing; Xlenovo
Alcorcon; 23/20; 23/20; 6/5; 23/20; 127/100; 6/5; 11/10; 6/5; 6/5; 23/20; 6/5; 6/5; 11/10; 11/10; 6/5; 13/10; 6/5; 13/11; 5/4; 6/5; 10/9; 6/5; 6/5; 6/5
Draw; 2; 19/10; 2; 21/10; 2; 2; 19/10; 2; 19/10; 39/20; 15/8; 2; 2; 39/19; 37/19; 21/10; 2; 9/5; 2; 2; ; ; ; 
