META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-21 22:23:44 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oviedo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 02:23:38 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oviedo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 10:24:07 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; 
Draw; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
Reus Deportiu; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 14:24:16 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 13/8; 17/10; 17/10; ; 17/10; ; ; ; ; 17/10; 17/10; 17/10; ; ; 9/5; ; 28/17; 7/4; 28/17; 14/9; ; ; 7/4; 9/5; 8/5; 7/5; ; 
Draw; 2; 15/8; 28/15; ; 2; ; ; ; ; 15/8; 15/8; 15/8; ; ; 9/5; ; 37/19; 24/13; 37/19; 39/19; ; ; 2; 15/8; 2; 8/11; ; 
Reus Deportiu; 15/8; 17/10; 17/10; ; 21/10; ; ; ; ; 17/10; 7/4; 7/4; ; ; 9/5; ; 9/5; 7/4; 9/5; 13/8; ; ; 9/5; 7/4; 24/13; 8/11; ; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 18:24:18 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 13/8; 13/8; 8/5; 17/10; 87/50; ; ; ; 28/17; 8/5; 13/8; 13/8; ; ; 17/10; ; 28/17; 28/17; 28/17; 19/13; 28/17; 13/8; 13/8; 17/10; 17/10; 7/5; 7/5; 
Draw; 2; 15/8; 28/15; 9/5; 39/20; ; ; ; 19/10; 15/8; 15/8; 9/5; ; ; 9/5; ; 37/19; 24/13; 37/19; 39/19; 19/10; 9/5; 2; 15/8; 19/10; 10/9; 9/5; 
Reus Deportiu; 15/8; 9/5; 9/5; 7/4; 21/10; ; ; ; 9/5; 9/5; 15/8; 19/10; ; ; 19/10; ; 9/5; 24/13; 9/5; 33/19; 9/5; 7/4; 2; 37/20; 24/13; 6/4; 17/10; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-22 22:24:13 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 6/4; 6/4; 17/11; 17/10; 44/25; ; ; ; 28/17; 31/20; 8/5; 13/8; ; ; 13/8; ; 28/17; 17/11; 28/17; 19/13; 28/17; 8/5; 8/5; 33/20; 8/5; 4/6; 7/5; 
Draw; ; 15/8; 28/15; 9/5; 191/ 100; ; ; ; 19/10; 15/8; 15/8; 9/5; ; ; 9/5; ; 37/19; 19/10; 37/19; 39/19; 19/10; 9/5; 2; 15/8; 19/10; 21/20; 9/5; 
Reus Deportiu; 2; 15/8; 28/15; 7/4; 85/40; ; ; ; 9/5; 15/8; 19/10; 19/10; ; ; 2; ; 9/5; 37/19; 9/5; 33/19; 9/5; 9/5; 2; 19/10; 37/19; 7/4; 9/5; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 02:24:04 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 6/4; 6/4; 6/4; 17/10; 17/10; ; ; ; 28/17; 6/4; 8/5; 13/8; ; ; 13/8; 8/5; 28/17; 17/11; 28/17; 16/11; 28/17; 6/4; 8/5; 8/5; 8/5; 4/6; 7/5; 
Draw; ; 15/8; 28/15; 9/5; 193/ 100; ; ; ; 19/10; 15/8; 15/8; 9/5; ; ; 9/5; 15/8; 37/19; 19/10; 37/19; 2; 19/10; 9/5; 2; 15/8; 19/10; 21/20; 9/5; 
Reus Deportiu; 2; 15/8; 19/10; 7/4; 109/ 50; ; ; ; 9/5; 19/10; 19/10; 19/10; ; ; 2; 19/10; 9/5; 37/19; 9/5; 9/5; 9/5; 9/5; 2; 39/20; 37/19; 19/10; 9/5; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 10:24:10 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 6/4; 6/4; 6/4; 17/10; 17/10; ; ; ; 28/17; 6/4; 8/5; 13/8; ; ; 13/8; 8/5; 28/17; 17/11; 28/17; 16/11; 28/17; 6/4; 8/5; 8/5; 8/5; 1/10; 7/5; 
Draw; ; 15/8; 28/15; 9/5; 193/ 100; ; ; ; 19/10; 15/8; 15/8; 9/5; ; ; 9/5; 15/8; 37/19; 19/10; 37/19; 2; 19/10; 9/5; 2; 15/8; 19/10; 9/5; 9/5; 
Reus Deportiu; 2; 19/10; 19/10; 7/4; 109/ 50; ; ; ; 9/5; 19/10; 19/10; 19/10; ; ; 2; 19/10; 9/5; 37/19; 9/5; 9/5; 9/5; 9/5; 2; 39/20; 37/19; 1/20; 9/5; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 14:24:12 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 29/20; 6/4; 16/11; 6/4; 8/5; ; ; ; 28/17; 29/20; 6/4; 29/20; ; ; 7/5; 6/4; 6/4; 16/11; 6/4; 11/8; 28/17; 7/5; 6/4; 6/4; 6/4; 2/5; 27/20; 
Draw; ; 15/8; 28/15; 9/5; 101/ 50; ; ; ; 19/10; 15/8; 19/10; 19/10; ; ; 2; 19/10; 19/10; 37/19; 19/10; 2; 19/10; 9/5; 2; 19/10; 37/19; 9/5; 9/5; 
Reus Deportiu; 21/10; 19/10; 2; 2; 111/ 50; ; ; ; 9/5; 2; 2; 2; ; ; 21/10; 2; 21/10; 2; 21/10; 15/8; 9/5; 15/8; 85/40; 21/10; 2; 7/5; 9/5; 
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 18:24:40 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 13/10; 11/8; 7/5; 6/4; 8/5; 7/5; ; ; 23/17; 7/5; 7/5; 29/20; ; ; 6/4; 7/5; 13/10; 7/5; 13/10; 11/8; 23/17; 7/5; 29/20; 6/4; 7/5; 5/4; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; ; ; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 19/10; 9/5; 7/4; 19/10
Reus Deportiu; 23/10; 21/10; 21/10; 2; 57/25; 21/10; ; ; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 5/2; 28/13; 5/2; 37/19; 11/5; 2; 23/10; 21/10; 28/13; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-23 22:24:35 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 13/10; 11/8; 7/5; 6/4; 77/50; 7/5; 11/8; ; 23/17; 7/5; 7/5; 29/20; ; ; 6/4; 7/5; 23/17; 7/5; 23/17; 11/8; 23/17; 7/5; 29/20; 6/4; 16/11; ; 5/4; 11/8; 7/5
Draw; ; 15/8; 28/15; 9/5; 99/50; 15/8; 15/8; ; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 37/19; ; 9/5; 7/4; 19/10
Reus Deportiu; 23/10; 21/10; 21/10; 2; 119/ 50; 21/10; 2; ; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 9/4; ; 19/10; 19/10; 23/10
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 02:24:10 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; ; 23/17; 29/20; 7/5; 29/20; ; ; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 23/17; 7/5; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; ; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; ; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 10:24:05 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; 13/10; 23/17; 29/20; 7/5; 29/20; ; ; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 23/17; 7/5; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 14:24:14 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; 13/10; 23/17; 29/20; 7/5; 29/20; ; ; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 23/17; 7/5; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 37/19; 15/8; 19/10; 15/8; ; ; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 37/19; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 18:24:14 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; 13/10; 6/4; 29/20; 7/5; 29/20; ; 29/20; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 31/21; 7/5; 6/4; 6/4; 16/11; ; 13/10; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 15/8; ; 37/20; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 9/5; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; 21/10; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-24 22:24:04 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 11/8; 16/11; 6/4; 39/25; 7/5; 7/5; 13/10; 6/4; 29/20; 7/5; 29/20; ; 29/20; 6/4; 7/5; 23/17; 16/11; 23/17; 11/8; 31/21; 7/5; 6/4; 6/4; 16/11; ; 27/20; 11/8; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 15/8; ; 37/20; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 9/5; 7/4; 19/10; 15/8; 37/19; ; 7/4; 7/4; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; 21/10; 21/10; 21/10; 12/5; 11/5; 12/5; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 19/10; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-25 02:23:52 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 7/5; 7/5; 6/4; 39/25; 7/5; 7/5; 13/10; 6/4; 7/5; 7/5; 29/20; ; 29/20; 6/4; 7/5; 6/4; 16/11; 6/4; 11/8; 31/21; 7/5; 6/4; 6/4; 16/11; ; 7/5; 27/20; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 15/8; ; 37/20; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 9/5; 7/4; 19/10; 15/8; 37/19; ; 9/5; 9/5; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 2; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-25 10:23:48 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 7/5; 7/5; 6/4; 39/25; 7/5; 7/5; 13/10; 6/4; 7/5; 7/5; 29/20; ; 7/5; 6/4; 7/5; 6/4; 16/11; 6/4; 11/8; 31/21; 7/5; 6/4; 6/4; 16/11; ; 11/8; 27/20; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 15/8; ; 37/20; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 9/5; 7/4; 19/10; 15/8; 37/19; ; 9/5; 9/5; 2
Reus Deportiu; 11/5; 21/10; 21/10; 2; 47/20; 21/10; 2; 2; 11/5; 21/10; 21/10; 21/10; ; 43/20; 21/10; 21/10; 21/10; 11/5; 21/10; 37/19; 11/5; 2; 23/10; 21/10; 11/5; ; 2; 19/10; 9/4
META; spain/la-liga-segunda/reus-deportiu-v-oviedo; 2018-01-25 14:24:07 GMT+2; 2018-01-27 17:00; Nothing; Xlenovo
Oviedo; 7/5; 7/5; 7/5; 6/4; 39/25; 7/5; 7/5; 13/10; 6/4; 7/5; 7/5; 29/20; ; 7/5; 6/4; 7/5; 6/4; 16/11; 6/4; 11/8; 31/21; 7/5; 6/4; 6/4; 16/11; ; 11/8; 27/20; 6/4
Draw; ; 15/8; 28/15; 9/5; 197/ 100; 15/8; 15/8; 9/5; 24/13; 15/8; 15/8; 15/8; ; 37/20; 15/8; 15/8; 24/13; 37/19; 24/13; 31/16; 9/5; 7/4; 19/10; 15/8; 37/19; ; 9/5; 9/5; 2
