META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-11 22:23:57 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 1; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; ; ; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 85/40; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 28/13; ; ; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 14/5; ; ; ; ; 11/4; 29/10; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 28/11; ; ; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-12 02:25:02 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 1; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; 23/20; ; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 85/40; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 28/13; 21/10; ; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 14/5; ; ; ; ; 11/4; 29/10; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 28/11; 16/5; ; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-12 10:23:42 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 23/20; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 11/10; 23/20; ; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 2; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 39/19; 21/10; ; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 3; ; ; ; ; 11/4; 3; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 28/11; 16/5; ; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-12 14:23:46 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; 23/20; ; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 21/10; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 21/10; 21/10; ; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 3; ; ; ; ; 11/4; 3; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 45/17; 16/5; ; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-12 18:24:19 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; 23/20; 21/20; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 21/10; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 39/19; 21/10; 39/19; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 3; ; ; ; ; 11/4; 3; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 45/17; 16/5; 5/2; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-12 22:24:48 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; ; 23/20; 21/20; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 2; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; ; 21/10; 39/19; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 3; ; ; ; ; 11/4; 31/10; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; ; 16/5; 5/2; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-13 02:24:00 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; 23/20; 21/20; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 2; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 39/19; 21/10; 39/19; 28/13; ; 2; ; ; ; ; 
Reus Deportiu; 3; ; ; ; ; 11/4; 31/10; ; 11/4; ; ; ; 14/5; ; ; ; 29/10; 27/10; 45/17; 16/5; 5/2; 27/10; ; 13/5; ; ; ; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-08-13 10:24:04 GMT+3; 2017-08-21 19:00; Nothing; Xlenovo
Lugo; 11/10; ; ; ; ; 1; 11/10; ; 1; ; ; ; 11/10; ; ; ; 21/20; 1; 21/20; 23/20; 21/20; 1; ; 21/20; ; ; ; ; 
Draw; 2; ; ; ; ; 19/10; 2; ; 28/13; ; ; ; 21/10; ; ; ; 2; 21/10; 39/19; 21/10; 39/19; 28/13; ; 2; ; ; ; ; 
