META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-20 14:36:48 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 5/4; 5/4; 23/17; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10
Draw; 15/8; 15/8; 9/5; 2; 15/8; 15/8; 2; 19/10; 19/10; 19/10; 37/20
SD Huesca; 27/10; 12/5; 5/2; 21/10; 5/2; 23/10; 12/5; 40/17; 12/5; 27/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-20 18:36:55 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 13/10; 5/4; 23/17; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 13/10; 23/18; 4/3; 11/8; 27/20; 13/10; 7/5
Draw; 15/8; 15/8; 9/5; 37/19; 15/8; 15/8; 15/8; 37/20; 2; 9/5; 19/10; 21/11; 19/10; 19/10; 37/20; 24/13; 19/10
SD Huesca; 27/10; 23/10; 5/2; 40/17; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 28/13; 40/17; 13/5; 49/20; 12/5; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-20 22:36:52 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 13/10; 5/4; 23/17; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 23/18; 4/3; 11/8; 27/20; 13/10; 13/10; 7/5
Draw; 15/8; 9/5; 9/5; 37/19; 9/5; 15/8; 15/8; 37/20; 7/4; 9/5; 19/10; 21/11; 19/10; 19/10; 37/20; 24/13; 9/5; 9/5
SD Huesca; 27/10; 12/5; 5/2; 40/17; 5/2; 12/5; 23/10; 12/5; 5/2; 12/5; 12/5; 28/13; 40/17; 13/5; 49/20; 27/11; 21/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-21 02:36:46 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 13/10; 5/4; 7/5; 23/17; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 4/3; 11/8; 27/20; 13/10; 5/6; 13/10; 7/5
Draw; 15/8; 15/8; 9/5; 2; 37/19; 15/8; 15/8; 15/8; 37/20; 7/4; 9/5; 19/10; 21/11; 19/10; 19/10; 37/20; 9/5; 23/20; 9/5; 9/5
SD Huesca; 27/10; 23/10; 5/2; 131/0; 40/17; 12/5; 12/5; 9/4; 12/5; 5/2; 12/5; 12/5; 21/10; 40/17; 13/5; 49/20; 27/11; 7/5; 21/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-21 10:36:49 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 13/10; 5/4; 36/25; 23/17; 13/10; 13/10; 13/10; 5/4; 7/5; 13/10; 13/10; 13/10; 4/3; 11/8; 27/20; 13/10; 5/6; 23/20; 7/5
Draw; 15/8; 15/8; 9/5; 48/25; 37/19; 15/8; 15/8; 15/8; 15/8; 15/8; 9/5; 19/10; 21/11; 19/10; 19/10; 37/20; 9/5; 1/4; 13/8; 15/8
SD Huesca; 27/10; 23/10; 5/2; 133/0; 40/17; 12/5; 12/5; 23/10; 12/5; 13/5; 12/5; 12/5; 21/10; 40/17; 13/5; 49/20; 27/11; 8/5; 2; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-21 14:36:52 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 13/10; 5/4; 36/25; 23/17; 13/10; 13/10; 13/10; 5/4; 7/5; 13/10; 13/10; 4/3; 11/8; 27/20; 5/4; 5/6; 6/5; 7/5
Draw; 15/8; 15/8; 9/5; 193/00; 37/19; 15/8; 15/8; 15/8; 19/10; 15/8; 19/10; 21/11; 19/10; 19/10; 37/20; 24/13; 2/9; 9/5; 15/8
SD Huesca; 27/10; 23/10; 5/2; 53/20; 40/17; 12/5; 12/5; 9/4; 12/5; 13/5; 12/5; 21/10; 40/17; 13/5; 49/20; 27/11; 13/8; 21/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-21 18:36:55 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 6/5; 5/4; 61/50; 23/17; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 6/5; 13/11; 5/4; 23/20; 15/13; 1/20; 21/20; 6/5
Draw; 15/8; 15/8; 9/5; 85/40; 37/19; 19/10; 15/8; 2; 19/10; 21/10; 19/10; 19/10; 27/14; 19/10; 2; 39/20; 37/19; 8/15; 19/10; 2
SD Huesca; 27/10; 5/2; 5/2; 73/25; 40/17; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 12/5; 23/10; 45/17; 27/10; 11/4; 45/17; 21/10; 23/10; 14/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-21 22:36:54 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 23/20; 5/4; 61/50; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 15/13; 6/5; 13/11; 11/8; 23/20; 15/13; 8/11; 21/20; 6/5
Draw; 15/8; 15/8; 9/5; 85/40; 9/5; 37/19; 19/10; 15/8; 2; 19/10; 21/10; 19/10; 19/10; 27/14; 19/10; 19/10; 39/20; 37/19; 5/4; 19/10; 2
SD Huesca; 27/10; 13/5; 5/2; 73/25; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 11/4; 45/17; 14/5; 23/10; 45/17; 13/5; 11/4; 45/17; 13/8; 23/10; 14/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-22 02:36:31 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 23/20; 5/4; 61/50; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 15/13; 6/5; 13/11; 11/8; 23/20; 15/13; 8/11; 21/20; 6/5
Draw; 15/8; 15/8; 9/5; 85/40; 9/5; 37/19; 19/10; 15/8; 2; 19/10; 21/10; 15/8; 19/10; 19/10; 27/14; 19/10; 19/10; 39/20; 37/19; 5/4; 19/10; 2
SD Huesca; 27/10; 13/5; 5/2; 73/25; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 45/17; 14/5; 23/10; 45/17; 13/5; 11/4; 45/17; 21/10; 23/10; 14/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-22 10:36:42 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 6/5; 5/4; 32/25; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 15/13; 6/5; 13/11; 11/8; 6/5; 15/13; 4/5; 21/20; 5/4
Draw; 15/8; 19/10; 9/5; 85/40; 9/5; 37/19; 19/10; 15/8; 2; 19/10; 21/10; 15/8; 19/10; 19/10; 27/14; 19/10; 19/10; 19/10; 37/19; 13/10; 19/10; 2
SD Huesca; 27/10; 5/2; 5/2; 137/0; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 28/11; 14/5; 23/10; 45/17; 13/5; 13/5; 28/11; 17/10; 23/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-22 14:36:50 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
Cadiz; 5/4; 6/5; 5/4; 71/50; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 11/8; 5/4; 5/4; 15/13; 6/5; 13/11; 5/4; 5/4; 5/4; 1; 11/10; 5/4
Draw; 15/8; 15/8; 9/5; 49/25; 9/5; 37/19; 19/10; 15/8; 2; 19/10; 19/10; 15/8; 24/13; 19/10; 27/14; 19/10; 2; 39/20; 24/13; 13/8; 19/10; 2
SD Huesca; 27/10; 5/2; 5/2; 66/25; 12/5; 27/10; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 27/11; 14/5; 23/10; 45/17; 27/10; 27/10; 5/2; 21/10; 23/10; 13/5
META; spain/la-liga-segunda/cadiz-v-sd-huesca; 2018-03-22 18:36:54 GMT+2; 2018-03-26 20:00; Nothing; Xlenovo
