META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-02 02:23:48 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leonesa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-02 10:24:24 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Leonesa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-02 18:25:14 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Leonesa; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-02 22:25:37 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Leonesa; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-03 02:25:10 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Leonesa; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-03 10:25:37 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Leonesa; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; 
Draw; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-03 14:25:47 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; 13/10; 13/10; ; 11/8; 5/4; ; 5/4; ; ; 5/4; ; ; ; ; 13/10; ; 13/10; 71/50; ; ; ; 11/8; 13/10; ; 5/4; ; 
Draw; ; 2; 21/10; ; 21/10; 15/8; ; 15/8; ; ; 21/10; ; ; ; ; 2; ; 39/19; 109/50; ; ; ; 21/10; 21/10; ; 19/10; ; 
Leonesa; ; 21/10; 2; ; 11/5; 11/5; ; 2; ; ; 11/5; ; ; ; ; 21/10; ; 28/13; 47/20; ; ; ; 9/4; 11/5; ; 21/10; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-03 18:25:29 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; ; 13/10; 13/10; 13/10; 11/8; 5/4; ; 5/4; ; ; 13/10; 27/20; ; ; 13/10; 13/10; ; 23/17; 143/100; 5/4; ; ; 11/8; 13/10; ; 5/4; ; 
Draw; ; 2; 21/10; 21/10; 21/10; 15/8; ; 15/8; ; ; 2; 2; ; ; 21/10; 2; ; 2; 107/50; 21/10; ; ; 21/10; 21/10; ; 19/10; ; 
Leonesa; ; 21/10; 2; 21/10; 11/5; 11/5; ; 2; ; ; 21/10; 43/20; ; ; 11/5; 21/10; ; 28/13; 119/50; 2; ; ; 9/4; 11/5; ; 21/10; ; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-03 22:25:28 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 5/4; 7/5; ; 13/10; 13/10; ; 13/10; 13/10; 13/10; ; 23/17; 143/100; 5/4; 11/8; ; 11/8; 13/10; ; 13/10; 5/4; 
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; ; 2; 21/10; 2; ; 39/19; 107/50; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 15/8; 
Leonesa; 9/4; 85/40; 2; 21/10; 9/4; 11/5; 9/4; 2; 11/5; ; 11/5; 11/5; ; 21/10; 11/5; 11/5; ; 9/4; 119/50; 2; 28/13; ; 23/10; 11/5; ; 21/10; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-04 02:24:34 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 7/5; ; 13/10; 13/10; ; 13/10; 13/10; 13/10; ; 23/17; 143/100; 23/18; 11/8; ; 13/10; 13/10; ; 13/10; 5/4; 
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; ; 19/10; 2; 2; ; 39/19; 107/50; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 
Leonesa; 9/4; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 11/5; ; 11/5; 11/5; ; 9/4; 23/10; 11/5; ; 9/4; 119/50; 37/19; 28/13; ; 12/5; 11/5; ; 21/10; 21/10; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-04 10:24:54 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 13/10; 13/10; 13/10; 13/10; 11/8; 5/4; 5/4; 6/5; 7/5; ; 13/10; 13/10; ; 13/10; 13/10; 13/10; ; 23/17; 143/100; 23/18; 11/8; ; 13/10; 13/10; ; 5/4; 5/4; 
Draw; 21/10; 2; 21/10; 21/10; 2; 15/8; 2; 15/8; 2; ; 2; 2; ; 19/10; 2; 2; ; 39/19; 107/50; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 
Leonesa; 9/4; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 11/5; ; 11/5; 11/5; ; 9/4; 23/10; 11/5; ; 9/4; 119/50; 37/19; 28/13; ; 12/5; 11/5; ; 2; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-leonesa; 2017-10-04 14:24:56 GMT+3; 2017-10-07 17:00; Nothing; Xlenovo
Reus Deportiu; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 6/5; 23/17; ; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; ; 13/10; 71/50; 23/18; 4/3; ; 13/10; 13/10; ; 5/4; 6/5; 
Draw; 21/10; 2; 21/10; 21/10; 21/10; 15/8; 2; 15/8; 2; ; 2; 2; 21/10; 19/10; 2; 2; ; 39/19; 85/40; 21/10; 37/19; ; 21/10; 21/10; ; 19/10; 19/10; 
Leonesa; 12/5; 85/40; 2; 21/10; 23/10; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 21/10; 9/4; 23/10; 11/5; ; 9/4; 121/50; 37/19; 9/4; ; 12/5; 11/5; ; 21/10; 2; 
