META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-05 14:22:59 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
FC Barcelona B; 23/20; ; 6/5; ; 32/25; ; ; ; 11/10; 6/5; 6/5; ; ; ; 5/4; ; 15/13; 15/13; 6/5; ; ; 5/4; 6/5; 6/5; ; ; ; 
Draw; 2; 2; ; ; 23/10; ; ; ; 19/10; 21/10; 2; ; ; ; 21/10; ; 39/19; 21/10; 9/4; ; ; 11/5; 11/5; 39/19; ; ; ; 
Alcorcon; 11/4; 12/5; 9/4; ; 63/25; ; ; ; 27/10; 9/4; 12/5; ; ; ; 23/10; ; 5/2; 13/5; 79/40; ; ; 5/2; 47/20; 5/2; ; ; ; 
META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-05 18:23:28 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
FC Barcelona B; 23/20; 23/20; 15/13; ; 121/100; ; ; ; 11/10; 23/20; 23/20; ; ; ; 6/5; ; 15/13; 15/13; 19/16; 11/10; ; 6/5; 23/20; 6/5; ; ; 21/20; 6/5
Draw; 2; 2; 21/10; ; 117/50; ; ; ; 19/10; 21/10; 2; ; ; ; 21/10; ; 39/19; 21/10; 39/19; 19/10; ; 21/10; 11/5; 39/19; ; ; 2; 9/4
Alcorcon; 11/4; 12/5; 12/5; ; 133/50; ; ; ; 27/10; 12/5; 5/2; ; ; ; 12/5; ; 5/2; 13/5; 28/13; 27/10; ; 13/5; 12/5; 5/2; ; ; 23/10; 13/5
META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-05 22:22:57 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
FC Barcelona B; 23/20; 6/5; 5/4; 23/20; 133/100; ; ; ; 11/10; 5/4; 23/20; ; ; ; 5/4; ; 15/13; 15/13; 16/13; 11/10; 6/5; 13/10; 5/4; 6/5; ; 8/11; 6/5; 13/10
Draw; 2; 2; 2; 21/10; 57/25; ; ; ; 11/5; 2; 21/10; ; ; ; 21/10; ; 39/19; 21/10; 39/19; 11/5; 2; 85/40; 21/10; 39/19; ; 7/5; 19/10; 9/4
Alcorcon; 11/4; 23/10; 11/5; 23/10; 61/25; ; ; ; 28/11; 11/5; 12/5; ; ; ; 23/10; ; 5/2; 13/5; 39/19; 5/2; 11/5; 12/5; 23/10; 5/2; ; 11/8; 21/10; 12/5
META; spain/la-liga-segunda/fc-barcelona-b-v-alcorcon; 2018-02-06 02:22:47 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
FC Barcelona B; 5/4; 6/5; 5/4; 23/20; 133/100; ; ; ; 11/10; 5/4; 6/5; ; ; ; 5/4; 5/4; 15/13; 15/13; 16/13; 11/10; 6/5; 13/10; 5/4; 6/5; ; 6/5; 6/5; 13/10
Draw; 2; 21/10; 2; 21/10; 57/25; ; ; ; 11/5; 2; 21/10; ; ; ; 21/10; 2; 39/19; 21/10; 39/19; 11/5; 2; 85/40; 21/10; 39/19; ; 2; 19/10; 9/4
