META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-05 10:24:09 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Rayo Vallecano; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-05 14:25:25 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Rayo Vallecano; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-05 18:24:28 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Rayo Vallecano; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-05 22:21:12 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Cordoba; 1/50
Draw; 1/50
Rayo Vallecano; 1/50
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-06 02:21:28 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/33
Rayo Vallecano; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-06 10:21:38 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/33
Rayo Vallecano; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-06 14:21:50 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/33
Rayo Vallecano; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-06 18:20:29 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/33
Rayo Vallecano; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-06 22:19:02 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/33
Rayo Vallecano; 1/33
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-07 02:19:22 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Cordoba; 1/25
Rayo Vallecano; 1/25
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-07 10:19:58 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 9/10
Draw; 1/100; 5/2
Cordoba; 1/25; 13/5
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-07 14:20:08 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 9/10
Draw; 1/100; 5/2
Cordoba; 1/25; 13/5
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-07 18:20:34 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 9/10
Draw; 1/100; 5/2
Cordoba; 1/25; 13/5
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-07 22:20:33 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 9/10
Draw; 1/100; 5/2
Cordoba; 1/25; 13/5
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-08 02:20:20 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 4/7
Draw; 1/100; 3
Cordoba; 1/25; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-08 10:20:23 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 4/7
Draw; 1/100; 3
Cordoba; 1/25; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-08 14:20:39 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 4/7
Draw; 1/100; 3
Cordoba; 1/25; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-08 18:20:33 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 4/7
Draw; 1/100; 3
Cordoba; 1/25; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-08 22:20:34 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/25; 4/7
Draw; 1/100; 3
Cordoba; 1/25; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-09 02:20:12 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/33; 4/7
Draw; 1/100; 3
Cordoba; 1/33; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-09 10:20:23 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 1/33; 4/7
Draw; 1/100; 3
Cordoba; 1/33; 3
META; spain/la-liga-segunda/rayo-vallecano-v-cordoba; 2018-05-09 14:20:37 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Rayo Vallecano; 8/15; 29/50; 1/33; 4/7
Draw; 13/5; 3; 9/10; 14/5
Cordoba; 11/2; 6; 10/11; 29/5
