META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-19 18:26:59 GMT+3; 2017-09-23 19:00; Nothing; Xlenovo
Gijon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; ; ; ; ; 
Lorca; ; ; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-19 22:26:17 GMT+3; 2017-09-23 19:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; ; 4/6; 4/6; ; 4/6; ; ; 4/6; ; ; 11/17; ; 9/13; ; ; 8/13; 13/20; ; 4/7; 4/7; 
Draw; 12/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; ; 13/5; 5/2; ; ; 28/11; 137/50; 27/11; 40/17; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 15/4; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; ; 17/4; 9/2; ; ; 47/10; 5; 39/11; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-21 14:28:15 GMT+3; 2017-09-23 19:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; ; 4/6; 8/13; ; ; 11/17; 69/100; 9/13; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; ; 13/5; 5/2; ; ; 28/11; 137/50; 27/11; 40/17; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 15/4; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; ; 17/4; 9/2; ; ; 47/10; 5; 39/11; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-21 18:28:09 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; ; 4/6; 8/13; ; ; 11/17; 69/100; 9/13; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; ; 13/5; 5/2; ; 12/5; 28/11; 137/50; 27/11; 12/5; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 15/4; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; ; 17/4; 9/2; ; ; 47/10; 5; 39/11; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-21 22:28:35 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6; ; ; 11/17; 69/100; 9/13; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; ; 12/5; 28/11; 137/50; 27/11; 12/5; 12/5; 12/5; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 15/4; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; 9/2; 17/4; 9/2; ; ; 47/10; 5; 39/11; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-22 02:28:10 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6; ; ; 11/17; 69/100; 19/29; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; ; 12/5; 28/11; 137/50; 5/2; 12/5; 12/5; 12/5; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 15/4; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; 9/2; 17/4; 9/2; ; ; 47/10; 5; 37/10; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-22 10:28:12 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6; ; ; 11/17; 69/100; 19/29; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 27/10; 12/5; 28/11; 137/50; 5/2; 12/5; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 7/2; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; 9/2; 17/4; 9/2; ; ; 47/10; 5; 37/10; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-22 14:30:15 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6; ; ; 11/17; 69/100; 19/29; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 27/10; 12/5; 28/11; 137/50; 5/2; 12/5; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 7/2; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; 9/2; 17/4; 9/2; ; ; 47/10; 5; 37/10; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-22 18:28:50 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 4/6; ; ; 11/17; 69/100; 19/29; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 27/10; 12/5; 28/11; 137/50; 5/2; 12/5; 12/5; 12/5; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 7/2; 19/4; 4; 19/4; 21/5; 21/5; 4; 4; 9/2; 17/4; 9/2; ; ; 47/10; 5; 37/10; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 24/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-22 22:28:49 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
Gijon; 13/20; 8/13; 4/6; 7/10; 4/6; 13/20; 4/6; 4/7; 11/17; 4/6; 4/6; 4/6; 4/6; 8/13; 4/6; 8/13; ; ; 11/17; 4/6; 9/13; 11/17; 8/13; 8/13; 13/20; ; 4/7; 4/7; 4/6
Draw; 12/5; 5/2; 49/20; 12/5; 13/5; 5/2; 13/5; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/10; 12/5; 28/11; 11/4; 5/2; 12/5; 12/5; 5/2; 13/5; ; 23/10; 12/5; 27/10
Lorca; 5; 9/2; 17/4; 4; 9/2; 7/2; 19/4; 4; 19/4; 17/4; 17/4; 4; 4; 9/2; 17/4; 9/2; ; ; 63/13; 53/10; 7/2; 19/4; 4; 9/2; 9/2; ; 21/5; 21/5; 26/5
META; spain/la-liga-segunda/gijon-v-lorca; 2017-09-23 02:28:09 GMT+3; 2017-09-23 17:00; Nothing; Xlenovo
