META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-21 22:23:54 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leonesa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-22 02:23:48 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Leonesa; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Sevilla B; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-22 10:24:17 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; ; ; ; ; 27/25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Draw; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
Sevilla B; ; ; ; ; 33/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-22 14:24:26 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 23/20; 23/20; 6/5; ; 63/50; ; ; ; ; 6/5; 6/5; 6/5; ; ; 6/5; ; 6/5; 6/5; 6/5; 19/16; ; ; ; 6/5; 6/5; 1/4; ; 
Draw; 23/10; 85/40; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; 11/5; 23/10; ; ; ; 11/5; 9/4; 8/15; ; 
Sevilla B; 12/5; 9/4; 11/5; ; 27/10; ; ; ; ; 11/5; 23/10; 9/4; ; ; 23/10; ; 9/4; 40/17; 9/4; 31/16; ; ; ; 47/20; 23/10; 27/20; ; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-22 18:24:27 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 11/10; 11/10; 15/13; 23/20; 63/50; ; ; ; 21/20; 23/20; 11/10; 6/5; 6/5; ; 6/5; ; 6/5; 11/10; 6/5; 19/16; 21/20; 11/10; ; 23/20; 15/13; 10/11; 10/9; 
Draw; 23/10; 85/40; 21/10; 11/5; 11/5; ; ; ; 28/13; 21/10; 11/5; 21/10; 9/4; ; 11/5; ; 11/5; 28/13; 11/5; 23/10; 28/13; 2; ; 11/5; 28/13; 15/8; 2; 
Sevilla B; 5/2; 12/5; 23/10; 11/5; 27/10; ; ; ; 27/10; 23/10; 12/5; 23/10; 11/5; ; 23/10; ; 9/4; 5/2; 9/4; 31/16; 45/17; 23/10; ; 49/20; 5/2; 15/8; 21/10; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-22 22:24:23 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 11/10; 11/10; 15/13; 23/20; 121/ 100; ; ; ; 21/20; 23/20; 11/10; 6/5; 6/5; ; 6/5; ; 6/5; 11/10; 6/5; 19/16; 21/20; 11/10; ; 23/20; 11/10; 8/11; 10/9; 
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; ; ; ; 28/13; 21/10; 11/5; 21/10; 9/4; ; 11/5; ; 11/5; 28/13; 11/5; 23/10; 28/13; 2; ; 11/5; 11/5; 13/10; 2; 
Sevilla B; 5/2; 23/10; 23/10; 11/5; 68/25; ; ; ; 27/10; 23/10; 12/5; 23/10; 11/5; ; 23/10; ; 9/4; 5/2; 9/4; 31/16; 45/17; 23/10; ; 49/20; 5/2; 1/4; 21/10; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-23 02:24:13 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 11/10; 11/10; 15/13; 23/20; 121/ 100; ; ; ; 21/20; 23/20; 11/10; 6/5; 6/5; ; 6/5; ; 6/5; 11/10; 6/5; 19/16; 21/20; 11/10; ; 23/20; 11/10; 8/11; 10/9; 
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; ; ; ; 28/13; 21/10; 11/5; 21/10; 9/4; ; 11/5; ; 11/5; 28/13; 11/5; 23/10; 28/13; 2; ; 11/5; 11/5; 13/10; 2; 
Sevilla B; 5/2; 23/10; 23/10; 11/5; 68/25; ; ; ; 27/10; 23/10; 12/5; 23/10; 11/5; ; 23/10; ; 9/4; 5/2; 9/4; 31/16; 45/17; 23/10; ; 49/20; 5/2; 1/4; 21/10; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-23 10:24:20 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 11/10; 11/10; 15/13; 23/20; 121/ 100; ; ; ; 21/20; 23/20; 11/10; 6/5; 23/20; ; 6/5; ; 6/5; 11/10; 6/5; 22/19; 21/20; 11/10; ; 23/20; 11/10; 8/11; 10/9; 
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; ; ; ; 28/13; 21/10; 11/5; 21/10; 9/4; ; 11/5; ; 11/5; 28/13; 11/5; 23/10; 28/13; 2; ; 11/5; 11/5; 13/10; 2; 
Sevilla B; 5/2; 23/10; 23/10; 11/5; 68/25; ; ; ; 27/10; 23/10; 12/5; 23/10; 11/5; ; 23/10; ; 9/4; 5/2; 9/4; 37/19; 45/17; 23/10; ; 49/20; 5/2; 1/4; 21/10; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-23 14:24:22 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 11/10; 11/10; 15/13; 23/20; 121/ 100; ; ; ; 21/20; 23/20; 11/10; 6/5; 23/20; ; 6/5; ; 6/5; 11/10; 6/5; 22/19; 21/20; 11/10; ; 23/20; 11/10; 8/11; 10/9; 
Draw; 23/10; 11/5; 21/10; 11/5; 57/25; ; ; ; 28/13; 21/10; 11/5; 21/10; 9/4; ; 11/5; ; 11/5; 28/13; 11/5; 23/10; 28/13; 2; ; 11/5; 11/5; 19/10; 2; 
Sevilla B; 5/2; 23/10; 23/10; 11/5; 68/25; ; ; ; 27/10; 23/10; 5/2; 23/10; 11/5; ; 23/10; ; 9/4; 5/2; 9/4; 37/19; 45/17; 23/10; ; 49/20; 5/2; 11/5; 21/10; 
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-23 18:24:50 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 1; 1; 23/20; 26/25; ; ; ; 21/20; 1; 1; 1; 21/20; ; 1; 1; 21/20; 21/20; 21/20; 28/29; 21/20; 10/11; ; 1; 1; 4/6; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; ; ; ; 28/13; 11/5; 11/5; 23/10; 9/4; ; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 28/13; 85/40; ; 9/4; 9/4; 19/10; 21/10; 23/10
Sevilla B; 14/5; 13/5; 13/5; 11/5; 13/4; ; ; ; 27/10; 13/5; 11/4; 13/5; 13/5; ; 3; 13/5; 13/5; 13/5; 13/5; 27/11; 45/17; 11/4; ; 29/10; 29/10; 23/10; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-23 22:24:44 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; ; ; ; 21/20; 1; 1; 1; 1; ; 1; 1; 21/20; 1; 21/20; 28/29; 21/20; 10/11; ; 1; 1; ; 8/11; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; ; ; ; 28/13; 11/5; 11/5; 23/10; 23/10; ; 21/10; 9/4; 9/4; 11/5; 9/4; 23/10; 28/13; 85/40; ; 9/4; 9/4; ; 19/10; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; ; ; ; 27/10; 27/10; 11/4; 13/5; 13/5; ; 3; 13/5; 13/5; 37/13; 13/5; 27/11; 45/17; 11/4; ; 29/10; 29/10; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-24 02:24:20 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; ; ; ; 21/20; 1; 1; 1; 1; ; 1; 1; 21/20; 1; 21/20; 28/29; 21/20; 10/11; ; 1; 1; ; 8/13; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; ; ; ; 28/13; 11/5; 11/5; 23/10; 23/10; ; 21/10; 9/4; 9/4; 11/5; 9/4; 23/10; 28/13; 85/40; ; 9/4; 9/4; ; 19/10; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; ; ; ; 27/10; 27/10; 11/4; 13/5; 13/5; ; 3; 13/5; 13/5; 37/13; 13/5; 27/11; 45/17; 11/4; ; 29/10; 29/10; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-24 10:24:17 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; ; ; 10/11; 21/20; 1; 1; 1; 1; ; 1; 1; 21/20; 1; 21/20; 28/29; 21/20; 10/11; ; 1; 1; ; 4/6; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; ; ; 21/10; 28/13; 11/5; 11/5; 23/10; 23/10; ; 21/10; 9/4; 9/4; 11/5; 9/4; 23/10; 28/13; 85/40; ; 9/4; 9/4; ; 7/5; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; ; ; 13/5; 27/10; 27/10; 11/4; 13/5; 13/5; ; 3; 13/5; 13/5; 37/13; 13/5; 27/11; 45/17; 11/4; ; 29/10; 29/10; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-24 14:24:24 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; ; 1; 10/11; 21/20; 1; 1; 1; 1; ; 1; 1; 21/20; 1; 21/20; 39/40; 21/20; 10/11; ; 1; 1; ; 4/6; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; ; 2; 21/10; 28/13; 11/5; 11/5; 23/10; 23/10; ; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 28/13; 85/40; ; 9/4; 9/4; ; 6/4; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; ; 11/4; 13/5; 27/10; 27/10; 11/4; 13/5; 13/5; ; 3; 13/5; 13/5; 29/10; 13/5; 27/11; 45/17; 11/4; ; 29/10; 56/19; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-24 18:24:21 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; 19/20; 10/11; 10/11; 19/20; 1; 20/21; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 39/40; 19/20; 10/11; ; 1; 1; ; 5/6; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; 11/5; 9/4; 21/10; 23/10; 11/5; 11/5; 23/10; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 85/40; ; 9/4; 23/10; ; 19/10; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; 11/4; 11/4; 13/5; 56/19; 27/10; 3; 13/5; 13/5; 27/10; 3; 13/5; 13/5; 56/19; 13/5; 27/11; 29/10; 11/4; ; 29/10; 56/19; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-24 22:24:11 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 19/20; 19/20; 1; 23/20; 26/25; 19/20; 10/11; 10/11; 19/20; 1; 20/21; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 39/40; 19/20; 10/11; ; 1; 1; ; 10/11; 20/21; 1
Draw; 12/5; 11/5; 11/5; 11/5; 117/ 50; 11/5; 9/4; 21/10; 23/10; 11/5; 11/5; 23/10; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 85/40; ; 9/4; 23/10; ; 19/10; 21/10; 23/10
Sevilla B; 14/5; 11/4; 27/10; 11/5; 13/4; 11/4; 11/4; 13/5; 56/19; 27/10; 3; 13/5; 13/5; 13/5; 3; 13/5; 13/5; 56/19; 13/5; 27/11; 29/10; 11/4; ; 29/10; 56/19; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-25 02:23:59 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 1; 19/20; 1; 23/20; 26/25; 19/20; 10/11; 10/11; 19/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 39/40; 19/20; 10/11; ; 1; 1; ; 5/6; 20/21; 1
Draw; 12/5; 9/4; 11/5; 11/5; 117/ 50; 11/5; 9/4; 21/10; 23/10; 11/5; 9/4; 23/10; 23/10; 11/5; 21/10; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 85/40; ; 9/4; 23/10; ; 19/10; 21/10; 23/10
Sevilla B; 11/4; 11/4; 27/10; 11/5; 13/4; 11/4; 11/4; 13/5; 56/19; 27/10; 11/4; 13/5; 13/5; 27/10; 3; 13/5; 13/5; 29/10; 13/5; 27/11; 29/10; 11/4; ; 29/10; 56/19; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-25 10:23:55 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 1; 19/20; 1; 1; 26/25; 19/20; 10/11; 10/11; 19/20; 1; 1; 1; 1; 1; 1; 1; 21/20; 1; 21/20; 39/40; 19/20; 10/11; ; 1; 1; ; 10/11; 20/21; 1
Draw; 12/5; 9/4; 11/5; 11/5; 117/ 50; 11/5; 9/4; 21/10; 23/10; 11/5; 11/5; 21/10; 23/10; 11/5; 21/10; 11/5; 9/4; 9/4; 9/4; 23/10; 23/10; 85/40; ; 9/4; 23/10; ; 19/10; 21/10; 23/10
Sevilla B; 11/4; 11/4; 27/10; 13/5; 13/4; 11/4; 11/4; 13/5; 56/19; 27/10; 11/4; 14/5; 13/5; 27/10; 3; 14/5; 13/5; 29/10; 13/5; 27/11; 29/10; 11/4; ; 29/10; 56/19; ; 5/2; 23/10; 3
META; spain/la-liga-segunda/leonesa-v-sevilla-b; 2018-01-25 14:24:14 GMT+2; 2018-01-28 11:00; Nothing; Xlenovo
Leonesa; 1; 19/20; 1; 1; 103/ 100; 19/20; 10/11; 10/11; 19/20; 1; 1; 20/21; 1; 1; 1; 1; 21/20; 1; 21/20; 39/40; 19/20; 10/11; ; 1; 1; ; 10/11; 20/21; 1
Draw; 12/5; 9/4; 11/5; 11/5; 121/ 50; 11/5; 9/4; 21/10; 23/10; 11/5; 11/5; 23/10; 23/10; 11/5; 21/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 85/40; ; 9/4; 23/10; ; 19/10; 21/10; 23/10
Sevilla B; 11/4; 11/4; 13/5; 13/5; 63/20; 11/4; 11/4; 13/5; 56/19; 13/5; 11/4; 11/4; 13/5; 13/5; 3; 11/4; 13/5; 37/13; 13/5; 27/11; 29/10; 11/4; ; 29/10; 29/10; ; 5/2; 23/10; 3
