META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-02 17:47:49 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Numancia; 11/10; 21/20; 21/20; 21/20; 117/100; 1; 11/10; 1; 15/13; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 15/13; 21/20; 11/10; 21/20; 1; 10/9
Draw; 11/5; 21/10; 21/10; 21/10; 43/20; 11/5; 2; 21/10; 28/13; 21/10; 21/10; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 21/10; 28/13; 21/10; 9/4; 9/4; 2; 11/5; 9/4
Zaragoza; 13/5; 13/5; 27/10; 13/5; 61/20; 13/5; 5/2; 13/5; 5/2; 27/10; 13/5; 13/5; 5/2; 27/10; 13/5; 13/5; 45/17; 3; 40/17; 27/11; 29/10; 27/10; 14/5; 13/5; 14/5
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-02 22:25:12 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Numancia; 11/10; 21/20; 21/20; 21/20; 117/00; 1; 10/11; 15/13; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 15/13; 11/10; 1; 10/9; ; ; 
Draw; 11/5; 21/10; 21/10; 21/10; 109/0; 11/5; 9/4; 21/10; 28/13; 21/10; 11/5; 11/5; 9/4; 43/20; 11/5; 21/10; 9/4; 21/10; 28/13; 21/10; 23/10; 9/4; 2; 23/10; 23/10
Zaragoza; 13/5; 13/5; 13/5; 13/5; 3; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 13/5; 3; 40/17; 27/11; 29/10; 45/17; 14/5; 13/5; 14/5; 
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-03 02:24:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Numancia; 21/20; 21/20; 21/20; 21/20; 117/00; 1; 10/11; 15/13; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 13/12; 15/13; 11/10; 11/10; 1; 10/9; ; ; 
Draw; 9/4; 21/10; 21/10; 21/10; 109/0; 11/5; 9/4; 21/10; 28/13; 21/10; 11/5; 21/10; 9/4; 43/20; 11/5; 21/10; 9/4; 21/10; 28/13; 21/10; 23/10; 23/10; 9/4; 21/10; 23/10; 23/10
Zaragoza; 11/4; 13/5; 13/5; 13/5; 3; 13/5; 5/2; 13/5; 5/2; 13/5; 14/5; 12/5; 13/5; 11/4; 13/5; 45/17; 3; 23/10; 27/11; 29/10; 27/10; 45/17; 14/5; 13/5; 14/5; 
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-03 10:25:16 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Numancia; 21/20; 21/20; 11/10; 21/20; 6/5; 1; 11/10; 10/11; 15/13; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 12/11; 15/13; 11/10; 11/10; 11/10; 21/20; 10/9
Draw; 9/4; 21/10; 21/10; 21/10; 54/25; 11/5; 2; 21/10; 28/13; 21/10; 11/5; 21/10; 9/4; 21/10; 11/5; 21/10; 9/4; 21/10; 9/4; 21/10; 23/10; 9/4; 21/10; 23/10; 9/4
Zaragoza; 11/4; 13/5; 5/2; 13/5; 73/25; 13/5; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 11/4; 13/5; 13/5; 3; 12/5; 27/11; 27/10; 13/5; 14/5; 11/4; 14/5; 
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-03 14:23:52 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Numancia; 11/10; 21/20; 11/10; 21/20; 129/00; 21/20; 11/10; 1; 15/13; 23/20; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 11/10; 15/13; 8/7; 15/13; 23/20; 23/20; 11/10; 23/20; 6/5; 23/20
Draw; 21/10; 21/10; 21/10; 103/0; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 9/4; 21/10; 11/5; 21/10; 23/10; 2; 9/4; 21/10; 9/4; 23/10; 23/10; 21/10; 23/10; 11/5; ; 
Zaragoza; 11/4; 13/5; 5/2; 13/5; 141/0; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 23/10; 12/5; 11/4; 13/5; 5/2; 14/5; 9/4; 27/11; 13/5; 13/5; 28/11; 27/10; 11/4; 14/5
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-03-03 18:23:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Draw; 1; 11/10; 19/20; 131/00; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 13/10; 1; 8/7; 1; 13/10; 21/20; 21/20; 
Numancia; 7/4; 2; 15/8; 17/10; 9/5; 2; 15/8; 8/5; 17/10; 7/4; 15/8; 7/4; 17/10; 2; 35/19; 39/20; 7/4; 19/10; 19/10
Zaragoza; 15/4; 7/2; 14/5; 3; 72/25; 3; 29/10; 14/5; 16/5; 14/5; 5/2; 27/10; 14/5; 37/13; 7/2; 11/4; 7/2; 10/3; 
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-06-04 02:15:04 GMT+3; 2018-06-06 19:30; Nothing; Xlenovo
Numancia; 11/8; 13/10; 29/20; 5/4; 11/8; 13/10; 11/8; 13/10; 13/10; 7/5; 7/5; 11/8; 7/5; 1/50; 7/5
Draw; 2; 21/10; 2; 2; 21/10; 11/5; 19/10; 39/19; 2; 21/10; 21/10; 1/50; 2; ; 
Zaragoza; 11/5; 21/10; 119/0; 9/4; 21/10; 21/10; 2; 21/10; 2; 21/10; 21/10; 9/4; 28/13; 1/50; 23/10
META; spain/la-liga-segunda/numancia-v-zaragoza; 2018-06-04 10:15:02 GMT+3; 2018-06-06 19:30; Nothing; Xlenovo
Numancia; 11/8; 13/10; 29/20; 5/4; 11/8; 13/10; 11/8; 13/10; 13/10; 7/5; 7/5; 17/13; 11/8; 7/5; 27/20; 7/5
Draw; 2; 2; 15/8; 19/10; 19/10; 21/10; 11/5; 9/5; 37/19; 2; 28/13; 21/10; 2; 9/5; 19/10; 
Zaragoza; 11/5; 21/10; 63/25; 9/4; 11/5; 9/4; 2; 21/10; 21/10; 9/4; 21/10; 15/8; 9/4; 9/4; 21/10; 12/5
