META; spain/la-liga-segunda/lorca-v-reus-deportiu; 2017-09-13 22:25:05 GMT+3; 2017-09-16 17:00; Nothing; Xlenovo
Lorca; 11/8; 11/8; 11/8; ; 7/5; ; ; 13/10; 16/11; ; ; ; ; ; ; 7/5; 7/5; ; 16/11; ; ; ; 7/5; ; 11/8; ; ; 13/10; 
Draw; 2; 2; 39/20; ; 2; ; ; 15/8; 19/10; ; ; ; ; ; ; 19/10; 21/10; ; 2; ; ; ; 2; ; 2; ; ; 2; 
Reus Deportiu; 9/4; 2; 21/10; ; 11/5; ; ; 2; 9/4; ; ; ; ; ; ; 21/10; 37/19; ; 21/10; ; ; ; 2; ; 2; ; ; 9/5; 
META; spain/la-liga-segunda/lorca-v-reus-deportiu; 2017-09-14 02:24:39 GMT+3; 2017-09-16 17:00; Nothing; Xlenovo
Lorca; 11/8; 11/8; 11/8; 5/4; 7/5; 27/20; 7/5; 13/10; 16/11; 26/19; 11/8; 11/8; 11/8; ; 7/5; 7/5; 7/5; 10/7; 16/11; 153/100; ; 10/7; 7/5; ; 11/8; ; ; 13/10; 
Draw; 2; 19/10; 39/20; 2; 2; 2; 21/10; 15/8; 19/10; 19/10; 19/10; 19/10; 2; ; 2; 19/10; 21/10; 24/13; 2; 41/20; ; 24/13; 2; ; 15/8; ; ; 2; 
Reus Deportiu; 9/4; 21/10; 21/10; 23/10; 11/5; 37/20; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 11/5; ; 21/10; 28/13; 37/19; 11/5; 21/10; 23/10; ; 11/5; 2; ; 2; ; ; 19/10; 
META; spain/la-liga-segunda/lorca-v-reus-deportiu; 2017-09-14 10:24:57 GMT+3; 2017-09-16 17:00; Nothing; Xlenovo
Lorca; 11/8; 11/8; 11/8; 5/4; 7/5; 27/20; 7/5; 13/10; 16/11; 23/17; 27/20; 11/8; 11/8; ; 7/5; 11/8; 7/5; 10/7; 23/17; 141/100; ; 10/7; 11/8; ; 11/8; ; ; 13/10; 
Draw; 2; 19/10; 39/20; 2; 2; 2; 21/10; 15/8; 19/10; 19/10; 19/10; 15/8; 2; ; 2; 19/10; 21/10; 24/13; 39/19; 11/5; ; 24/13; 2; ; 2; ; ; 2; 
Reus Deportiu; 9/4; 21/10; 21/10; 23/10; 11/5; 37/20; 11/5; 2; 9/4; 21/10; 21/10; 9/4; 11/5; ; 21/10; 28/13; 37/19; 11/5; 11/5; 47/20; ; 11/5; 2; ; 2; ; ; 19/10; 
META; spain/la-liga-segunda/lorca-v-reus-deportiu; 2017-09-14 14:25:09 GMT+3; 2017-09-16 17:00; Nothing; Xlenovo
Lorca; 13/10; 11/8; 11/8; 11/8; 7/5; 27/20; 7/5; 13/10; 16/11; 23/17; 27/20; 7/5; 11/8; 11/8; 7/5; 11/8; 7/5; 10/7; 23/17; 38/25; 13/10; 10/7; 11/8; ; 11/8; ; ; 27/20; 6/4
Draw; 2; 19/10; 39/20; 2; 2; 2; 2; 15/8; 19/10; 19/10; 19/10; 19/10; 2; 2; 2; 2; 21/10; 24/13; 39/19; 107/50; 28/13; 24/13; 2; ; 15/8; ; ; 19/10; 21/10
Reus Deportiu; 12/5; 21/10; 43/20; 21/10; 11/5; 37/20; 23/10; 2; 9/4; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 37/19; 11/5; 11/5; 111/50; 15/8; 11/5; 21/10; ; 2; ; ; 2; 11/5
META; spain/la-liga-segunda/lorca-v-reus-deportiu; 2017-09-14 18:24:57 GMT+3; 2017-09-16 17:00; Nothing; Xlenovo
