META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-02 22:23:40 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 17/10; 13/8; 31/20; 8/5; 43/25; 17/10; 31/20; 8/5; 8/5; 8/5; 8/5; 13/8; 17/11; 7/4; 31/21; 28/17; 13/8; 8/5; 13/8; 13/8
Rayo Vallecano; 13/8; 13/8; 8/5; 13/8; 44/25; 8/5; 8/5; 8/5; 13/8; 8/5; 33/20; 13/8; 8/5; 8/5; 19/13; 17/11; 17/10; 8/5; 17/10; 17/10
Draw; 11/5; 85/40; 11/5; 11/5; 119/0; 9/4; 11/5; 11/5; 11/5; 11/5; 43/20; 9/4; 11/5; 21/10; 27/11; 9/4; 12/5; 11/5; 23/10; 12/5
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-03 02:23:28 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 17/10; 6/4; 31/20; 8/5; 171/00; 17/10; 31/20; 8/5; 8/5; 8/5; 31/20; 13/8; 8/5; 17/11; 7/4; 31/21; 28/17; 13/8; 8/5; 13/8; 13/8
Rayo Vallecano; 13/8; 13/8; 8/5; 13/8; 7/4; 8/5; 8/5; 8/5; 13/8; 8/5; 13/8; 13/8; 8/5; 8/5; 8/5; 19/13; 17/11; 17/10; 8/5; 17/10; 17/10
Draw; 11/5; 11/5; 9/4; 11/5; 121/0; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; 21/10; 27/11; 9/4; 12/5; 11/5; 12/5; 12/5
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-03 10:23:33 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 17/10; 6/4; 31/20; 8/5; 171/00; 17/10; 31/20; 8/5; 8/5; 8/5; 31/20; 17/10; 8/5; 17/11; 7/4; 31/21; 28/17; 13/8; 8/5; 13/8
Rayo Vallecano; 13/8; 13/8; 8/5; 13/8; 7/4; 8/5; 8/5; 8/5; 13/8; 8/5; 13/8; 17/10; 8/5; 8/5; 8/5; 19/13; 17/11; 17/10; 8/5; 17/10
Draw; 11/5; 11/5; 9/4; 11/5; 121/0; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 11/5; 21/10; 27/11; 9/4; 12/5; 11/5; 12/5
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-03 14:23:52 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 31/20; 8/5; 173/00; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 17/11; 17/10; 31/21; 28/17; 13/8; 8/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 8/5; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 8/5; 8/5; 28/17; 19/13; 17/11; 17/10; 28/17; 17/10; 17/10
Draw; 11/5; 11/5; 11/5; 11/5; 59/25; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 28/13; 21/10; 27/11; 9/4; 23/10; 11/5; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-03 18:23:51 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 31/20; 8/5; 173/00; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 17/11; 17/10; 31/21; 28/17; 13/8; 8/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 8/5; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 8/5; 8/5; 28/17; 19/13; 17/11; 17/10; 28/17; 17/10; 17/10
Draw; 11/5; 11/5; 11/5; 11/5; 59/25; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 28/13; 21/10; 27/11; 9/4; 23/10; 11/5; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-03 22:23:43 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 31/20; 8/5; 173/00; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 8/5; 17/10; 31/21; 28/17; 13/8; 8/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 8/5; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 8/5; 28/17; 28/17; 19/13; 17/11; 17/10; 28/17; 17/10; 17/10
Draw; 11/5; 11/5; 11/5; 11/5; 59/25; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 27/11; 9/4; 23/10; 9/4; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-04 02:23:24 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 31/20; 8/5; 173/00; 6/4; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 8/5; 17/10; 31/21; 28/17; 13/8; 8/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 13/8; 8/5; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 8/5; 28/17; 28/17; 19/13; 17/11; 17/10; 28/17; 17/10; 17/10
Draw; 11/5; 11/5; 11/5; 11/5; 59/25; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 21/10; 27/11; 9/4; 23/10; 9/4; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-04 10:23:25 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 13/8; 31/20; 8/5; 173/00; 6/4; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 8/5; 17/10; 31/21; 28/17; 13/8; 8/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 13/8; 8/5; 8/5; 8/5; 13/8; 13/8; 33/20; 17/10; 8/5; 28/17; 28/17; 19/13; 17/11; 17/10; 28/17; 17/10; 17/10
Draw; 11/5; 85/40; 11/5; 11/5; 59/25; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 11/5; 27/11; 9/4; 23/10; 9/4; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-04 14:23:52 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 31/20; 8/5; 173/00; 6/4; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 8/5; 17/10; 52/35; 28/17; 13/8; 8/5; 1; 13/8; 13/8
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 13/8; 8/5; 8/5; 8/5; 13/8; 17/10; 33/20; 17/10; 8/5; 28/17; 28/17; 19/13; 17/11; 17/10; 28/17; 1; 17/10; 17/10
Draw; 11/5; 11/5; 11/5; 11/5; 59/25; 9/4; 9/4; 11/5; 11/5; 11/5; 2; 11/5; 23/10; 11/5; 11/5; 11/5; 12/5; 9/4; 23/10; 9/4; 6/4; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-04 18:23:59 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 13/8; 31/20; 8/5; 173/00; 6/4; 17/10; 31/20; 8/5; 8/5; 13/8; 31/20; 17/10; 8/5; 8/5; 17/10; 52/35; 28/17; 13/8; 8/5; 1; 7/5; 13/8; 17/10
Rayo Vallecano; 17/10; 13/8; 8/5; 13/8; 44/25; 13/8; 8/5; 8/5; 8/5; 13/8; 17/10; 33/20; 17/10; 8/5; 28/17; 28/17; 19/13; 17/11; 17/10; 28/17; 1; 6/4; 17/10; 17/10
Draw; 11/5; 85/40; 11/5; 11/5; 59/25; 9/4; 9/4; 11/5; 11/5; 11/5; 2; 11/5; 23/10; 11/5; 11/5; 11/5; 12/5; 9/4; 23/10; 9/4; 5/4; 17/10; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-04 22:23:48 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 13/8; 6/4; 8/5; 33/20; 6/4; 17/10; 6/4; 8/5; 31/20; 8/5; 31/20; 17/10; 8/5; 8/5; 17/10; 52/35; 28/17; 13/8; 8/5; 1; 7/5; 8/5; 8/5
Rayo Vallecano; 17/10; 13/8; 33/20; 13/8; 37/20; 13/8; 8/5; 33/20; 13/8; 17/10; 13/8; 33/20; 17/10; 8/5; 17/10; 28/17; 19/13; 17/11; 17/10; 7/4; 1; 6/4; 9/5; 7/4
Draw; 11/5; 85/40; 11/5; 11/5; 59/25; 9/4; 9/4; 11/5; 11/5; 21/10; 21/10; 11/5; 23/10; 21/10; 9/4; 11/5; 12/5; 9/4; 23/10; 9/4; 13/10; 17/10; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-05 02:23:33 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 8/5; 13/8; 6/4; 17/10; 6/4; 6/4; 6/4; 6/4; 31/20; 17/10; 6/4; 17/11; 8/5; 7/5; 28/17; 8/5; 8/5; 21/20; 7/5; 6/4; 6/4
Rayo Vallecano; 17/10; 13/8; 33/20; 13/8; 93/50; 13/8; 8/5; 33/20; 17/10; 7/4; 17/10; 33/20; 17/10; 17/10; 17/10; 9/5; 17/11; 17/11; 7/4; 7/4; 23/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 11/5; 119/0; 9/4; 9/4; 11/5; 11/5; 21/10; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-05 10:23:41 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 8/5; 13/8; 6/4; 17/10; 6/4; 6/4; 31/20; 6/4; 31/20; 17/10; 6/4; 17/11; 8/5; 7/5; 28/17; 8/5; 8/5; 1; 7/5; 6/4; 6/4
Rayo Vallecano; 17/10; 13/8; 33/20; 13/8; 93/50; 13/8; 8/5; 33/20; 17/10; 17/10; 17/10; 33/20; 17/10; 17/10; 17/10; 9/5; 17/11; 17/11; 7/4; 7/4; 21/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 11/5; 119/0; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-05 14:24:52 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 8/5; 13/8; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 7/5; 17/11; 8/5; 17/11; 1; 11/8; 6/4; 6/4
Rayo Vallecano; 17/10; 13/8; 33/20; 13/8; 93/50; 13/8; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 15/8; 17/10; 7/4; 9/5; 17/11; 28/17; 7/4; 7/4; 21/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 11/5; 119/0; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 12/5; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-05 18:24:00 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 159/00; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 7/5; 17/11; 8/5; 17/11; 1; 11/8; 6/4; 6/4; 
Rayo Vallecano; 17/10; 13/8; 33/20; 8/5; 19/10; 13/8; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 15/8; 17/10; 7/4; 9/5; 17/11; 28/17; 7/4; 7/4; 21/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10; 
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-05 22:20:45 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 159/00; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 7/5; 17/11; 8/5; 17/11; 1; 11/8; 6/4; 6/4; 
Rayo Vallecano; 17/10; 13/8; 33/20; 8/5; 19/10; 13/8; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 15/8; 17/10; 7/4; 9/5; 17/11; 28/17; 7/4; 7/4; 21/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10; 
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-06 02:21:01 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 159/00; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 7/5; 17/11; 8/5; 17/11; 1; 11/8; 6/4; 6/4; 
Rayo Vallecano; 17/10; 13/8; 33/20; 8/5; 19/10; 13/8; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 15/8; 17/10; 7/4; 9/5; 17/11; 28/17; 7/4; 7/4; 21/20; 6/4; 9/5; 9/5
Draw; 11/5; 11/5; 11/5; 12/5; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 12/5; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 7/5; 17/10; 23/10; 23/10; 
META; spain/la-liga-segunda/granada-v-rayo-vallecano; 2018-05-06 10:21:12 GMT+3; 2018-05-07 20:00; Nothing; Xlenovo
Granada; 13/8; 6/4; 6/4; 8/5; 31/20; 6/4; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4; 17/11; 8/5; 7/5; 17/11; 8/5; 8/5; 6/4; 11/8; 8/5; 8/5; 
Rayo Vallecano; 17/10; 13/8; 33/20; 8/5; 47/25; 7/4; 13/8; 17/10; 33/20; 17/10; 17/10; 17/10; 17/10; 15/8; 17/10; 17/10; 9/5; 17/11; 28/17; 7/4; 7/4; 13/8; 6/4; 9/5; 7/4
Draw; 11/5; 11/5; 11/5; 12/5; 23/10; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 12/5; 11/5; 9/4; 21/10; 12/5; 9/4; 23/10; 9/4; 21/10; 17/10; 23/10; 23/10; 
