Cadiz; 3/4; 4/5; 4/5; 17/20; 5/6; 5/6; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 43/50; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 62/25; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; 11/5; 12/5
Gimnastic; 17/4; 7/2; 18/5; 7/2; 7/2; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 15/4; 4; 33/10; 37/10; 10/3; 10/3; 7/2; ; 3; 3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-05 18:28:20 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 17/20; 5/6; 5/6; 5/6; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 43/50; 4/5; 4/5; 5/6; 4/5; 4/5; ; 4/5; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 62/25; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; 21/10; 12/5
Gimnastic; 17/4; 7/2; 18/5; 7/2; 7/2; 3; 4; 7/2; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; ; 7/2; 15/4; 4; 33/10; 37/10; 10/3; 10/3; 7/2; ; 3; 3; 4
META; spain/la-liga-segunda/cadiz-v-gimnastic; 2017-09-05 22:27:42 GMT+3; 2017-09-08 20:00; Nothing; Xlenovo
Cadiz; 3/4; 4/5; 4/5; 17/20; 5/6; 5/6; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 17/20; 3/4; 5/6; 4/5; ; 4/5; 4/5; 43/50; 4/5; 4/5; 5/6; 4/5; 4/5; ; 8/11; 4/5; 5/6
Draw; 9/4; 9/4; 11/5; 9/4; 23/10; 11/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 62/25; 11/5; 23/10; 23/10; 11/5; 9/4; ; 21/10; 11/5; 12/5
