META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-30 14:23:42 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; ; 5/4; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; 5/4; ; 5/4; ; ; 6/5; ; ; 13/10; 5/4; ; 11/10; ; 
Draw; ; 2; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; 2; ; 21/10; ; ; 39/19; ; ; 2; 21/10; ; 9/5; ; 
Rayo Vallecano; ; 9/4; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 23/10; ; 40/17; ; ; 23/10; ; ; 23/10; 40/17; ; 2; ; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-30 18:23:33 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; ; 5/4; 13/10; ; 13/10; ; ; ; 6/5; 27/20; 13/10; ; ; 27/20; ; 13/10; ; 13/10; ; ; 6/5; 13/10; 7/5; 7/5; 5/4; ; 6/5; ; 
Draw; ; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; ; 2; ; 2; ; 21/10; ; ; 39/19; 2; 21/10; 21/10; 21/10; ; 9/5; ; 
Rayo Vallecano; ; 11/5; 21/10; ; 13/5; ; ; ; 23/10; 2; 11/5; ; ; 21/10; ; 11/5; ; 9/4; ; ; 23/10; 15/8; 11/5; 2; 40/17; ; 19/10; ; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-30 22:23:37 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 29/20; 29/20; 6/4; ; 67/50; ; ; ; 6/5; 6/4; 7/5; ; ; 6/4; ; 7/5; 16/11; 6/4; 16/11; 7/5; 6/5; 7/5; 31/20; 31/20; 16/11; ; 27/20; 7/5; 
Draw; 2; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; ; 2; ; 2; 2; ; 2; 11/5; 39/19; 2; 11/5; 2; 21/10; ; 9/5; 19/10; 
Rayo Vallecano; 21/10; 19/10; 28/15; ; 5/2; ; ; ; 23/10; 9/5; 2; ; ; 37/20; ; 2; 2; 2; 2; 22/13; 23/10; 9/5; 19/10; 15/8; 39/19; ; 7/4; 13/8; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-31 02:22:37 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 29/20; 29/20; 6/4; ; 38/25; ; ; ; 23/17; 6/4; 7/5; ; ; 6/4; ; 7/5; 16/11; 6/4; 16/11; 16/11; 23/17; 7/5; ; 31/20; ; ; 11/8; 7/5; 
Draw; 2; 2; 2; ; 107/50; ; ; ; 2; 2; 2; ; ; 2; ; 2; 2; ; 2; 21/10; 2; 2; 21/10; 2; 21/10; ; 9/5; 19/10; 
Rayo Vallecano; 21/10; 19/10; 9/5; ; 111/50; ; ; ; 21/10; 9/5; 2; ; ; 37/20; ; 2; 2; 37/19; 2; 17/10; 21/10; 9/5; 2; 15/8; 37/19; ; 7/4; 13/8; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-31 10:22:47 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 6/4; 17/11; ; 79/50; ; ; ; 23/17; 31/20; 6/4; ; ; 31/20; ; 6/4; 16/11; 17/11; 16/11; 16/11; 23/17; 7/5; 13/8; 31/20; 17/11; ; 7/5; 7/5; 
Rayo Vallecano; 19/10; 15/8; 7/4; ; 85/40; ; ; ; 21/10; 7/4; 19/10; ; ; 9/5; ; 19/10; 2; 19/10; 2; 17/10; 21/10; 9/5; 15/8; 15/8; 37/19; ; 7/4; 13/8; 
Draw; 2; 19/10; 2; ; 107/50; ; ; ; 2; 2; 2; ; ; 2; ; 2; 2; ; 2; 21/10; 2; 2; 21/10; 2; 39/19; ; 7/4; 15/8; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-31 14:23:25 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 6/4; 6/4; ; 6/4; ; ; ; 23/17; 6/4; 6/4; ; 6/4; 6/4; ; 6/4; 16/11; 17/11; 16/11; 16/11; 23/17; 7/5; 8/5; 31/20; 17/11; ; 7/5; 7/5; 
Rayo Vallecano; 19/10; 9/5; 9/5; ; 11/5; ; ; ; 21/10; 9/5; 19/10; ; 9/5; 37/20; ; 15/8; 2; 19/10; 2; 17/10; 21/10; 9/5; 19/10; 15/8; 37/19; ; 7/4; 7/4; 
Draw; 2; 2; 2; ; 11/5; ; ; ; 2; 2; 2; ; 21/10; 2; ; 2; 2; 39/19; 2; 21/10; 2; 2; 85/40; 2; 21/10; ; 15/8; 19/10; 
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-31 18:23:56 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 6/4; 6/4; ; 6/4; ; ; ; 17/11; 6/4; 6/4; ; 6/4; 6/4; 6/4; 6/4; 16/11; 17/11; 16/11; 16/11; 6/4; 7/5; 8/5; 31/20; 17/11; ; 6/4; 7/5; 8/5
Rayo Vallecano; 19/10; 9/5; 9/5; ; 11/5; ; ; ; 15/8; 9/5; 15/8; ; 9/5; 37/20; 15/8; 15/8; 2; 19/10; 2; 17/10; 24/13; 9/5; 19/10; 15/8; 19/10; ; 7/4; 7/4; 19/10
Draw; 2; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; 21/10; 2; 21/10; 2; 2; 39/19; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; ; 15/8; 19/10; 11/5
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-01-31 22:23:07 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 6/4; 17/11; ; 157/100; ; ; ; 17/11; 31/20; 8/5; ; 6/4; 31/20; 6/4; 6/4; 16/11; 8/5; 16/11; 16/11; 6/4; 6/4; 13/8; 8/5; 8/5; ; 6/4; 6/4; 13/8
Rayo Vallecano; 19/10; 9/5; 9/5; ; 52/25; ; ; ; 15/8; 9/5; 9/5; ; 9/5; 9/5; 15/8; 9/5; 2; 24/13; 2; 17/10; 24/13; 7/4; 19/10; 37/20; 24/13; ; 7/4; 7/4; 19/10
Draw; 2; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; 21/10; 2; 21/10; 2; 2; 39/19; 2; 21/10; 39/19; 15/8; 21/10; 2; 21/10; ; 15/8; 19/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-01 02:22:30 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 6/4; 17/11; ; 39/25; ; ; ; 17/11; 31/20; 6/4; ; 6/4; 31/20; 6/4; 6/4; 8/5; 16/11; 16/11; 6/4; 6/4; 13/8; 8/5; 8/5; ; 13/8; 6/4; 13/8
Rayo Vallecano; 19/10; 9/5; 9/5; ; 21/10; ; ; ; 15/8; 9/5; 15/8; ; 9/5; 9/5; 15/8; 15/8; 24/13; 2; 17/10; 24/13; 7/4; 19/10; 37/20; 24/13; ; 7/4; 17/10; 19/10
Draw; 2; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; 21/10; 2; 21/10; 2; 39/19; 2; 21/10; 39/19; 15/8; 21/10; 2; 21/10; ; 19/10; 19/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-01 10:22:46 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 39/25; ; ; ; 17/11; 29/20; 6/4; ; 6/4; 6/4; 8/5; 6/4; 17/11; 16/11; 24/17; 6/4; 7/5; 8/5; 6/4; 17/11; ; 6/4; 7/5; 13/8
Rayo Vallecano; 2; 15/8; 28/15; ; 21/10; ; ; ; 15/8; 15/8; 19/10; ; 15/8; 15/8; 19/10; 19/10; 2; 2; 25/14; 24/13; 9/5; 2; 39/20; 2; ; 19/10; 9/5; 21/10
Draw; 2; 2; 2; ; 11/5; ; ; ; 39/19; 2; 2; ; 21/10; 2; 19/10; 2; 2; 2; 39/19; 39/19; 2; 2; 2; 2; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-01 14:23:05 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 39/25; ; ; ; 17/11; 29/20; 6/4; ; 6/4; 6/4; 8/5; 6/4; 17/11; 16/11; 24/17; 6/4; 7/5; 8/5; 6/4; 17/11; ; 6/4; 7/5; 13/8
Draw; 2; 2; 2; ; 21/10; ; ; ; 39/19; 2; 2; ; 2; 2; 19/10; 2; 2; 2; 39/19; 39/19; 15/8; 2; 2; 2; ; 19/10; 19/10; 2
Rayo Vallecano; 2; 15/8; 28/15; ; 11/5; ; ; ; 15/8; 15/8; 19/10; ; 15/8; 15/8; 19/10; 19/10; 2; 2; 25/14; 24/13; 9/5; 2; 39/20; 2; ; 19/10; 9/5; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-01 18:22:21 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 163/100; ; ; ; 17/11; 29/20; 6/4; ; 6/4; 6/4; 8/5; 6/4; 17/11; 16/11; 24/17; 6/4; 7/5; 8/5; 6/4; 17/11; ; 13/8; 6/4; 13/8
Draw; 2; 2; 2; ; 51/25; ; ; ; 39/19; 2; 2; ; 21/10; 2; 19/10; 2; 2; 2; 39/19; 39/19; 15/8; 2; 2; 2; ; 19/10; 19/10; 2
Rayo Vallecano; 2; 15/8; 28/15; ; 54/25; ; ; ; 15/8; 15/8; 19/10; ; 15/8; 37/20; 19/10; 19/10; 2; 2; 25/14; 24/13; 9/5; 2; 39/20; 2; ; 19/10; 19/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-01 22:22:17 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 8/5; ; ; ; 17/11; 29/20; 6/4; ; 6/4; 6/4; 8/5; 6/4; 17/11; 16/11; 24/17; 6/4; 7/5; 8/5; 6/4; 17/11; ; 6/4; 6/4; 13/8
Draw; 2; 2; 2; ; 51/25; ; ; ; 39/19; 2; 2; ; 21/10; 2; 19/10; 2; 2; 2; 39/19; 39/19; 15/8; 2; 2; 2; ; 2; 21/10; 2
Rayo Vallecano; 2; 15/8; 28/15; ; 11/5; ; ; ; 15/8; 15/8; 19/10; ; 15/8; 37/20; 19/10; 19/10; 2; 2; 25/14; 24/13; 9/5; 2; 39/20; 2; ; 19/10; 19/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-02 02:22:13 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 161/100; ; ; ; 17/11; 29/20; 6/4; ; 6/4; 6/4; 8/5; 6/4; 17/11; 16/11; 24/17; 6/4; 7/5; 8/5; 6/4; 17/11; ; 8/5; 13/8; 13/8
Draw; 2; 2; 2; ; 51/25; ; ; ; 39/19; 2; 2; ; 21/10; 2; 19/10; 2; 2; 2; 39/19; 39/19; 15/8; 2; 2; 2; ; 2; 2; 2
Rayo Vallecano; 2; 15/8; 28/15; ; 11/5; ; ; ; 15/8; 15/8; 19/10; ; 15/8; 37/20; 19/10; 19/10; 37/19; 2; 25/14; 24/13; 9/5; 2; 39/20; 2; ; 19/10; 19/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-02 10:22:24 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 29/20; 17/11; ; 33/20; ; ; ; 17/11; 31/20; 8/5; ; 8/5; 31/20; 13/8; 6/4; 8/5; 17/11; 17/11; 6/4; 6/4; 13/8; 8/5; 8/5; ; 13/8; 17/10; 13/8
Rayo Vallecano; 19/10; 15/8; 7/4; ; 2; ; ; ; 15/8; 7/4; 9/5; ; 7/4; 7/4; 19/10; 9/5; 24/13; 2; 19/11; 24/13; 7/4; 15/8; 9/5; 24/13; ; 19/10; 19/10; 19/10
Draw; 2; 2; 2; ; 109/50; ; ; ; 39/19; 2; 2; ; 2; 2; 19/10; 2; 39/19; 2; 21/10; 39/19; 2; 21/10; 2; 21/10; ; 2; 2; 11/5
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-02 14:23:18 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 8/5; 29/20; 6/4; ; 161/100; ; ; ; 17/11; 6/4; 6/4; ; 6/4; 31/20; 13/8; 6/4; 8/5; 17/11; 23/15; 6/4; 6/4; 8/5; 8/5; 8/5; ; 13/8; 17/10; 17/10
Rayo Vallecano; 19/10; 15/8; 9/5; ; 41/20; ; ; ; 15/8; 9/5; 15/8; ; 9/5; 9/5; 19/10; 9/5; 24/13; 2; 25/14; 24/13; 7/4; 19/10; 9/5; 24/13; ; 19/10; 19/10; 19/10
Draw; 2; 2; 2; ; 109/50; ; ; ; 39/19; 2; 2; ; 21/10; 2; 19/10; 2; 39/19; 2; 39/19; 39/19; 2; 21/10; 2; 21/10; ; 2; 21/10; 21/10
META; spain/la-liga-segunda/osasuna-v-rayo-vallecano; 2018-02-02 18:29:16 GMT+2; 2018-02-02 20:00; Nothing; Xlenovo
Osasuna; 6/4; 29/20; 16/11; ; 73/50; ; ; ; 6/4; 29/20; 7/5; ; 7/5; 29/20; 7/5; 7/5; ; 17/11; 53/35; 31/21; 7/5; 6/4; 31/20; 16/11; ; 6/4; ; 13/8
