META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-05 10:24:02 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/50
Leonesa; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-05 14:25:18 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/50
Leonesa; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-05 18:24:21 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/50
Leonesa; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-05 22:21:05 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/50
Leonesa; 1/50
Lugo; 1/50
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-06 02:21:21 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/33
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-06 10:21:32 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/33
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-06 14:21:43 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/33
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-06 18:20:22 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/33
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-06 22:18:55 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/33
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-07 02:19:15 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Draw; 1/100
Leonesa; 1/100
Lugo; 1/25
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-07 10:19:51 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-07 14:20:01 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-07 18:20:28 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-07 22:20:27 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-08 02:20:14 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-08 10:20:17 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-08 14:20:32 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-08 18:20:26 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-08 22:20:27 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/25; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-09 02:20:06 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/33; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-09 10:20:17 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 1/100; 20/21
Draw; 1/50; 12/5
Lugo; 1/33; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-09 14:20:30 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 13/10; 13/10; 5/4; 13/10; 13/10; 1/4; 5/4
Draw; 2; 11/5; 2; 2; 4/9; 21/10; 
Lugo; 21/10; 129/0; 9/4; 11/5; 11/5; 20/21; 5/2
META; spain/la-liga-segunda/leonesa-v-lugo; 2018-05-09 18:20:32 GMT+3; 2018-05-13 11:00; Nothing; Xlenovo
Leonesa; 21/20; 23/20; 28/25; 11/10; 1; 21/20; 11/10; 1; 11/10; 11/10; 21/20; 1; 21/20; 4/6; 11/10
Draw; 12/5; 21/10; 61/25; 9/4; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 6/5; 23/10
Lugo; 5/2; 23/10; 14/5; 12/5; 28/11; 12/5; 12/5; 5/2; 12/5; 12/5; 13/5; 13/5; 13/5; 13/10; 27/10
