META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-20 14:26:43 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 10/11; 19/20; 19/20; 1; ; ; ; ; ; 19/20; 1; 20/21; ; ; ; ; ; 19/20; 51/50; ; ; ; 21/20; 19/20; 19/20; ; 2/15; 20/21; 
Draw; 11/5; 21/10; 21/10; 11/5; ; ; ; ; ; 21/10; 11/5; 11/5; ; ; ; ; ; 21/10; 23/10; ; ; ; 11/5; 11/5; 28/13; ; 1/4; 2; 
Numancia; 10/3; 3; 29/10; 14/5; ; ; ; ; ; 29/10; 3; 3; ; ; ; ; ; 31/10; 17/5; ; ; ; 3; 3; 41/13; ; 1/5; 12/5; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-20 18:27:01 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 10/11; 10/11; 19/20; 1; 19/20; ; ; ; 19/20; 19/20; 20/21; 20/21; ; 1; 19/20; ; 1; 10/11; 97/100; 66/67; 15/16; ; 1; 10/11; 10/11; ; 8/13; 5/6; 
Draw; 11/5; 21/10; 21/10; 11/5; 2; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; ; 21/10; 28/13; 23/10; 11/5; 28/13; ; 9/4; 11/5; 28/13; ; 17/10; 21/10; 
Numancia; 10/3; 16/5; 3; 14/5; 14/5; ; ; ; 16/5; 3; 10/3; 3; ; 29/10; 16/5; ; 3; 13/4; 73/20; 5/2; 31/10; ; 31/10; 16/5; 33/10; ; 7/4; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-20 22:26:58 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 10/11; 10/11; 19/20; 1; 19/20; ; ; ; 19/20; 19/20; 20/21; 20/21; ; 1; 19/20; 10/11; 1; 10/11; 97/100; 66/67; 15/16; ; 1; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 11/5; 21/10; 21/10; 11/5; 2; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 21/10; 28/13; 23/10; 11/5; 28/13; ; 9/4; 11/5; 28/13; ; 2; 21/10; 
Numancia; 10/3; 16/5; 3; 14/5; 14/5; ; ; ; 16/5; 3; 10/3; 3; ; 29/10; 16/5; 3; 3; 13/4; 73/20; 5/2; 31/10; ; 31/10; 16/5; 33/10; ; 14/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-21 02:26:39 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 10/11; 10/11; 19/20; 1; 19/20; ; ; ; 19/20; 19/20; 20/21; 20/21; ; 1; 19/20; 10/11; 1; 10/11; 97/100; 66/67; 15/16; ; 1; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 11/5; 21/10; 21/10; 11/5; 2; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 21/10; 28/13; 23/10; 11/5; 28/13; ; 9/4; 11/5; 28/13; ; 2; 21/10; 
Numancia; 10/3; 16/5; 3; 14/5; 14/5; ; ; ; 16/5; 3; 10/3; 3; ; 29/10; 16/5; 3; 3; 13/4; 73/20; 5/2; 31/10; ; 31/10; 16/5; 33/10; ; 14/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-21 10:26:54 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 10/11; 1; 10/11; ; ; ; 19/20; 10/11; 20/21; 20/21; ; 19/20; 19/20; 10/11; 19/20; 19/20; 101/100; 13/14; 15/16; ; 37/40; 10/11; 19/20; ; 9/10; 5/6; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 21/10; 28/13; 113/50; 11/5; 28/13; ; 23/10; 11/5; 28/13; ; 2; 21/10; 
Numancia; 16/5; 3; 3; 14/5; 3; ; ; ; 16/5; 3; 10/3; 3; ; 31/10; 16/5; 3; 13/4; 41/13; 7/2; 27/10; 31/10; ; 10/3; 16/5; 41/13; ; 14/5; 13/5; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-21 14:26:57 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 19/20; 1; 10/11; 10/11; ; ; 19/20; 19/20; 20/21; 20/21; ; 19/20; 19/20; 19/20; 19/20; 19/20; 101/100; 13/14; 15/16; ; 20/21; 10/11; 19/20; ; 9/10; 5/6; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; 11/5; ; ; 11/5; 21/10; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 28/13; 113/50; 11/5; 28/13; ; 23/10; 11/5; 28/13; ; 2; 21/10; 
Numancia; 16/5; 3; 3; 14/5; 3; 3; ; ; 16/5; 3; 10/3; 3; ; 3; 16/5; 3; 13/4; 41/13; 7/2; 27/10; 31/10; ; 33/10; 16/5; 41/13; ; 14/5; 13/5; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-21 18:26:54 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 19/20; 1; 10/11; 10/11; ; ; 19/20; 19/20; 20/21; 20/21; ; 19/20; 19/20; 19/20; 19/20; 19/20; 101/100; 13/14; 15/16; ; 20/21; 10/11; 19/20; ; 9/10; 10/11; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; 11/5; ; ; 11/5; 21/10; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 28/13; 113/50; 11/5; 28/13; ; 23/10; 11/5; 28/13; ; 2; 21/10; 
Numancia; 16/5; 3; 29/10; 14/5; 3; 3; ; ; 16/5; 29/10; 10/3; 3; ; 3; 16/5; 3; 13/4; 31/10; 7/2; 27/10; 31/10; ; 33/10; 16/5; 41/13; ; 14/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-21 22:26:42 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 19/20; 1; 10/11; 10/11; 10/11; ; 19/20; 19/20; 20/21; 20/21; ; 19/20; 19/20; 19/20; 19/20; 19/20; 101/100; 13/14; 15/16; ; 20/21; 10/11; 19/20; ; 9/10; 10/11; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; 11/5; 9/4; ; 11/5; 21/10; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 11/5; 113/50; 11/5; 28/13; ; 23/10; 11/5; 11/5; ; 2; 21/10; 
Numancia; 16/5; 3; 29/10; 14/5; 3; 3; 3; ; 16/5; 29/10; 10/3; 3; ; 3; 16/5; 3; 13/4; 41/13; 7/2; 27/10; 31/10; ; 33/10; 16/5; 16/5; ; 14/5; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-22 02:24:32 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 19/20; 1; 10/11; 10/11; 10/11; ; 19/20; 19/20; 20/21; 20/21; ; 19/20; 19/20; 19/20; 19/20; 19/20; 101/100; 13/14; 15/16; ; 20/21; 10/11; 19/20; ; 9/10; 10/11; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; 11/5; 9/4; ; 11/5; 21/10; 11/5; 11/5; ; 21/10; 21/10; 21/10; 21/10; 11/5; 113/50; 11/5; 28/13; ; 23/10; 11/5; 11/5; ; 2; 21/10; 
Numancia; 16/5; 3; 29/10; 14/5; 3; 3; 3; ; 16/5; 29/10; 10/3; 3; ; 3; 16/5; 3; 13/4; 41/13; 7/2; 27/10; 31/10; ; 33/10; 16/5; 16/5; ; 11/4; 5/2; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-22 10:25:03 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
Oviedo; 19/20; 10/11; 19/20; 1; 10/11; 10/11; 10/11; ; 19/20; 19/20; 20/21; 20/21; ; 19/20; 19/20; 19/20; 19/20; 19/20; 103/100; 13/14; 15/16; ; 19/20; 10/11; 19/20; ; 5/6; ; 
Draw; 11/5; 85/40; 21/10; 11/5; 2; 11/5; 9/4; ; 11/5; 21/10; 9/4; 11/5; ; 21/10; 21/10; 21/10; 21/10; 11/5; 57/25; 11/5; 28/13; ; 23/10; 11/5; 11/5; ; 19/10; ; 
Numancia; 16/5; 3; 29/10; 14/5; 3; 3; 3; ; 16/5; 29/10; 10/3; 3; ; 3; 16/5; 3; 13/4; 41/13; 17/5; 27/10; 31/10; ; 33/10; 16/5; 16/5; ; 11/4; ; 
META; spain/la-liga-segunda/oviedo-v-numancia; 2017-11-22 14:25:09 GMT+2; 2017-11-25 17:00; Nothing; Xlenovo
