META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-09 18:20:49 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 8/5; 6/4; 31/20; 13/8; 
Draw; 9/5; 15/8; 7/4; 7/4; 9/5
Zaragoza; 21/10; 11/5; 11/5; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-09 22:20:40 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 29/20; 29/20; 7/5; 163/00; 17/11; 6/4; 8/5; 16/11; 16/11; 7/5; 17/11; 31/20; 16/11; 5/4; 6/4
Draw; 19/10; 19/10; 2; 48/25; 9/5; 9/5; 7/4; 9/5; 24/13; 39/19; 7/4; 2; 9/5; 17/10; 15/8
Zaragoza; 11/5; 2; 23/10; 11/5; 2; 21/10; 21/10; 11/5; 29/16; 28/13; 21/10; 21/10; 7/4; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-10 02:20:15 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 29/20; 29/20; 7/5; 163/00; 17/11; 6/4; 29/20; 17/10; 7/5; 16/11; 16/11; 7/5; 17/11; 31/20; 16/11; 5/4; 6/4
Draw; 19/10; 15/8; 2; 48/25; 9/5; 9/5; 19/10; 9/5; 15/8; 9/5; 24/13; 39/19; 7/4; 2; 9/5; 17/10; 15/8
Zaragoza; 11/5; 2; 23/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 29/16; 28/13; 21/10; 21/10; 7/4; 9/4; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-10 10:20:19 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 29/20; 29/20; 7/5; 163/00; 17/11; 6/4; 29/20; 17/10; 7/5; 16/11; 16/11; 11/8; 17/11; 6/4; 6/4; 5/4; 6/4
Draw; 19/10; 15/8; 2; 48/25; 9/5; 9/5; 19/10; 9/5; 15/8; 9/5; 24/13; 39/19; 7/4; 2; 9/5; 17/10; 15/8
Zaragoza; 11/5; 2; 23/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 24/13; 28/13; 85/40; 21/10; 7/4; 9/4; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-10 14:20:47 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 7/5; 7/5; 151/00; 17/11; 7/5; 7/5; 11/8; 29/20; 6/4; 7/5; 23/17; 16/11; 4/3; 17/11; 29/20; 7/5; 5/4; 7/5
Draw; 19/10; 15/8; 19/10; 2; 52/25; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 24/13; 39/19; 7/4; 2; 19/10; 17/10; 2
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 2; 11/5; 21/10; 2; 9/4; 21/10; 28/13; 11/5; 23/12; 28/13; 9/4; 28/13; 9/5; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-10 18:20:31 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 151/00; 7/5; 17/11; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 23/17; 16/11; 4/3; 17/11; 8/5; 7/5; 9/10; 5/4; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 52/25; 19/10; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 24/13; 39/19; 7/4; 2; 19/10; 13/10; 17/10; 2; ; 
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 11/5; 23/12; 28/13; 2; 28/13; 5/4; 9/5; 11/5; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-10 22:20:17 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 151/00; 7/5; 17/11; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 4/3; 17/11; 8/5; 7/5; 5/4; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 52/25; 19/10; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 24/13; 39/19; 7/4; 2; 37/19; 7/4; 17/10; 2; ; 
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 11/5; 23/12; 28/13; 2; 11/5; 19/10; 9/5; 11/5; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-11 02:20:12 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 151/00; 7/5; 7/5; 17/11; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 4/3; 17/11; 8/5; 7/5; 5/4; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 52/25; 19/10; 15/8; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 24/13; 39/19; 7/4; 2; 37/19; 7/4; 17/10; 2; ; 
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 2; 11/5; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 11/5; 23/12; 28/13; 2; 11/5; 19/10; 9/5; 11/5; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-11 10:20:13 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 31/20; 7/5; 7/5; 17/11; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 4/3; 17/11; 31/20; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 19/10; 39/19; 7/4; 2; 37/19; 7/4; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 11/5; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 9/4; 23/12; 28/13; 21/10; 28/13; 19/10; 9/5; 21/10; 11/5; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-11 14:21:24 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 31/20; 7/5; 7/5; 17/11; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 4/3; 17/11; 31/20; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 9/5; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 19/10; 39/19; 7/4; 2; 37/19; 7/4; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 11/5; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 9/4; 23/12; 28/13; 21/10; 28/13; 19/10; 9/5; 21/10; 11/5; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-11 18:21:08 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 31/20; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 7/5; 31/21; 31/20; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; 19/10; 19/10; 19/10; 39/19; 24/13; 2; 37/19; 7/4; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 28/13; 2; 21/10; 21/10; 2; 9/4; 21/10; 28/13; 9/4; 29/16; 28/13; 21/10; 28/13; 19/10; 9/5; 21/10; 11/5; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-11 22:20:54 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 31/20; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 7/5; 31/21; 31/20; 7/5; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; 19/10; 37/19; 19/10; 39/19; 24/13; 2; 37/19; 15/8; 7/4; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 28/13; 2; 21/10; 21/10; 2; 9/4; 21/10; 9/4; 9/4; 29/16; 28/13; 21/10; 9/4; 21/10; 19/10; 9/5; 21/10; 11/5; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-12 02:20:49 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 31/20; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 7/5; 31/21; 31/20; 7/5; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; 19/10; 37/19; 19/10; 39/19; 24/13; 2; 37/19; 15/8; 7/4; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 28/13; 2; 21/10; 21/10; 2; 9/4; 21/10; 9/4; 9/4; 29/16; 28/13; 21/10; 9/4; 21/10; 19/10; 9/5; 21/10; 11/5; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-12 10:21:06 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 7/5; 7/5; 31/20; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 11/8; 29/20; 6/4; 7/5; 16/11; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 5/4; 6/5; 7/5; 6/4
Draw; 19/10; 15/8; 19/10; 2; 103/0; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 15/8; 39/20; 2; 19/10; 37/19; 19/10; 45/23; 24/13; 2; 37/19; 15/8; 7/4; 17/10; 19/10; 2
Zaragoza; 12/5; 21/10; 2; 113/0; 11/5; 2; 28/13; 2; 21/10; 21/10; 21/10; 41/20; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 19/10; 15/8; 21/10; 11/5; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-12 14:21:24 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 7/5; 7/5; 151/00; 7/5; 11/8; 6/4; 7/5; 7/5; 11/8; 11/8; 7/5; 6/4; 7/5; 7/5; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 5/4; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 21/10; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 15/8; 39/20; 2; 19/10; 37/19; 19/10; 45/23; 24/13; 2; 15/8; 9/5; 17/10; 2; ; 
Zaragoza; 12/5; 21/10; 2; 57/25; 11/5; 2; 28/13; 2; 21/10; 21/10; 21/10; 41/20; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 19/10; 15/8; 21/10; 11/5; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-12 18:20:37 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 7/5; 7/5; 151/00; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 7/5; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 5/4; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 21/10; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 15/8; 39/20; 2; 19/10; 37/19; 19/10; 45/23; 24/13; 2; 15/8; 9/5; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 57/25; 11/5; 2; 28/13; 2; 21/10; 21/10; 21/10; 2; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 19/10; 9/5; 21/10; 11/5; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-12 22:18:02 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 153/00; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 16/11; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 27/20; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 41/20; 19/10; 15/8; 15/8; 19/10; 15/8; 2; 39/20; 2; 19/10; 37/19; 19/10; 45/23; 24/13; 2; 37/19; 15/8; 9/5; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 2; 28/13; 2; 11/5; 21/10; 2; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 2; 9/5; 21/10; 9/4; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-13 02:17:41 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 153/00; 7/5; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 16/11; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 13/10; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 41/20; 19/10; 15/8; 15/8; 19/10; 15/8; 2; 39/20; 2; 19/10; 37/19; 19/10; 45/23; 24/13; 2; 37/19; 15/8; 9/5; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 23/10; 11/5; 2; 28/13; 2; 11/5; 21/10; 2; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 2; 9/5; 21/10; 9/4; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-13 10:17:39 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 7/5; 7/5; 7/5; 153/00; 29/20; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 29/20; 6/4; 7/5; 16/11; 16/11; 13/9; 31/21; 31/20; 16/11; 7/5; 27/20; 6/5; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 41/20; 19/10; 15/8; 15/8; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 19/10; 45/23; 24/13; 2; 37/19; 15/8; 9/5; 17/10; 19/10; 2; 
Zaragoza; 12/5; 21/10; 2; 23/10; 21/10; 2; 28/13; 2; 21/10; 21/10; 2; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 21/10; 11/5; 21/10; 21/10; 9/5; 21/10; 9/4; ; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-13 14:17:46 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 7/5; 7/5; 31/20; 29/20; 7/5; 6/4; 7/5; 7/5; 11/8; 7/5; 11/8; 6/4; 7/5; 16/11; 16/11; 17/12; 31/21; 6/4; 16/11; 6/4; 27/20; 23/20; 6/4; 6/4
Draw; 19/10; 15/8; 19/10; 2; 101/0; 19/10; 15/8; 15/8; 19/10; 15/8; 2; 39/20; 2; 19/10; 19/10; 19/10; 133/7; 24/13; 2; 37/19; 15/8; 9/5; 17/10; 19/10; 19/10; 
Zaragoza; 12/5; 21/10; 2; 23/10; 21/10; 2; 28/13; 2; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; 11/5; 9/4; 35/19; 28/13; 85/40; 11/5; 21/10; 2; 15/8; 11/5; 9/4; 
META; spain/la-liga-segunda/cadiz-v-zaragoza; 2018-05-13 18:17:58 GMT+3; 2018-05-14 20:00; Nothing; Xlenovo
Cadiz; 11/8; 11/8; 11/8; 7/5; 38/25; 31/20; 7/5; 6/4; 11/8; 7/5; 11/8; 11/8; 11/8; 6/4; 7/5; 7/5; 16/11; 15/11; 31/21; 6/4; 16/11; 7/5; 7/5; 23/20; 7/5; 7/5
Draw; 19/10; 15/8; 19/10; 2; 51/25; 2; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; 19/10; 37/19; 19/10; 2; 24/13; 2; 37/19; 15/8; 9/5; 17/10; 19/10; 19/10; 
