META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-30 14:27:43 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 17/20; 5/6; 10/11; ; 10/11; 17/20; 37/40; 5/6; ; 10/11; 10/11; 10/11; 9/10; ; ; 10/11; 13/15; ; 19/20; 1; 11/12; ; ; ; ; ; 5/6; 10/11; 
Draw; 23/10; 21/10; 2; ; 11/5; 11/5; 85/40; 2; ; 2; 2; 21/10; 2; ; ; 21/10; 23/10; ; 11/5; 2; 2; ; ; ; ; ; 19/10; 2; 
Reus Deportiu; 3; 10/3; 10/3; ; 7/2; 29/10; 15/4; 10/3; ; 10/3; 10/3; 10/3; 15/4; ; ; 10/3; 31/10; ; 3; 21/5; 3; ; ; ; ; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-30 18:27:34 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 17/20; 5/6; 10/11; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; ; 10/11; 13/15; 5/6; 10/11; 101/100; 11/12; 11/13; ; ; ; ; 5/6; 10/11; 
Draw; 23/10; 85/40; 2; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; ; 28/13; 23/10; 23/10; 9/4; 49/20; 2; 23/10; ; ; ; ; 19/10; 2; 
Reus Deportiu; 3; 10/3; 10/3; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; ; 16/5; 31/10; 10/3; 31/10; 16/5; 3; 57/17; ; ; ; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-30 22:27:19 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 17/20; 5/6; 10/11; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 101/100; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 10/11; 
Draw; 23/10; 21/10; 2; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 28/13; 23/10; 23/10; 9/4; 49/20; 2; 23/10; ; 2; 2; ; 19/10; 2; 
Reus Deportiu; 3; 10/3; 10/3; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 31/10; 16/5; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-31 02:26:36 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 17/20; 5/6; 10/11; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 101/100; 11/12; 11/13; ; 5/6; 5/6; ; 5/6; 10/11; 
Draw; 23/10; 21/10; 2; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 28/13; 23/10; 23/10; 9/4; 62/25; 2; 23/10; ; 2; 9/4; ; 19/10; 2; 
Reus Deportiu; 3; 10/3; 17/5; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 16/5; 31/10; 10/3; 31/10; 63/20; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-31 10:26:14 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; ; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 101/100; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 10/11; 
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 28/13; 23/10; 23/10; 11/5; 62/25; 2; 23/10; ; 2; 2; ; 19/10; 2; 
Reus Deportiu; 16/5; 10/3; ; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 41/13; 63/20; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-31 14:26:58 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; ; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 13/15; 99/100; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 10/11; 
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 28/13; 23/10; 23/10; 28/13; 61/25; 2; 23/10; ; 2; 2; ; 19/10; 2; 
Reus Deportiu; 16/5; 10/3; ; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 13/4; 13/4; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 17/5; 33/10; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-31 18:38:32 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 13/15; 1; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 5/6; 20/21
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 28/13; 119/50; 2; 23/10; ; 2; 2; ; 19/10; 2; 11/5
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 17/5; 67/20; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 7/2
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-08-31 22:27:06 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 1; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 5/6; 20/21
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 11/5; 119/50; 2; 23/10; ; 2; 2; ; 19/10; 2; 11/5
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 38/11; 67/20; 3; 57/17; ; 10/3; 10/3; ; 3; 10/3; 7/2
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-09-01 02:26:18 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 1; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 5/6; 20/21
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 11/5; 119/50; 2; 23/10; ; 2; 2; ; 19/10; 2; 11/5
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 7/2; 67/20; 3; 57/17; ; 10/3; 10/3; ; 3; 3; 7/2
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-09-01 10:26:28 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 37/40; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 19/20; 10/11; 13/15; 5/6; 10/11; 1; 11/12; 11/13; ; 5/6; 10/11; ; 5/6; 5/6; 20/21
Draw; 23/10; 21/10; ; 21/10; 11/5; 11/5; 85/40; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 11/5; 119/50; 2; 23/10; ; 2; 2; ; 19/10; 2; 11/5
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 10/3; 10/3; 10/3; 15/4; 10/3; 16/5; 10/3; 31/10; 10/3; 7/2; 67/20; 3; 57/17; ; 10/3; 10/3; ; 10/3; 10/3; 7/2
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-09-01 14:26:49 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 9/10; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 10/11; 10/11; 13/15; 5/6; 10/11; 49/50; 8/9; 11/13; ; 5/6; 10/11; ; 5/6; 5/6; 9/10
Draw; 23/10; 21/10; 2; 21/10; 11/5; 11/5; 11/5; 2; 23/10; 2; 2; 21/10; 2; 21/10; 21/10; 21/10; 23/10; 23/10; 11/5; 111/50; 39/19; 23/10; ; 2; 2; ; 19/10; 2; 2
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 15/4; 10/3; 17/5; 17/5; 17/5; 10/3; 15/4; 10/3; 7/2; 10/3; 31/10; 10/3; 38/11; 15/4; 58/19; 57/17; ; 10/3; 10/3; ; 10/3; 10/3; 10/3
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-09-01 18:27:02 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 9/10; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 10/11; 10/11; 13/15; 5/6; 10/11; 49/50; 8/9; 11/13; ; 5/6; 5/6; ; 5/6; 5/6; 
Draw; 23/10; 85/40; 2; 21/10; 11/5; 11/5; 11/5; 21/10; 23/10; 2; 2; 21/10; 2; 11/5; 21/10; 21/10; 23/10; 23/10; 11/5; 111/50; 39/19; 23/10; ; 2; 9/4; ; 19/10; 2; 
Reus Deportiu; 16/5; 10/3; 7/2; 7/2; 7/2; 29/10; 19/5; 10/3; 17/5; 17/5; 17/5; 10/3; 15/4; 10/3; 7/2; 10/3; 31/10; 10/3; 38/11; 15/4; 58/19; 57/17; ; 10/3; 10/3; ; 10/3; 10/3; 
META; spain/la-liga-segunda/oviedo-v-reus-deportiu; 2017-09-01 22:27:18 GMT+3; 2017-09-03 17:00; Nothing; Xlenovo
Oviedo; 10/11; 5/6; 9/10; 10/11; 10/11; 17/20; 9/10; 5/6; 11/13; 10/11; 10/11; 10/11; 9/10; 17/20; 10/11; 10/11; 13/15; 5/6; 10/11; 20/21; 8/9; 11/13; ; 5/6; 5/6; ; 5/6; 5/6; 20/21
Draw; 23/10; 85/40; 2; 21/10; 11/5; 11/5; 11/5; 21/10; 23/10; 2; 2; 21/10; 2; 11/5; 21/10; 21/10; 23/10; 23/10; 11/5; 56/25; 39/19; 23/10; ; 2; 9/4; ; 2; 21/10; 11/5
