META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-12 10:21:10 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/50; 7/5
Draw; 1/50; 9/5
Tenerife; 1/50; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-12 14:21:27 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/50; 7/5
Draw; 1/50; 9/5
Tenerife; 1/50; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-12 18:20:41 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/50; 7/5
Draw; 1/50; 9/5
Tenerife; 1/50; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-12 22:18:06 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/50; 7/5
Draw; 1/50; 9/5
Tenerife; 1/50; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-13 02:17:45 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-13 10:17:43 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-13 14:17:49 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-13 18:18:02 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-13 22:16:32 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/100; 7/5
Draw; 1/100; 9/5
Tenerife; 1/100; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-14 02:16:17 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-14 10:17:25 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-14 14:17:46 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-14 18:17:46 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
META; spain/la-liga-segunda/tenerife-v-gijon; 2018-05-14 22:17:44 GMT+3; 2018-05-18 20:00; Nothing; Xlenovo
Gijon; 1/33; 7/5
Draw; 1/100; 9/5
Tenerife; 1/33; 2
