Cordoba; ; 7/2; 15/4; ; 7/2; ; ; 7/2; ; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; 7/2; ; 4; ; ; 13/8; ; 
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-18 02:24:41 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; ; 4/5; 8/11; ; 4/5; ; ; 8/11; ; ; 3/4; ; ; 3/4; ; 4/5; ; ; ; ; ; 8/11; ; 10/13; ; ; 1/4; ; 
Draw; ; 9/4; 12/5; ; 12/5; ; ; 11/5; ; ; 12/5; ; ; 9/4; ; 23/10; ; ; ; ; ; 11/5; ; 23/10; ; ; 8/11; ; 
Cordoba; ; 7/2; 15/4; ; 4; ; ; 7/2; ; ; 15/4; ; ; 15/4; ; 15/4; ; ; ; ; ; 7/2; ; 4; ; ; 2/9; ; 
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-18 11:44:34 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 3/4; 3/4; 8/11; ; 4/5; 31/40; ; 8/11; ; ; 3/4; ; ; 3/4; ; 4/5; ; 4/5; 10/11; ; ; 8/11; ; 4/5; 5/6; ; 1/2; ; 
Draw; 12/5; 12/5; 12/5; ; 5/2; 12/5; ; 23/10; ; ; 13/5; ; ; 12/5; ; 5/2; ; 5/2; 62/25; ; ; 23/10; ; 49/20; 28/11; ; 7/5; ; 
Cordoba; 3; 10/3; 15/4; ; 7/2; 3; ; 7/2; ; ; 10/3; ; ; 7/2; ; 10/3; ; 16/5; 73/20; ; ; 3; ; 7/2; 13/4; ; 1/25; ; 
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-18 14:24:56 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 3/4; 4/5; 4/5; ; 5/6; 3/4; 4/5; 8/11; ; 4/5; 20/23; ; ; 4/5; ; 5/6; 7/9; 13/15; 22/25; ; ; 4/5; 20/23; 5/6; 5/6; ; 8/15; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; 23/10; 9/4; 23/10; ; 9/4; 11/5; ; ; 12/5; ; 23/10; 5/2; 12/5; 127/50; ; ; 9/4; 12/5; 47/20; 27/11; ; 8/5; ; 
Cordoba; 3; 10/3; 7/2; ; 7/2; 16/5; 10/3; 7/2; ; 7/2; 10/3; ; ; 17/5; ; 10/3; 7/2; 57/17; 15/4; ; ; 10/3; 18/5; 7/2; 38/11; ; 1/33; ; 
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-18 18:25:10 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 3/4; 4/5; 11/13; 5/6; 5/6; 3/4; 4/5; 8/11; 4/5; 17/20; 5/6; ; ; 4/5; ; 5/6; 7/9; 5/6; 10/11; ; 4/5; 4/5; 20/23; 5/6; 5/6; ; 4/5; ; 5/6
Draw; 12/5; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 11/5; 23/10; ; ; 12/5; ; 23/10; 5/2; 40/17; 119/50; ; 40/17; 9/4; 12/5; 47/20; 12/5; ; 21/10; ; 12/5
Cordoba; 3; 10/3; 16/5; 17/5; 7/2; 16/5; 10/3; 10/3; 7/2; 16/5; 10/3; ; ; 17/5; ; 10/3; 7/2; 39/11; 77/20; ; 7/2; 10/3; 7/2; 7/2; 39/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-18 22:25:34 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 3/4; 4/5; 11/13; 5/6; 5/6; 3/4; 4/5; 8/11; 4/5; 17/20; 5/6; ; ; 4/5; 17/20; 5/6; 7/9; 5/6; 10/11; 13/15; 4/5; 4/5; 20/23; 5/6; 5/6; ; 4/5; ; 5/6
Draw; 12/5; 9/4; 11/5; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 11/5; 23/10; ; ; 12/5; 9/4; 23/10; 5/2; 40/17; 119/50; 23/10; 23/10; 9/4; 12/5; 47/20; 12/5; ; 21/10; ; 12/5
Cordoba; 3; 10/3; 16/5; 17/5; 7/2; 16/5; 10/3; 10/3; 18/5; 16/5; 10/3; ; ; 17/5; 7/2; 10/3; 7/2; 39/11; 77/20; 14/5; 18/5; 10/3; 7/2; 7/2; 39/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-19 02:25:11 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 3/4; 4/5; 11/13; 5/6; 5/6; 3/4; 4/5; 8/11; 4/5; 17/20; 5/6; ; ; 4/5; 17/20; 5/6; 7/9; 5/6; 10/11; 13/15; 4/5; 4/5; 20/23; 17/20; 5/6; ; 4/5; ; 5/6
Draw; 12/5; 23/10; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 9/4; 12/5; ; ; 12/5; 9/4; 23/10; 5/2; 12/5; 119/50; 23/10; 23/10; 9/4; 5/2; 47/20; 12/5; ; 11/5; ; 12/5
Cordoba; 3; 10/3; 16/5; 17/5; 7/2; 16/5; 10/3; 10/3; 18/5; 16/5; 16/5; ; ; 17/5; 7/2; 10/3; 7/2; 38/11; 77/20; 14/5; 18/5; 3; 17/5; 10/3; 38/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-19 10:25:24 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 5/6; 4/5; 11/13; 5/6; 5/6; 3/4; 4/5; 8/11; 4/5; 17/20; 5/6; ; ; 4/5; 17/20; 5/6; 7/9; 5/6; 10/11; 13/15; 4/5; 4/5; 20/23; 17/20; 13/15; ; 4/5; ; 5/6
Draw; 12/5; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 9/4; 12/5; ; ; 12/5; 9/4; 23/10; 5/2; 12/5; 119/50; 23/10; 23/10; 9/4; 5/2; 47/20; 5/2; ; 21/10; ; 12/5
Cordoba; 7/2; 10/3; 16/5; 17/5; 7/2; 16/5; 10/3; 10/3; 18/5; 16/5; 16/5; ; ; 17/5; 7/2; 10/3; 7/2; 7/2; 77/20; 14/5; 18/5; 3; 17/5; 10/3; 13/4; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-19 14:26:33 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 5/6; 4/5; 5/6; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 17/20; 5/6; 7/9; 5/6; 10/11; 9/11; 4/5; 4/5; 17/20; 17/20; 13/15; ; 4/5; ; 5/6
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 11/5; 40/17; 9/4; 12/5; 23/10; ; 23/10; 9/4; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 9/4; 5/2; 47/20; 12/5; ; 21/10; ; 12/5
Cordoba; 7/2; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 16/5; ; 16/5; 7/2; 10/3; 7/2; 17/5; 19/5; 31/10; 18/5; 3; 7/2; 10/3; 38/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-19 18:26:17 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 17/20; 5/6; 7/9; 5/6; 9/10; 9/11; 4/5; 4/5; 5/6; 17/20; 5/6; ; 4/5; ; 5/6
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 11/5; 40/17; 9/4; 12/5; 23/10; ; 23/10; 9/4; 23/10; 5/2; 12/5; 61/25; 23/10; 23/10; 9/4; 5/2; 47/20; 12/5; ; 21/10; ; 12/5
Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 16/5; ; 16/5; 7/2; 10/3; 7/2; 38/11; 19/5; 31/10; 18/5; 3; 18/5; 10/3; 7/2; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-19 22:25:26 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 17/20; 5/6; 7/9; 13/15; 9/10; 9/11; 4/5; 4/5; 5/6; 17/20; 13/15; ; 4/5; ; 5/6
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 11/5; 40/17; 9/4; 12/5; 23/10; ; 23/10; 9/4; 23/10; 5/2; 23/10; 61/25; 23/10; 23/10; 9/4; 5/2; 47/20; 23/10; ; 21/10; ; 12/5
Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 16/5; ; 16/5; 7/2; 10/3; 7/2; 38/11; 19/5; 31/10; 18/5; 3; 18/5; 10/3; 38/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-20 02:25:20 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 3/4; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 13/15; 9/10; 9/11; 4/5; 4/5; 5/6; 17/20; 13/15; ; 4/5; ; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 11/5; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 23/10; 61/25; 23/10; 23/10; 9/4; 5/2; 47/20; 27/11; ; 21/10; ; 12/5
Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 16/5; ; 16/5; 10/3; 10/3; 17/5; 38/11; 19/5; 31/10; 18/5; 3; 18/5; 10/3; 38/11; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-20 10:26:27 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 13/15; 89/100; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 4/5; ; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 11/5; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 23/10; 121/50; 23/10; 23/10; 9/4; 5/2; 47/20; 27/11; ; 21/10; ; 12/5
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 16/5; ; 16/5; 10/3; 10/3; 7/2; 38/11; 39/10; 3; 18/5; 3; 18/5; 10/3; 7/2; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-20 14:27:00 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 13/15; 9/10; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; ; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 11/5; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 23/10; 61/25; 23/10; 23/10; 9/4; 5/2; 47/20; 27/11; ; 21/10; ; 12/5
Cordoba; 15/4; 10/3; 16/5; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 16/5; 7/2; 16/5; ; 16/5; 10/3; 10/3; 7/2; 38/11; 19/5; 3; 18/5; 3; 18/5; 10/3; 7/2; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-20 18:26:32 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 4/5; 43/50; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; ; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 11/5; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 27/11; 5/2; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 11/5; ; 5/2
Cordoba; 15/4; 10/3; 13/4; 17/5; 16/5; 17/5; 10/3; 10/3; 18/5; 13/4; 7/2; 10/3; ; 16/5; 10/3; 10/3; 7/2; 7/2; 79/20; 3; 18/5; 3; 18/5; 10/3; 18/5; ; 3; ; 7/2
META; spain/la-liga-segunda/oviedo-v-cordoba; 2017-10-20 22:27:35 GMT+3; 2017-10-22 11:00; Nothing; Xlenovo
Oviedo; 4/5; 4/5; 5/6; 5/6; 8/11; 4/5; 4/5; 8/11; 4/5; 5/6; 5/6; 5/6; ; 17/20; 5/6; 5/6; 7/9; 4/5; 22/25; 5/6; 4/5; 4/5; 5/6; 17/20; 13/15; ; 5/6; ; 5/6
Draw; 12/5; 9/4; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 13/5; 27/11; 59/25; 23/10; 23/10; 23/10; 5/2; 51/20; 27/11; ; 9/4; ; 5/2
