META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-30 22:24:01 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 21/20; ; 11/10; ; 5/4; ; ; ; ; 11/10; 11/10; ; ; 11/10; ; ; ; 11/10; ; 9/8; ; 21/20; 23/20; 11/10; 15/13; ; ; 21/20; 
Draw; 21/10; 85/40; 11/5; ; 23/10; ; ; ; ; 11/5; 21/10; ; ; 9/4; ; ; ; 11/5; ; 40/17; ; 11/5; ; ; 11/5; ; ; 2; 
FC Barcelona B; 3; 5/2; 23/10; ; 13/5; ; ; ; ; 23/10; 5/2; ; ; 47/20; ; ; ; 28/11; ; 2; ; 23/10; 5/2; 49/20; 27/11; ; ; 11/5; 
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-31 02:23:00 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 21/20; 21/20; 11/10; ; 5/4; ; ; ; ; 11/10; 11/10; ; ; 11/10; ; 11/10; 15/13; 11/10; 15/13; 9/8; ; 21/20; 23/20; 11/10; 11/10; ; ; 21/20; 
Draw; 21/10; 85/40; 11/5; ; 23/10; ; ; ; ; 11/5; 21/10; ; ; 9/4; ; 21/10; 23/10; 11/5; 23/10; 40/17; ; 11/5; ; 47/20; 11/5; ; ; 2; 
FC Barcelona B; 3; 5/2; 23/10; ; 13/5; ; ; ; ; 23/10; 5/2; ; ; 47/20; ; 5/2; 23/10; 28/11; 23/10; 2; ; 23/10; 5/2; 49/20; 28/11; ; ; 11/5; 
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-31 10:23:12 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 21/20; 21/20; 11/10; ; 5/4; ; ; ; ; 11/10; 21/20; ; ; 21/20; ; 21/20; 15/13; 21/20; 15/13; 11/10; ; 1; 11/10; 1; 21/20; ; ; 21/20; 
Draw; 21/10; 85/40; 11/5; ; 23/10; ; ; ; ; 11/5; 11/5; ; ; 9/4; ; 21/10; 23/10; 11/5; 23/10; 40/17; ; 9/4; ; 47/20; 11/5; ; ; 2; 
FC Barcelona B; 3; 5/2; 23/10; ; 13/5; ; ; ; ; 23/10; 13/5; ; ; 5/2; ; 13/5; 23/10; 27/10; 23/10; 39/19; ; 5/2; 27/10; 53/20; 27/10; ; ; 11/5; 
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-31 14:23:50 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 1; 21/20; ; 117/100; ; ; ; 1; 21/20; 1; ; 21/20; 1; ; 1; 21/20; 1; 21/20; 15/14; 1; 10/11; 11/10; 1; 1; ; ; 1; 
Draw; 21/10; 11/5; 9/4; ; 23/10; ; ; ; 11/5; 9/4; 11/5; ; 23/10; 23/10; ; 9/4; 23/10; 23/10; 23/10; 40/17; 11/5; 9/4; ; 47/20; 23/10; ; ; 2; 
FC Barcelona B; 3; 13/5; 5/2; ; 141/50; ; ; ; 27/10; 5/2; 11/4; ; 5/2; 5/2; ; 13/5; 13/5; 27/10; 13/5; 28/13; 45/17; 5/2; 27/10; 11/4; 11/4; ; ; 9/4; 
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-31 18:24:23 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 19/20; 21/20; ; 117/100; ; ; ; 1; 21/20; 1; ; 21/20; 1; 1; 1; 21/20; 1; 21/20; 24/23; 1; 10/11; 11/10; 1; 1; ; ; 1; 1
Draw; 21/10; 23/10; 9/4; ; 23/10; ; ; ; 11/5; 9/4; 9/4; ; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; ; 47/20; 40/17; ; ; 2; 5/2
FC Barcelona B; 3; 13/5; 5/2; ; 141/50; ; ; ; 27/10; 5/2; 13/5; ; 5/2; 5/2; 13/5; 13/5; 13/5; 27/10; 13/5; 23/10; 45/17; 5/2; 27/10; 11/4; 11/4; ; ; 9/4; 14/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-01-31 22:23:33 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 19/20; 21/20; ; 117/100; ; ; ; 1; 21/20; 1; ; 21/20; 1; 1; 1; 21/20; 1; 21/20; 24/23; 1; 10/11; 11/10; 1; ; ; ; 1; 1
Draw; 21/10; 23/10; 9/4; ; 23/10; ; ; ; 11/5; 9/4; 9/4; ; 23/10; 23/10; 12/5; 9/4; 23/10; 40/17; 23/10; 9/4; 11/5; 9/4; 23/10; 47/20; ; ; ; 2; 5/2
FC Barcelona B; 3; 13/5; 5/2; ; 141/50; ; ; ; 27/10; 5/2; 13/5; ; 5/2; 5/2; 13/5; 13/5; 13/5; 11/4; 13/5; 23/10; 45/17; 5/2; 27/10; 11/4; 14/5; ; ; 9/4; 14/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-01 02:22:55 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 1; 1; ; 117/100; ; ; ; 1; 1; 1; ; ; 1; 1; 1; 1; 21/20; 24/23; 1; 10/11; 21/20; 1; ; ; ; 20/21; 1
Draw; 21/10; 9/4; 9/4; ; 23/10; ; ; ; 11/5; 9/4; 9/4; ; 9/4; 23/10; 12/5; 9/4; 40/17; 23/10; 9/4; 11/5; 9/4; 23/10; 47/20; ; ; ; 2; 12/5
FC Barcelona B; 3; 13/5; 5/2; ; 141/50; ; ; ; 27/10; 5/2; 13/5; ; ; 13/5; 13/5; 13/5; 11/4; 13/5; 23/10; 45/17; 5/2; 14/5; 11/4; 14/5; ; ; 23/10; 14/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-01 10:23:11 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 21/20; 1; 1; ; 117/100; ; ; ; 1; 1; 1; ; ; 1; 1; 1; 1; 21/20; 24/23; 1; 10/11; 21/20; 1; ; ; ; 20/21; 1
Draw; 9/4; 23/10; 9/4; ; 23/10; ; ; ; 11/5; 9/4; 23/10; ; 23/10; 9/4; 12/5; 9/4; 40/17; 23/10; 9/4; 11/5; 9/4; 23/10; 47/20; 40/17; ; ; 2; 12/5
FC Barcelona B; 11/4; 5/2; 5/2; ; 141/50; ; ; ; 27/10; 5/2; 13/5; ; ; 5/2; 13/5; 13/5; 11/4; 13/5; 23/10; 45/17; 5/2; 14/5; 11/4; 11/4; ; ; 23/10; 14/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-01 14:23:30 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 21/20; 21/20; 11/10; ; 117/100; ; ; ; 1; 11/10; 21/20; ; 11/10; 11/10; 23/20; 21/20; 11/10; 21/20; 10/9; 1; 21/20; 23/20; 11/10; 11/10; ; 10/11; 21/20; 23/20
Draw; 9/4; 9/4; 11/5; ; 23/10; ; ; ; 11/5; 11/5; 9/4; ; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 47/20; 40/17; ; 21/10; 2; 12/5
FC Barcelona B; 11/4; 12/5; 23/10; ; 141/50; ; ; ; 27/10; 23/10; 5/2; ; 23/10; 12/5; 23/10; 5/2; 27/11; 13/5; 28/13; 45/17; 23/10; 13/5; 12/5; 5/2; ; 9/4; 11/5; 12/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-01 18:22:46 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 11/10; 11/10; 11/10; ; 6/5; ; ; ; 1; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 11/10; 21/20; 22/19; 1; 21/20; 23/20; 11/10; 11/10; ; 20/21; 21/20; 23/20
Draw; 11/5; 9/4; 11/5; ; 12/5; ; ; ; 11/5; 11/5; 9/4; ; 9/4; 9/4; 23/10; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 47/20; 23/10; ; 21/10; 2; 23/10
FC Barcelona B; 13/5; 23/10; 23/10; ; 131/50; ; ; ; 27/10; 23/10; 12/5; ; 23/10; 47/20; 23/10; 12/5; 5/2; 13/5; 39/19; 45/17; 23/10; 13/5; 12/5; 28/11; ; 21/10; 11/5; 13/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-01 22:22:41 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 11/10; 11/10; ; 6/5; ; ; ; 1; 11/10; 21/20; ; 11/10; 21/20; 23/20; 21/20; 11/10; 21/20; 22/19; 1; 21/20; 23/20; 11/10; 11/10; ; 20/21; 10/9; 23/20
Draw; 23/10; 9/4; 11/5; ; 12/5; ; ; ; 11/5; 11/5; 9/4; ; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 47/20; 23/10; ; 21/10; 2; 23/10
FC Barcelona B; 14/5; 23/10; 23/10; ; 131/50; ; ; ; 27/10; 23/10; 5/2; ; 23/10; 49/20; 23/10; 5/2; 5/2; 13/5; 39/19; 45/17; 23/10; 5/2; 12/5; 28/11; ; 21/10; 21/10; 13/5
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-02 02:22:37 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
Cordoba; 1; 11/10; 11/10; ; 29/25; ; ; ; 1; 11/10; 21/20; ; 23/20; 11/10; 23/20; 21/20; 11/10; 21/20; 22/19; 1; 21/20; 23/20; 21/20; 11/10; ; 20/21; 10/9; 10/9
Draw; 23/10; 9/4; 11/5; ; 61/25; ; ; ; 11/5; 11/5; 9/4; ; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 47/20; 23/10; ; 21/10; 2; 12/5
FC Barcelona B; 14/5; 23/10; 23/10; ; 67/25; ; ; ; 27/10; 23/10; 5/2; ; 23/10; 47/20; 23/10; 5/2; 28/11; 13/5; 39/19; 45/17; 23/10; 5/2; 5/2; 13/5; ; 9/4; 21/10; 27/10
META; spain/la-liga-segunda/cordoba-v-fc-barcelona-b; 2018-02-02 10:22:48 GMT+2; 2018-02-04 19:00; Nothing; Xlenovo
