META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-21 22:23:49 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 02:23:43 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/11; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/7; ; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 10:24:12 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; ; ; ; ; 53/50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
Lugo; ; ; ; ; 17/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 14:24:21 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 11/13; ; 19/20; ; ; ; ; 17/20; 5/6; 20/23; ; ; 17/20; ; 10/11; 4/5; 10/11; 6/7; ; ; 17/20; 4/5; 10/11; 2/7; ; 
Draw; 12/5; 21/10; 21/10; ; 11/5; ; ; ; ; 21/10; 21/10; 21/10; ; ; 21/10; ; 21/10; 21/10; 21/10; 21/10; ; ; 9/4; 11/5; 11/5; 8/11; ; 
Lugo; 15/4; 15/4; 18/5; ; 4; ; ; ; ; 18/5; 7/2; 7/2; ; ; 15/4; ; 7/2; 4; 7/2; 41/13; ; ; 4; 4; 57/17; 11/4; ; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 18:24:22 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 13/15; 5/6; 23/25; ; ; ; 4/5; 20/23; 5/6; 20/23; 17/20; ; 10/11; ; 10/11; 4/5; 10/11; 6/7; 4/5; 4/5; 20/23; 4/5; 5/6; 4/7; 5/6; 
Draw; 12/5; 21/10; 2; 2; 11/5; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; ; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 11/5; 21/10; 2/9; 2; 
Lugo; 15/4; 15/4; 18/5; 15/4; 21/5; ; ; ; 39/10; 18/5; 7/2; 15/4; 10/3; ; 15/4; ; 7/2; 4; 7/2; 41/13; 19/5; 19/5; 4; 4; 77/19; 2/7; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-22 22:24:18 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 93/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; ; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 5/6; 8/11; 5/6; 
Draw; 12/5; 2; 2; 2; 111/ 50; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; ; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 19/10; 2; 
Lugo; 15/4; 15/4; 7/2; 15/4; 41/10; ; ; ; 39/10; 7/2; 7/2; 15/4; 10/3; ; 15/4; ; 15/4; 19/5; 15/4; 41/13; 19/5; 7/2; 4; 4; 50/13; 10/3; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 02:24:09 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 93/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 5/6; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 5/6; 8/11; 5/6; 
Draw; 12/5; 2; 2; 2; 111/ 50; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 6/4; 2; 
Lugo; 15/4; 15/4; 7/2; 15/4; 41/10; ; ; ; 39/10; 7/2; 7/2; 15/4; 10/3; ; 15/4; 15/4; 15/4; 19/5; 15/4; 41/13; 19/5; 7/2; 4; 4; 50/13; 7/2; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 10:24:15 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 93/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 5/6; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 5/6; 8/11; 5/6; 
Draw; 12/5; 2; 2; 2; 111/ 50; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 6/4; 2; 
Lugo; 15/4; 15/4; 7/2; 15/4; 41/10; ; ; ; 39/10; 7/2; 7/2; 15/4; 10/3; ; 15/4; 15/4; 15/4; 19/5; 15/4; 41/13; 19/5; 7/2; 4; 4; 50/13; 7/2; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 14:24:17 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 93/ 100; ; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 5/6; 11/13; 5/6; 11/13; 6/7; 4/5; 4/5; 20/23; 17/20; 5/6; 8/11; 5/6; 
Draw; 12/5; 2; 2; 2; 111/ 50; ; ; ; 21/10; 2; 21/10; 2; 21/10; ; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 6/4; 2; 
Lugo; 15/4; 15/4; 7/2; 15/4; 41/10; ; ; ; 39/10; 7/2; 7/2; 15/4; 10/3; ; 15/4; 15/4; 15/4; 50/13; 15/4; 41/13; 19/5; 7/2; 4; 4; 50/13; 7/2; 14/5; 
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 18:24:45 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 97/ 100; 4/5; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 17/20; 5/6; 10/11; 5/6; 6/7; 4/5; 4/5; 20/23; 17/20; 13/15; 8/11; 5/6; 10/11
Draw; 12/5; 21/10; 21/10; 2; 111/ 50; 21/10; ; ; 21/10; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 11/5; 11/5; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 28/13; 19/10; 21/10; 21/10
Lugo; 15/4; 7/2; 17/5; 15/4; 19/5; 15/4; ; ; 39/10; 17/5; 7/2; 7/2; 10/3; ; 15/4; 7/2; 15/4; 16/5; 15/4; 41/13; 19/5; 7/2; 4; 15/4; 37/10; 7/2; 14/5; 7/2
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-23 22:24:40 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 19/20; 4/5; ; ; 4/5; 20/23; 5/6; 20/23; 10/11; ; 10/11; 17/20; 5/6; 13/15; 5/6; 6/7; 4/5; 4/5; 20/23; 17/20; 13/15; ; 8/11; 5/6; 10/11
Draw; 12/5; 21/10; 21/10; 2; 111/ 50; 21/10; ; ; 21/10; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 11/5; 28/13; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 19/10; 21/10; 21/10
Lugo; 15/4; 7/2; 17/5; 15/4; 79/20; 15/4; ; ; 39/10; 17/5; 7/2; 7/2; 10/3; ; 15/4; 7/2; 15/4; 37/10; 15/4; 41/13; 19/5; 7/2; 4; 15/4; 15/4; ; 7/2; 14/5; 7/2
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 02:24:15 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 19/20; 4/5; 5/6; ; 11/13; 20/23; 5/6; 20/23; 10/11; ; 10/11; 17/20; 5/6; 13/15; 5/6; 6/7; 11/13; 4/5; 20/23; 17/20; 13/15; ; 8/11; 5/6; 10/11
Draw; 12/5; 21/10; 21/10; 2; 111/ 50; 21/10; 2; ; 21/10; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 11/5; 28/13; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 19/10; 21/10; 21/10
Lugo; 15/4; 7/2; 17/5; 15/4; 79/20; 15/4; 7/2; ; 18/5; 17/5; 7/2; 7/2; 10/3; ; 15/4; 7/2; 15/4; 37/10; 15/4; 41/13; 7/2; 7/2; 4; 15/4; 15/4; ; 7/2; 14/5; 7/2
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 10:24:10 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 5/6; 13/15; 5/6; 97/ 100; 4/5; 5/6; 8/11; 11/13; 20/23; 5/6; 20/23; 10/11; ; 10/11; 17/20; 5/6; 13/15; 5/6; 6/7; 11/13; 4/5; 20/23; 17/20; 13/15; ; 8/11; 5/6; 10/11
Draw; 12/5; 21/10; 21/10; 2; 11/5; 21/10; 2; 2; 21/10; 21/10; 21/10; 2; 11/5; ; 2; 21/10; 11/5; 28/13; 11/5; 21/10; 21/10; 2; 11/5; 21/10; 11/5; ; 19/10; 21/10; 21/10
Lugo; 15/4; 7/2; 17/5; 15/4; 77/20; 15/4; 7/2; 7/2; 18/5; 17/5; 7/2; 7/2; 10/3; ; 15/4; 7/2; 15/4; 37/10; 15/4; 41/13; 7/2; 7/2; 4; 15/4; 15/4; ; 3; 14/5; 7/2
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 14:24:19 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 5/6; 5/6; 87/ 100; 3/4; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 5/6; ; 17/20; 4/5; 5/6; 5/6; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 5/6; ; 4/6; 4/5; 5/6
Draw; 12/5; 21/10; 21/10; 2; 57/25; 11/5; 2; 21/10; 83/41; 21/10; 21/10; 21/10; 11/5; ; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 2; 9/4; 11/5; 11/5; ; 2; 21/10; 11/5
Lugo; 15/4; 15/4; 18/5; 15/4; 22/5; 15/4; 4; 7/2; 41/10; 18/5; 4; 15/4; 7/2; ; 15/4; 15/4; 15/4; 75/19; 15/4; 17/5; 4; 7/2; 4; 4; 4; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 18:24:19 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 5/6; 5/6; 83/ 100; 3/4; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 5/6; 5/6; 17/20; 4/5; 5/6; 5/6; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 5/6; ; 4/6; 4/5; 5/6
Draw; 12/5; 21/10; 21/10; 2; 12/5; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 2; 9/4; 11/5; 9/4; ; 2; 21/10; 11/5
Lugo; 15/4; 15/4; 18/5; 15/4; 22/5; 15/4; 7/2; 7/2; 4; 18/5; 7/2; 15/4; 7/2; 18/5; 15/4; 15/4; 15/4; 39/10; 15/4; 17/5; 4; 7/2; 4; 4; 75/19; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-24 22:24:09 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 5/6; 5/6; 83/ 100; 3/4; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 5/6; 5/6; 17/20; 4/5; 5/6; 5/6; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 5/6; ; 4/6; 4/5; 5/6
Draw; 12/5; 21/10; 21/10; 2; 12/5; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 2; 9/4; 11/5; 9/4; ; 2; 21/10; 11/5
Lugo; 15/4; 15/4; 18/5; 15/4; 22/5; 15/4; 7/2; 7/2; 4; 18/5; 7/2; 15/4; 7/2; 18/5; 15/4; 15/4; 15/4; 39/10; 15/4; 17/5; 4; 7/2; 21/5; 4; 75/19; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-25 02:23:57 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 5/6; 5/6; 83/ 100; 3/4; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 5/6; 4/5; 17/20; 4/5; 5/6; 4/5; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 5/6; ; 8/11; 4/5; 5/6
Draw; 12/5; 85/40; 21/10; 2; 12/5; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 43/20; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 28/13; 2; 9/4; 11/5; 9/4; ; 2; 21/10; 11/5
Lugo; 15/4; 15/4; 18/5; 15/4; 22/5; 15/4; 7/2; 7/2; 4; 18/5; 7/2; 15/4; 7/2; 15/4; 15/4; 15/4; 15/4; 75/19; 15/4; 17/5; 4; 7/2; 4; 4; 4; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-25 10:23:53 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 4/5; 4/5; 4/5; 5/6; 83/ 100; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 17/20; 4/5; 5/6; 4/5; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 4/5; ; 4/6; 4/5; 5/6
Draw; 12/5; 85/40; 21/10; 2; 59/25; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 21/10; 11/5; 43/20; 21/10; 11/5; 11/5; 9/4; 11/5; 21/10; 28/13; 2; 9/4; 11/5; 9/4; ; 2; 21/10; 9/4
Lugo; 15/4; 15/4; 18/5; 15/4; 9/2; 15/4; 7/2; 7/2; 4; 18/5; 7/2; 15/4; 7/2; 15/4; 15/4; 15/4; 15/4; 75/19; 15/4; 17/5; 4; 7/2; 4; 4; 4; ; 7/2; 3; 21/5
META; spain/la-liga-segunda/cadiz-v-lugo; 2018-01-25 14:24:12 GMT+2; 2018-01-27 19:30; Nothing; Xlenovo
Cadiz; 5/6; 4/5; 4/5; 5/6; 83/ 100; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 17/20; 4/5; 5/6; 4/5; 5/6; 13/16; 4/5; 8/11; 5/6; 4/5; 5/6; ; 4/6; 4/5; 5/6
