META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-20 14:26:45 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; ; ; ; ; ; 10/11; 10/11; 10/11; ; ; ; ; ; 13/15; 49/50; ; ; ; ; 9/10; 10/11; ; 1/50; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; ; ; ; ; ; 21/10; 11/5; 21/10; ; ; ; ; ; 28/13; 11/5; ; ; ; ; 11/5; 28/13; ; 2/9; 21/10; 
Sevilla B; 7/2; 10/3; 16/5; 3; ; ; ; ; ; 13/4; 7/2; 16/5; ; ; ; ; ; 38/11; 19/5; ; ; ; ; 10/3; 38/11; ; 1/50; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-20 18:27:03 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; 7/8; ; ; ; 19/20; 10/11; 10/11; 10/11; ; 10/11; 10/11; ; 10/11; 10/11; 49/50; 11/12; 15/16; ; ; 9/10; 10/11; ; 4/7; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; 41/20; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; ; 11/5; 28/13; 11/5; 2; 28/13; ; ; 11/5; 28/13; ; 6/4; 21/10; 
Sevilla B; 7/2; 10/3; 16/5; 3; 3; ; ; ; 16/5; 16/5; 7/2; 16/5; ; 16/5; 7/2; ; 13/4; 17/5; 19/5; 3; 31/10; ; ; 10/3; 38/11; ; 9/5; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-20 22:27:01 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; 7/8; ; ; ; 19/20; 10/11; 10/11; 10/11; ; 10/11; 10/11; ; 10/11; 10/11; 49/50; 11/12; 15/16; ; ; 9/10; 10/11; ; 5/6; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; 41/20; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; ; 11/5; 28/13; 11/5; 2; 28/13; ; ; 11/5; 28/13; ; 2; 21/10; 
Sevilla B; 7/2; 10/3; 16/5; 3; 3; ; ; ; 16/5; 16/5; 7/2; 16/5; ; 16/5; 7/2; ; 13/4; 17/5; 19/5; 3; 31/10; ; ; 10/3; 38/11; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-21 02:26:41 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; 7/8; ; ; ; 19/20; 10/11; 10/11; 10/11; ; 10/11; 10/11; ; 10/11; 10/11; 49/50; 11/12; 15/16; ; ; 9/10; 10/11; ; 5/6; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; 41/20; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; ; 11/5; 28/13; 11/5; 2; 28/13; ; ; 11/5; 28/13; ; 2; 21/10; 
Sevilla B; 7/2; 10/3; 16/5; 3; 3; ; ; ; 16/5; 16/5; 7/2; 16/5; ; 16/5; 7/2; ; 13/4; 17/5; 19/5; 3; 31/10; ; ; 10/3; 17/5; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-21 10:26:56 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; 7/8; ; ; ; 19/20; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 10/11; 10/11; 24/25; 11/12; 15/16; ; ; 9/10; 10/11; ; 5/6; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; 41/20; ; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 113/50; 2; 28/13; ; ; 11/5; 28/13; ; 2; 21/10; 
Sevilla B; 7/2; 10/3; 16/5; 3; 3; ; ; ; 16/5; 16/5; 7/2; 16/5; ; 16/5; 7/2; 10/3; 13/4; 17/5; 19/5; 3; 31/10; ; ; 10/3; 17/5; ; 3; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-21 14:26:59 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 10/11; 1; 7/8; 20/23; ; ; 19/20; 10/11; 10/11; 10/11; ; 9/10; 10/11; 10/11; 10/11; 10/11; 24/25; 11/12; 15/16; ; ; 9/10; 10/11; ; 5/6; 5/6; 
Draw; 21/10; 21/10; 21/10; 2; 41/20; 11/5; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 113/50; 2; 28/13; ; ; 11/5; 28/13; ; 2; 21/10; 
Sevilla B; 7/2; 10/3; 13/4; 3; 3; 10/3; ; ; 16/5; 13/4; 7/2; 16/5; ; 10/3; 7/2; 10/3; 13/4; 17/5; 19/5; 3; 31/10; ; ; 10/3; 38/11; ; 3; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-21 18:26:56 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 13/15; 10/11; 7/8; 17/20; ; ; 19/20; 20/23; 10/11; 4/5; ; 9/10; 10/11; 17/20; 10/11; 5/6; 22/25; 13/15; 15/16; ; ; 17/20; 5/6; ; 4/5; 5/6; 
Draw; 21/10; 85/40; 21/10; 21/10; 41/20; 21/10; ; ; 11/5; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 57/25; 28/13; 28/13; ; ; 11/5; 28/13; ; 2; 21/10; 
Sevilla B; 4; 7/2; 17/5; 10/3; 3; 18/5; ; ; 16/5; 17/5; 7/2; 15/4; ; 10/3; 7/2; 7/2; 13/4; 15/4; 43/10; 3; 31/10; ; ; 7/2; 19/5; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-21 22:26:45 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 13/15; 10/11; 7/8; 4/5; 5/6; ; 11/13; 20/23; 5/6; 4/5; ; 9/10; 10/11; 17/20; 10/11; 5/6; 22/25; 13/15; 5/6; ; ; 17/20; 13/15; ; 4/5; 5/6; 
Draw; 21/10; 21/10; 21/10; 21/10; 41/20; 11/5; 2; ; 28/13; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 57/25; 28/13; 21/10; ; ; 11/5; 11/5; ; 2; 21/10; 
Sevilla B; 4; 7/2; 17/5; 10/3; 3; 18/5; 7/2; ; 19/5; 17/5; 4; 15/4; ; 10/3; 7/2; 7/2; 13/4; 39/10; 43/10; 3; 19/5; ; ; 7/2; 39/10; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-22 02:24:35 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 13/15; 10/11; 7/8; 4/5; 5/6; ; 11/13; 20/23; 5/6; 4/5; ; 9/10; 10/11; 17/20; 10/11; 5/6; 22/25; 13/15; 5/6; ; ; 17/20; 13/15; ; 8/11; 5/6; 
Draw; 21/10; 21/10; 21/10; 21/10; 41/20; 11/5; 2; ; 28/13; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 57/25; 28/13; 21/10; ; ; 11/5; 11/5; ; 2; 21/10; 
Sevilla B; 4; 7/2; 17/5; 10/3; 3; 18/5; 7/2; ; 19/5; 17/5; 4; 15/4; ; 10/3; 7/2; 7/2; 13/4; 39/10; 43/10; 3; 19/5; ; ; 7/2; 39/10; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-22 10:25:06 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 13/15; 10/11; 7/8; 4/5; 5/6; ; 11/13; 20/23; 5/6; 20/23; ; 9/10; 10/11; 17/20; 10/11; 5/6; 22/25; 13/15; 5/6; ; ; 17/20; 13/15; ; 4/5; ; 
Draw; 21/10; 21/10; 21/10; 21/10; 41/20; 11/5; 2; ; 28/13; 21/10; 11/5; 11/5; ; 21/10; 21/10; 21/10; 11/5; 28/13; 57/25; 28/13; 21/10; ; ; 11/5; 11/5; ; 2; ; 
Sevilla B; 4; 7/2; 17/5; 10/3; 3; 18/5; 7/2; ; 19/5; 17/5; 4; 10/3; ; 10/3; 7/2; 7/2; 13/4; 39/10; 43/10; 3; 19/5; ; ; 7/2; 39/10; ; 3; ; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-22 14:25:11 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 13/15; 10/11; 7/8; 4/5; 5/6; ; 11/13; 20/23; 5/6; 20/23; ; 9/10; 10/11; 17/20; 10/11; 13/15; 23/25; 13/15; 5/6; 5/6; ; 17/20; 13/15; ; 4/5; 5/6; 
Draw; 21/10; 21/10; 21/10; 21/10; 41/20; 11/5; 2; ; 28/13; 21/10; 11/5; 21/10; ; 21/10; 21/10; 21/10; 11/5; 28/13; 56/25; 28/13; 21/10; 2; ; 11/5; 11/5; ; 2; 21/10; 
Sevilla B; 4; 7/2; 10/3; 10/3; 3; 18/5; 7/2; ; 19/5; 10/3; 4; 7/2; ; 10/3; 7/2; 7/2; 13/4; 15/4; 41/10; 3; 19/5; 10/3; ; 7/2; 19/5; ; 3; 27/10; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-22 18:25:04 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 5/6; 5/6; ; 17/20; 10/11; ; 4/5; 9/10; 
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 28/13; 2; 21/10; 21/10; ; 41/20; 2; 21/10; 11/5; 28/13; 109/50; 21/10; 21/10; 2; ; 11/5; 28/13; ; 19/10; 21/10; 
Sevilla B; 4; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 19/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 7/2; 77/20; 14/5; 19/5; 3; ; 7/2; 39/11; ; 3; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-22 22:25:34 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 5/6; 5/6; ; 17/20; 10/11; ; 4/5; 9/10; 20/21
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 28/13; 2; 21/10; 21/10; ; 41/20; 2; 21/10; 11/5; 28/13; 109/50; 21/10; 21/10; 2; ; 11/5; 28/13; ; 19/10; 21/10; 11/5
Sevilla B; 4; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 19/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 7/2; 77/20; 14/5; 19/5; 3; ; 7/2; 39/11; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-23 02:25:12 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 17/20; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 5/6; 5/6; ; 17/20; 10/11; ; 5/6; 9/10; 20/21
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 28/13; 2; 21/10; 21/10; ; 41/20; 2; 21/10; 11/5; 28/13; 109/50; 21/10; 21/10; 2; ; 11/5; 28/13; ; 19/10; 21/10; 11/5
Sevilla B; 4; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 19/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 7/2; 77/20; 14/5; 19/5; 3; ; 7/2; 39/11; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-23 10:25:34 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 5/6; 5/6; ; 17/20; 10/11; ; 5/6; 9/10; 20/21
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 28/13; 2; 21/10; 21/10; ; 41/20; 2; 2; 11/5; 28/13; 109/50; 21/10; 21/10; 2; ; 11/5; 28/13; ; 19/10; 21/10; 11/5
Sevilla B; 7/2; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 19/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 7/2; 77/20; 14/5; 19/5; 3; ; 7/2; 39/11; ; 10/3; 13/5; 7/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-23 14:25:32 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 5/6; 5/6; ; 17/20; 10/11; ; 5/6; 9/10; 20/21
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 28/13; 2; 11/5; 21/10; ; 41/20; 2; 21/10; 11/5; 28/13; 109/50; 21/10; 21/10; 2; ; 11/5; 28/13; ; 19/10; 21/10; 11/5
Sevilla B; 7/2; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 19/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 38/11; 77/20; 14/5; 19/5; 3; ; 7/2; 7/2; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-23 18:25:34 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
Alcorcon; 10/11; 5/6; 19/20; 10/11; 7/8; 17/20; 10/11; ; 9/10; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 10/11; 10/11; 49/50; 19/20; 9/10; 5/6; ; 17/20; 19/20; ; 4/5; 9/10; 20/21
Draw; 21/10; 21/10; 2; 21/10; 41/20; 21/10; 2; ; 11/5; 2; 11/5; 21/10; ; 41/20; 2; 21/10; 11/5; 28/13; 109/50; 21/10; 28/13; 2; ; 11/5; 28/13; ; 19/10; 21/10; 11/5
Sevilla B; 7/2; 10/3; 16/5; 10/3; 3; 7/2; 10/3; ; 17/5; 16/5; 7/2; 16/5; ; 31/10; 7/2; 10/3; 13/4; 17/5; 77/20; 14/5; 57/17; 3; ; 7/2; 38/11; ; 3; 13/5; 7/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-11-23 22:24:09 GMT+2; 2017-11-25 19:00; Nothing; Xlenovo
