META; spain/la-liga-segunda/cadiz-v-oviedo; 2018-02-05 14:22:57 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 21/20; ; 113/100; ; ; ; 1; 21/20; ; ; ; ; 21/20; ; 21/20; 21/20; 10/9; ; ; 11/10; 1; ; ; ; ; 
Draw; 2; 19/10; ; ; 11/5; ; ; ; 19/10; 2; ; ; ; ; 2; ; 39/19; 21/10; 39/19; ; ; 21/10; 21/10; 39/19; ; ; ; 
Oviedo; 31/10; 14/5; 27/10; ; 31/10; ; ; ; 31/10; 27/10; ; ; ; ; 3; ; 37/13; 29/10; 40/17; ; ; 29/10; 59/20; 29/10; ; ; ; 
META; spain/la-liga-segunda/cadiz-v-oviedo; 2018-02-05 18:23:25 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
Cadiz; 21/20; 11/10; 15/13; ; 123/100; ; ; ; 1; 23/20; 11/10; ; ; ; 23/20; ; 21/20; 21/20; 22/19; 1; ; 23/20; 11/10; 21/20; ; ; 21/20; 23/20
Draw; 2; 19/10; 2; ; 85/40; ; ; ; 19/10; 2; 2; ; ; ; 21/10; ; 39/19; 21/10; 31/16; 19/10; ; 21/10; 21/10; 39/19; ; ; 19/10; 21/10
Oviedo; 31/10; 11/4; 13/5; ; 72/25; ; ; ; 31/10; 13/5; 11/4; ; ; ; 13/5; ; 37/13; 29/10; 40/17; 3; ; 14/5; 11/4; 29/10; ; ; 12/5; 14/5
META; spain/la-liga-segunda/cadiz-v-oviedo; 2018-02-05 22:22:54 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
Cadiz; 23/20; 23/20; 5/4; 23/20; 133/100; ; ; ; 15/13; 5/4; 23/20; ; ; ; 6/5; ; 21/20; 13/10; 24/19; 8/7; 6/5; 13/10; 5/4; 21/20; ; 4/5; 6/5; 13/10
Draw; 2; 2; 28/15; 19/10; 21/10; ; ; ; 21/10; 15/8; 2; ; ; ; 2; ; 39/19; 37/19; 21/11; 39/19; 9/5; 2; 39/20; 39/19; ; 11/8; 9/5; 2
Oviedo; 11/4; 12/5; 12/5; 13/5; 53/20; ; ; ; 13/5; 12/5; 5/2; ; ; ; 5/2; ; 37/13; 12/5; 11/5; 28/11; 12/5; 5/2; 5/2; 29/10; ; 7/5; 9/4; 13/5
META; spain/la-liga-segunda/cadiz-v-oviedo; 2018-02-06 02:22:45 GMT+2; 2018-02-10 17:00; Nothing; Xlenovo
Cadiz; 23/20; 6/5; 5/4; 23/20; 133/100; ; ; ; 15/13; 5/4; 6/5; ; ; ; 6/5; 6/5; 21/20; 13/10; 24/19; 8/7; 6/5; 13/10; 5/4; 21/20; ; 6/5; 6/5; 13/10
Draw; 2; 19/10; 28/15; 19/10; 21/10; ; ; ; 21/10; 15/8; 19/10; ; ; ; 2; 19/10; 39/19; 37/19; 21/11; 39/19; 9/5; 2; 39/20; 39/19; ; 19/10; 9/5; 2
