META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-24 14:27:12 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; ; ; ; ; 
Alcorcon; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-24 18:27:10 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; 23/20; ; ; ; ; ; ; ; 11/10; ; ; 6/5; ; ; 5/4; ; ; 6/5; ; 17/14; 11/10; ; 13/10; ; 6/5; ; ; 5/4; 
Draw; 2; ; ; ; ; ; ; ; 2; ; ; 2; ; ; 21/10; ; ; 37/19; ; 39/19; 2; ; 2; ; 37/19; ; ; 9/5; 
Alcorcon; 11/4; ; ; ; ; ; ; ; 45/17; ; ; 12/5; ; ; 23/10; ; ; 12/5; ; 21/10; 13/5; ; 5/2; ; 12/5; ; ; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-24 22:27:13 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; 29/20; ; ; ; ; ; ; ; 11/10; ; ; 7/5; ; ; 7/5; ; ; 7/5; ; 15/11; 11/10; ; 6/4; ; 7/5; ; ; 7/5; 
Draw; 2; ; ; ; ; ; ; ; 2; ; ; 2; ; ; 21/10; ; ; 19/10; ; 21/10; 2; ; 2; ; 37/19; ; ; 9/5; 
Alcorcon; 21/10; ; ; ; ; ; ; ; 45/17; ; ; 2; ; ; 2; ; ; 39/19; ; 35/19; 13/5; ; 85/40; ; 39/19; ; ; 7/4; 
META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-25 02:27:12 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; 29/20; ; 6/4; ; ; ; ; ; 6/4; ; ; 7/5; ; ; 7/5; ; ; 6/4; ; 15/11; 6/4; ; 6/4; ; 6/4; ; ; ; 
Draw; 2; ; 19/10; ; ; ; ; ; 37/19; ; ; 2; ; ; 21/10; ; ; 19/10; ; 21/10; 37/19; ; 2; ; 37/19; ; ; ; 
Alcorcon; 21/10; ; 19/10; ; ; ; ; ; 19/10; ; ; 2; ; ; 2; ; ; 19/10; ; 35/19; 19/10; ; 85/40; ; 37/19; ; ; ; 
META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-25 10:27:16 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; 29/20; ; 16/11; ; ; ; ; ; 6/4; ; ; 29/20; ; ; 6/4; ; 16/11; 6/4; 16/11; 15/11; 6/4; ; 6/4; ; 6/4; ; ; 7/5; 
Draw; 2; ; 28/15; ; ; ; ; ; 37/19; ; ; 15/8; ; ; 7/4; ; 2; 19/10; 2; 21/10; 37/19; ; 2; ; 37/19; ; ; 9/5; 
Alcorcon; 21/10; ; 2; ; ; ; ; ; 19/10; ; ; 21/10; ; ; 9/4; ; 2; 19/10; 2; 35/19; 19/10; ; 85/40; ; 37/19; ; ; 7/4; 
META; spain/la-liga-segunda/reus-deportiu-v-alcorcon; 2017-12-25 14:27:20 GMT+2; 2018-01-06 19:00; Nothing; Xlenovo
Reus Deportiu; 29/20; ; 6/4; ; ; ; ; ; 6/4; ; ; 31/20; ; ; 6/4; ; 16/11; 6/4; 16/11; 15/11; 6/4; ; 8/5; 31/20; 17/11; ; ; 6/4; 
Draw; 2; ; 28/15; ; ; ; ; ; 37/19; ; ; 9/5; ; ; 7/4; ; 2; 9/5; 2; 21/10; 37/19; ; 2; 15/8; 24/13; ; ; 7/4; 
