META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-05 10:24:13 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Sevilla B; 1/50
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-05 14:25:30 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Sevilla B; 1/50
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-05 18:24:32 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Sevilla B; 1/50
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-05 22:21:16 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/50
Gimnastic; 1/50
Sevilla B; 1/50
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-06 02:21:31 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-06 10:21:42 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-06 14:21:53 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-06 18:20:32 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-06 22:19:05 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/33
Sevilla B; 1/33
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-07 02:19:25 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100
Gimnastic; 1/25
Sevilla B; 1/25
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-07 10:20:01 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Gimnastic; 1/25; 7/4
Sevilla B; 1/25; 7/4
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-07 14:20:12 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Gimnastic; 1/25; 7/4
Sevilla B; 1/25; 7/4
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-07 18:20:38 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Gimnastic; 1/25; 7/4
Sevilla B; 1/25; 7/4
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-07 22:20:37 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Draw; 1/100; 17/10
Gimnastic; 1/25; 7/4
Sevilla B; 1/25; 7/4
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-08 02:20:24 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/25; 11/10
Draw; 1/100; 9/4
Sevilla B; 1/25; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-08 10:20:27 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/25; 11/10
Draw; 1/100; 9/4
Sevilla B; 1/25; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-08 14:20:43 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/25; 23/20
Sevilla B; 1/25; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-08 18:20:36 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/25; 23/20
Sevilla B; 1/25; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-09 02:20:16 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/33; 23/20
Sevilla B; 1/33; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-09 10:20:26 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/33; 23/20
Sevilla B; 1/33; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-09 14:20:40 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 1/33; 23/20
Sevilla B; 1/33; 21/10
Draw; 1/100; 23/10
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-09 18:20:42 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 5/4; 5/4; 67/50; 6/5; 5/4; 13/10; 5/4; 5/4; 6/5; 5/4; 8/11; 13/10
Draw; 21/10; 2; 11/5; 21/10; 2; 2; 37/19; 21/10; 37/19; 23/20; 21/10; 
Sevilla B; 12/5; 9/4; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 40/17; 5/4; 12/5
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-09 22:20:33 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
Gimnastic; 5/4; 5/4; 13/10; 7/5; 13/10; 5/4; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 5/4; 16/13; 13/10; 5/6; 6/5; 11/8
Draw; 21/10; 21/10; 21/10; 52/25; 2; 39/19; 2; 2; 2; 11/5; 2; 6/5; 9/5; 2; ; ; ; 
Sevilla B; 12/5; 85/40; 21/10; 63/25; 9/4; 9/4; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; 23/12; 12/5; 23/10; 13/10; 17/10; 12/5
META; spain/la-liga-segunda/sevilla-b-v-gimnastic; 2018-05-10 02:20:08 GMT+3; 2018-05-13 17:00; Nothing; Xlenovo
