META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 18:27:06 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; ; ; ; ; ; ; 31/20; ; ; 6/4; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; 
Albacete; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 21/10; ; ; 2; ; ; ; ; ; ; ; ; 2; ; ; ; ; ; ; ; ; ; 
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-19 22:26:24 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 17/10; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 7/5; ; 6/4; 6/4; ; ; ; ; ; 17/11; ; 6/4; ; 24/17; ; ; ; 31/20; ; 7/5; 6/4; 
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 31/20; 7/5; 17/11; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 6/4; 16/11; 77/50; 24/17; 6/4; 7/5; 6/4; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 2; 2; 21/10; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; ; 2; 19/10; 2; 2; 24/13; 2; 21/10; 28/13; 24/13; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 19/10; 2; 9/5; 21/10; 7/4; 2; 15/8; 39/19; 2; 2; 19/10; ; 19/10; 19/10; 2; 24/13; 39/19; 39/19; 56/25; 33/19; 39/19; 9/5; 15/8; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-21 22:28:48 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 31/20; 7/5; 17/11; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 6/4; 16/11; 77/50; 24/17; 6/4; 7/5; 6/4; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; ; 2; 19/10; 2; 2; 24/13; 2; 21/10; 28/13; 24/13; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 7/4; 2; 15/8; 39/19; 2; 2; 19/10; ; 19/10; 19/10; 2; 24/13; 39/19; 39/19; 56/25; 33/19; 39/19; 9/5; 15/8; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 02:28:22 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 31/21; 7/5; 7/5; 29/20; ; 29/20; 8/5; 16/11; 17/11; 16/11; 16/11; 77/50; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 7/4; 2; 15/8; 28/13; 2; 2; 19/10; ; 19/10; 19/10; 2; 24/13; 21/10; 21/10; 56/25; 9/5; 21/10; 9/5; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 10:28:24 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 77/50; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 5/4; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 37/20; 2; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 56/25; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 14:30:30 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 77/50; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 37/20; 2; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 56/25; 9/5; 21/10; 15/8; 2; 21/10; ; 19/10; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 18:29:02 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
Oviedo; 6/4; 29/20; 7/5; 6/4; 6/4; 29/20; 6/4; 7/5; 31/21; 7/5; 7/5; 7/5; ; 29/20; 8/5; 16/11; 6/4; 16/11; 16/11; 77/50; 23/17; 16/11; 7/5; 7/5; 6/4; ; 7/5; 11/8; 6/4
Draw; 19/10; 19/10; 2; 21/10; 2; 19/10; 85/40; 15/8; 37/19; 2; 2; 2; ; 2; 19/10; 2; 2; 19/10; 2; 21/10; 28/13; 19/10; 15/8; 15/8; 2; ; 19/10; 19/10; 2
Albacete; 21/10; 2; 2; 9/5; 21/10; 37/20; 2; 15/8; 28/13; 2; 2; 2; ; 19/10; 19/10; 2; 37/19; 21/10; 21/10; 56/25; 9/5; 21/10; 15/8; 2; 21/10; ; 15/8; 19/10; 11/5
META; spain/la-liga-segunda/albacete-v-oviedo; 2017-09-22 22:29:01 GMT+3; 2017-09-24 17:00; Nothing; Xlenovo
