META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-05-31 10:18:38 GMT+3; 2018-06-02 15:00; Nothing; Xlenovo
RS Gimnastica; 3/4; 3/4; 83/00; 8/11; 3/4; 8/11; 8/11; 4/5; 3/4; 5/6; 4/6; 4/5
Draw; 12/5; 13/5; 66/25; 5/2; 13/5; 13/5; 5/2; 13/5; 28/11; 13/5; 19/10; 
Rayo Vallecano; 3; 16/5; 10/3; 10/3; 16/5; 10/3; 3; 13/4; 16/5; 7/2; 21/20; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-05-31 14:18:30 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 3/4; 3/4; 87/00; 4/5; 3/4; 5/6; 10/11; 19/20; 4/5; 5/6; 3/4; 9/10; 4/6; 8/11
Draw; 12/5; 5/2; 131/0; 5/2; 13/5; 5/2; 5/2; 12/5; 12/5; 13/5; 28/11; 13/5; 19/10; 
Rayo Vallecano; 3; 16/5; 63/20; 3; 16/5; 3; 27/10; 14/5; 14/5; 16/5; 16/5; 31/10; 21/20; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-05-31 18:17:56 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 1/2; 1/2; 1/2; 1/2; 51/00; 1/2; 1/2; 4/7; 1/2; 1/2; 1/2; 1/2; 1/2; 17/35; 7/15; 4/7; 1/2; 2/5; 1/2; 4/9
Draw; 29/10; 3; 3; 13/4; 10/3; 3; 3; 16/5; 31/10; 100/0; 14/5; 13/4; 57/17; 56/19; 10/3; 3; 10/3; ; ; 
Rayo Vallecano; 6; 24/5; 5; 109/0; 5; 39/10; 5; 9/2; 5; 19/4; 9/2; 53/10; 21/5; 19/5; 11/2; 24/5; 11/2; ; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-05-31 22:17:33 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 9/20; 1/2; 8/15; 1/2; 51/00; 1/2; 1/2; 10/21; 1/2; 1/2; 8/15; 1/2; 8/15; 4/9; 1/2; 5/12; 10/21; 1/2; 4/9; 8/15; 8/15
Draw; 3; 3; 16/5; 10/3; 3; 16/5; 3; 3; 3; 14/5; 31/10; 16/5; 16/5; 10/3; 14/5; 3; ; ; ; ; 
Rayo Vallecano; 7; 9/2; 5; 28/5; 5; 19/4; 19/4; 5; 9/2; 19/4; 5; 60/11; 53/10; 19/4; 11/2; 23/5; 11/2; ; ; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-01 02:17:24 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 9/20; 1/2; 1/2; 1/2; 12/25; 40/85; 1/2; 10/21; 1/2; 1/2; 1/2; 1/2; 8/15; 4/9; 5/11; 5/11; 5/12; 10/21; 1/2; 4/9; 4/9; 4/9
Draw; 3; 3; 67/20; 16/5; 3; 16/5; 3; 3; 3; 14/5; 33/10; 31/10; 16/5; 16/5; 10/3; 3; 10/3; 10/3; ; ; ; 
Rayo Vallecano; 7; 24/5; 5; 29/5; 11/2; 5; 19/4; 19/4; 11/2; 5; 19/4; 5; 76/13; 25/4; 53/10; 19/4; 11/2; 5; 29/5; ; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-01 10:17:25 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 9/20; 4/9; 4/9; 4/9; 11/25; 4/9; 4/9; 10/21; 1/2; 4/9; 4/9; 40/85; 9/20; 4/9; 5/12; 10/21; 5/12; 10/21; 4/9; 4/9; 4/9; 1/2
Draw; 3; 16/5; 16/5; 10/3; 73/20; 10/3; 3; 16/5; 3; 10/3; 16/5; 31/10; 100/0; 3; 39/11; 3; 16/5; 16/5; 18/5; 10/3; 7/2; 10/3
Rayo Vallecano; 7; 11/2; 11/2; 11/2; 119/0; 6; 11/2; 19/4; 19/4; 11/2; 11/2; 5; 11/2; 5; 25/4; 53/10; 19/4; 6; 29/5; 6; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-01 14:17:05 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 4/9; 4/9; 1/2; 4/9; 11/25; 4/9; 4/9; 5/11; 1/2; 4/9; 4/9; 1/2; 9/20; 4/9; 7/17; 10/21; 5/12; 5/11; 9/20; 4/9; 4/9; 2/5; 2/5; 4/9
Draw; 3; 16/5; 16/5; 10/3; 7/2; 10/3; 3; 17/5; 3; 10/3; 10/3; 31/10; 100/0; 3; 7/2; 3; 16/5; 57/17; 17/5; 10/3; 10/3; 11/4; 7/2; 7/2
Rayo Vallecano; 7; 11/2; 5; 11/2; 63/10; 6; 11/2; 21/4; 19/4; 11/2; 11/2; 5; 11/2; 5; 13/2; 25/4; 53/10; 51/10; 13/2; 11/2; 29/5; 9/2; 33/5; 6
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-01 18:17:02 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 2/5; 2/5; 4/9; 4/9; 19/50; 2/5; 2/5; 5/11; 1/2; 2/5; 2/5; 4/9; 4/9; 4/11; 3/8; 10/21; 3/8; 3/7; 4/9; 3/8; 4/11; 2/5; 4/11; 4/11; 4/11
Draw; 15/4; 10/3; 10/3; 10/3; 79/20; 18/5; 10/3; 17/5; 3; 7/2; 10/3; 16/5; 7/2; 10/3; 19/5; 16/5; 38/11; 13/4; 18/5; 50/13; 15/4; 7/2; 3; 7/2; 7/2
Rayo Vallecano; 6; 11/2; 11/2; 11/2; 69/10; 6; 21/4; 19/4; 6; 11/2; 11/2; 11/2; 13/2; 6; 57/10; 5; 13/2; 13/2; 13/2; 32/5; 24/5; 34/5; 34/5; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-01 22:16:50 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 2/5; 2/5; 4/9; 4/9; 39/00; 2/5; 2/5; 3/7; 1/2; 2/5; 4/9; 2/5; 4/9; 4/9; 2/5; 3/8; 5/12; 3/8; 3/7; 4/9; 3/8; 4/11; 4/9; 4/11; 2/5; 4/9
Draw; 15/4; 16/5; 13/4; 10/3; 77/20; 18/5; 10/3; 33/10; 3; 7/2; 10/3; 7/2; 16/5; 7/2; 16/5; 15/4; 18/5; 38/11; 16/5; 15/4; 19/5; 7/2; 7/2; 3; 7/2; 7/2
Rayo Vallecano; 6; 11/2; 11/2; 69/10; 6; 21/4; 19/4; 6; 11/2; 6; 11/2; 11/2; 11/2; 13/2; 25/4; 57/10; 5; 13/2; 13/2; 13/2; 32/5; 24/5; 33/5; 33/5; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 02:16:40 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 2/5; 2/5; 2/5; 4/9; 37/00; 2/5; 4/11; 3/7; 1/2; 2/5; 2/5; 2/5; 4/9; 2/5; 4/11; 7/19; 5/12; 3/8; 3/7; 2/5; 3/8; 4/11; 4/9; 1/3; 2/5; 4/9
Draw; 15/4; 10/3; 10/3; 10/3; 4; 18/5; 7/2; 33/10; 3; 7/2; 10/3; 7/2; 16/5; 7/2; 10/3; 50/13; 18/5; 38/11; 16/5; 15/4; 39/10; 15/4; 7/2; 3; 7/2; 7/2
Rayo Vallecano; 6; 6; 11/2; 36/5; 6; 21/4; 19/4; 6; 6; 11/2; 13/2; 11/2; 13/2; 25/4; 57/10; 5; 13/2; 13/2; 31/5; 5; 34/5; 34/5; ; ; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 10:16:43 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 4/9; 2/5; 4/9; 4/9; 41/00; 2/5; 2/5; 3/7; 1/2; 2/5; 4/9; 2/5; 4/9; 4/9; 2/5; 2/5; 5/12; 3/7; 3/7; 9/20; 7/17; 2/5; 4/9; 2/5; 4/9; 4/9
Draw; 15/4; 16/5; 13/4; 10/3; 19/5; 18/5; 10/3; 33/10; 3; 7/2; 16/5; 7/2; 16/5; 7/2; 16/5; 62/17; 18/5; 17/5; 16/5; 18/5; 37/10; 7/2; 7/2; 7/2; 7/2; 7/2
Rayo Vallecano; 11/2; 6; 11/2; 11/2; 32/5; 6; 11/2; 21/4; 19/4; 11/2; 6; 11/2; 11/2; 11/2; 11/2; 6; 25/4; 27/5; 5; 25/4; 6; 31/5; 31/5; 31/5; 34/5; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 14:16:37 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 9/20; 4/9; 4/9; 4/9; 23/50; 4/9; 4/9; 5/11; 1/2; 4/9; 4/9; 4/9; 40/85; 9/20; 4/9; 3/7; 10/21; 3/7; 3/7; 1/2; 3/7; 4/9; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 16/5; 10/3; 71/20; 17/5; 10/3; 17/5; 3; 10/3; 3; 16/5; 31/10; 100/0; 3; 7/2; 18/5; 17/5; 13/4; 17/5; 39/11; 10/3; 7/2; 7/2; 7/2; 7/2
Rayo Vallecano; 11/2; 11/2; 5; 11/2; 23/4; 6; 27/5; 19/4; 11/2; 11/2; 11/2; 5; 11/2; 5; 5; 27/5; 51/10; 11/2; 6; 11/2; 6; 31/5; 6; 31/5; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 18:16:22 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 9/20; 4/9; 1/2; 4/9; 12/25; 2/5; 4/9; 7/15; 1/2; 4/9; 1/2; 4/9; 1/2; 1/2; 4/9; 3/7; 4/9; 17/35; 5/11; 1/2; 4/9; 40/85; 4/9; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 16/5; 10/3; 15/4; 10/3; 10/3; 13/4; 3; 10/3; 3; 16/5; 31/10; 16/5; 3; 38/11; 15/4; 16/5; 31/10; 10/3; 7/2; 10/3; 7/2; 7/2; 10/3; 7/2
Rayo Vallecano; 11/2; 11/2; 5; 11/2; 5; 13/2; 5; 21/4; 19/4; 11/2; 5; 11/2; 9/2; 5; 29/5; 11/2; 47/10; 5; 11/2; 76/13; 6; 29/5; 6; 6; ; 
META; spain/la-liga-segunda/rs-gimnastica-v-rayo-vallecano; 2018-06-02 22:16:15 GMT+3; 2018-06-02 19:30; Nothing; Xlenovo
RS Gimnastica; 1/33; 71/00; 1/25; 1/40; 1/25; 11/21; 1/33; 1/28; 14/19; 1/16; 1/16; 1/20; 
Draw; 14; 73/25; 16; 18; 10; 16; 41/13; 16; 21/2; 14/5; 88/5; 3; 83/5
Rayo Vallecano; 50; 77/20; 66; 66; 30; 66; 79/17; 55; 55; 57/17; 95; 7/2; 53
