META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-21 22:17:20 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/50; 4/7
Draw; 1/50; 13/5
Lorca; 1/50; 23/5
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-22 02:17:15 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/50; 4/7
Draw; 1/50; 13/5
Lorca; 1/50; 23/5
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-22 10:18:55 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 43/00; 4/11; 1/12; 2/5
Draw; 16/5; 17/5; 10/3; 12/5; 10/3
Lorca; 15/2; 81/10; 15/2; 11/4; 39/5
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-22 14:20:38 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 43/00; 4/11; 2/5; 1/5; 2/5
Draw; 16/5; 17/5; 10/3; 10/3; 12/5; 10/3
Lorca; 15/2; 81/10; 15/2; 13/2; 23/5; 39/5
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-22 18:19:22 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 1/3; 4/11; 7/20; 1/3; 3/10; 1/3; 1/3; 2/7; 4/13; 3/10; 2/7; 1/12; 1/3
Draw; 4; 7/2; 18/5; 10/3; 39/10; 18/5; 4; 7/2; 15/4; 62/17; 15/4; 4; 62/17; 11/5; 7/2
Lorca; 9; 17/2; 17/2; 15/2; 10; 17/2; 9; 8; 19/2; 71/10; 21/2; 19/2; 5/2; 49/5; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-22 22:19:33 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 39/00; 1/3; 1/3; 1/3; 1/3; 2/5; 4/13; 10/29; 1/3; 4/11; 4/13; 1/12; 1/3
Draw; 15/4; 10/3; 7/2; 18/5; 7/2; 18/5; 7/2; 7/2; 10/3; 100/0; 7/2; 39/11; 18/5; 15/4; 7/2; 11/5; 7/2
Lorca; 17/2; 8; 8; 19/2; 8; 8; 7; 63/10; 8; 9; 5/2; 49/5; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-23 02:19:29 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 19/50; 1/3; 1/3; 1/3; 1/3; 7/20; 3/10; 6/17; 10/29; 1/3; 4/11; 4/13; 1/12; 2/7; 1/3
Draw; 15/4; 10/3; 7/2; 18/5; 18/5; 18/5; 7/2; 7/2; 7/2; 7/2; 39/11; 15/4; 39/11; 18/5; 15/4; 18/5; 11/5; 14/5; 7/2
Lorca; 17/2; 8; 8; 19/2; 8; 8; 15/2; 8; 15/2; 63/10; 8; 37/4; 5/2; 37/5; 49/5; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-23 17:29:16 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 6/17; 10/29; 1/3; 4/11; 4/13; 2/7; 1/3; 1/3
Draw; 15/4; 10/3; 7/2; 18/5; 73/20; 18/5; 7/2; 7/2; 10/3; 7/2; 7/2; 39/11; 15/4; 39/11; 18/5; 15/4; 18/5; 14/5; 7/2; 7/2
Lorca; 17/2; 8; 8; 37/4; 8; 8; 17/2; 8; 17/2; 9; 15/2; 63/10; 8; 9; 37/5; 51/5; 49/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-23 22:20:20 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 17/50; 3/10; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 4/13; 6/17; 10/29; 1/3; 4/11; 4/13; 2/7; 1/3; 1/3
Draw; 15/4; 7/2; 7/2; 18/5; 37/10; 18/5; 18/5; 7/2; 7/2; 10/3; 7/2; 7/2; 62/17; 15/4; 39/11; 18/5; 15/4; 37/10; 14/5; 7/2; 7/2
Lorca; 17/2; 8; 8; 39/4; 17/2; 8; 8; 17/2; 8; 17/2; 19/2; 15/2; 63/10; 8; 19/2; 37/5; 51/5; 51/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-24 02:20:48 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 17/50; 3/10; 1/3; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 6/17; 10/29; 1/3; 4/11; 4/13; 2/7; 3/10; 3/10
Draw; 15/4; 10/3; 7/2; 18/5; 15/4; 18/5; 7/2; 18/5; 7/2; 7/2; 10/3; 7/2; 7/2; 37/10; 15/4; 39/11; 18/5; 15/4; 15/4; 14/5; 7/2; 7/2
Lorca; 17/2; 8; 17/2; 8; 19/2; 17/2; 8; 17/2; 8; 17/2; 8; 17/2; 19/2; 15/2; 63/10; 8; 39/4; 37/5; 51/5; 51/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-24 10:21:01 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 17/50; 3/10; 1/3; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 3/10; 6/17; 10/29; 1/3; 4/11; 3/10; 3/10; 3/10; 3/10
Draw; 15/4; 7/2; 7/2; 18/5; 15/4; 18/5; 7/2; 18/5; 7/2; 7/2; 10/3; 7/2; 7/2; 37/10; 15/4; 39/11; 18/5; 15/4; 15/4; 14/5; 7/2; 7/2
Lorca; 17/2; 8; 8; 19/2; 17/2; 8; 8; 17/2; 8; 17/2; 39/4; 15/2; 63/10; 8; 39/4; 36/5; 51/5; 51/5; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-24 14:20:35 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 1/3; 1/3; 1/3; 17/50; 3/10; 1/3; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 1/3; 3/10; 6/17; 10/29; 1/3; 1/3; 3/10; 3/10; 3/10; 3/10
Draw; 15/4; 7/2; 7/2; 18/5; 15/4; 18/5; 7/2; 7/2; 7/2; 7/2; 7/2; 17/5; 15/4; 7/2; 37/10; 15/4; 39/11; 18/5; 15/4; 15/4; 14/5; 7/2; 7/2
Lorca; 17/2; 8; 17/2; 8; 19/2; 17/2; 8; 17/2; 9; 8; 15/2; 8; 17/2; 39/4; 15/2; 63/10; 8; 19/2; 39/4; 36/5; 54/5; 51/5; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-24 18:18:23 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/3; 3/10; 1/3; 1/3; 7/20; 3/10; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 7/20; 1/3; 1/3; 3/10; 6/17; 1/3; 1/3; 1/3; 3/10; 3/10; 3/10; 1/3
Draw; 15/4; 7/2; 7/2; 18/5; 19/5; 18/5; 7/2; 18/5; 7/2; 7/2; 7/2; 7/2; 17/5; 15/4; 7/2; 15/4; 15/4; 62/17; 18/5; 15/4; 15/4; 3; 7/2; 7/2
Lorca; 17/2; 17/2; 17/2; 8; 87/10; 17/2; 8; 17/2; 9; 8; 15/2; 8; 17/2; 39/4; 15/2; 67/10; 8; 19/2; 39/4; 33/5; 54/5; 51/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-24 22:19:14 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 1/3; 1/3; 31/00; 1/4; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 3/10; 2/7; 6/17; 6/19; 3/10; 1/3; 3/10; 1/10; 1/4; 3/10; 1/3
Draw; 15/4; 7/2; 18/5; 18/5; 41/10; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 39/10; 15/4; 62/17; 19/5; 19/5; 75/19; 9/4; 7/2; 7/2; 7/2
Lorca; 9; 17/2; 17/2; 8; 39/4; 12; 9; 17/2; 9; 8; 17/2; 8; 17/2; 21/2; 15/2; 34/5; 9; 19/2; 21/2; 1/100; 6; 54/5; 54/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-25 02:20:56 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 1/3; 1/3; 31/00; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 3/10; 2/7; 6/17; 6/19; 3/10; 1/3; 3/10; 1/10; 1/4; 3/10; 1/3
Draw; 15/4; 15/4; 18/5; 18/5; 41/10; 4; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 39/10; 15/4; 62/17; 19/5; 19/5; 75/19; 19/10; 7/2; 7/2; 7/2; 
Lorca; 9; 17/2; 17/2; 8; 39/4; 10; 9; 17/2; 9; 8; 17/2; 8; 17/2; 21/2; 15/2; 34/5; 9; 19/2; 21/2; 1/100; 6; 54/5; 54/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-25 10:22:05 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 3/10; 1/3; 1/3; 31/00; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 3/10; 2/7; 10/29; 6/19; 3/10; 1/3; 3/10; 1/10; 1/4; 3/10; 1/3
Draw; 7/2; 7/2; 18/5; 18/5; 41/10; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 39/10; 4; 62/17; 19/5; 19/5; 75/19; 19/10; 7/2; 4; 
Lorca; 8; 17/2; 9; 39/4; 10; 9; 9; 17/2; 8; 17/2; 8; 17/2; 41/4; 31/4; 34/5; 9; 19/2; 21/2; 1/100; 6; 54/5; 54/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-25 14:22:14 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 3/10; 1/3; 1/3; 31/00; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 1/3; 3/10; 2/7; 1/10; 1/4; 3/10; 1/3
Draw; 7/2; 15/4; 18/5; 18/5; 41/10; 4; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 39/10; 4; 62/17; 19/5; 19/5; 75/19; 15/4; 19/10; 7/2; 4; ; 
Lorca; 8; 17/2; 9; 39/4; 10; 9; 9; 17/2; 8; 17/2; 8; 17/2; 41/4; 19/2; 34/5; 9; 19/2; 21/2; 9; 7/2; 6; 54/5; 54/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-25 18:21:44 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 3/10; 1/3; 1/3; 31/00; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 1/3; 3/10; 2/7; 1/10; 1/4; 3/10; 3/10
Draw; 7/2; 15/4; 18/5; 18/5; 41/10; 4; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 75/19; 4; 62/17; 19/5; 19/5; 75/19; 15/4; 19/10; 7/2; 4; ; 
Lorca; 8; 17/2; 9; 39/4; 10; 9; 9; 17/2; 8; 17/2; 8; 17/2; 21/2; 19/2; 34/5; 9; 19/2; 21/2; 9; 14/5; 6; 54/5; 54/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-25 22:21:09 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 3/10; 1/3; 1/3; 33/00; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 3/10; 6/19; 3/10; 3/10; 3/10; 3/10; 1/8; 1/4; 3/10; 3/10
Draw; 7/2; 15/4; 18/5; 18/5; 77/20; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 7/2; 50/13; 4; 62/17; 19/5; 4; 39/10; 7/2; 19/10; 7/2; 7/2; 7/2
Lorca; 8; 17/2; 17/2; 8; 19/2; 10; 9; 17/2; 9; 8; 17/2; 8; 17/2; 41/4; 19/2; 34/5; 9; 11; 21/2; 9; 14/5; 31/5; 54/5; 54/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-26 02:22:16 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 2/7; 1/3; 1/3; 8/25; 3/10; 2/7; 3/10; 1/3; 3/10; 1/3; 3/10; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 3/10; 2/7; 1/8; 1/4; 3/10; 3/10
Draw; 15/4; 15/4; 18/5; 18/5; 79/20; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 75/19; 4; 62/17; 19/5; 4; 75/19; 15/4; 3; 7/2; 7/2; 4
Lorca; 10; 9; 39/4; 10; 9; 9; 17/2; 8; 17/2; 8; 21/2; 19/2; 34/5; 9; 11; 21/2; 9; 7/2; 31/5; 54/5; 51/5; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-26 10:22:37 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 2/7; 1/3; 1/3; 8/25; 3/10; 2/7; 3/10; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 2/7; 3/10; 2/9; 1/4; 3/10; 3/10
Draw; 15/4; 15/4; 18/5; 18/5; 79/20; 4; 7/2; 39/10; 18/5; 4; 15/4; 15/4; 18/5; 15/4; 15/4; 75/19; 4; 62/17; 19/5; 4; 15/4; 5/2; 7/2; 4; ; 
Lorca; 10; 9; 39/4; 10; 9; 9; 8; 17/2; 8; 21/2; 19/2; 34/5; 9; 11; 21/2; 10; 14/5; 31/5; 54/5; 54/5; ; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-26 14:23:18 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 2/7; 1/3; 1/3; 8/25; 3/10; 2/7; 3/10; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 2/7; 3/10; 1/3; 1/4; 3/10; 3/10
Draw; 15/4; 15/4; 18/5; 18/5; 79/20; 4; 7/2; 39/10; 18/5; 4; 15/4; 15/4; 18/5; 15/4; 15/4; 75/19; 4; 62/17; 19/5; 4; 15/4; 5/2; 7/2; 4; ; 
Lorca; 10; 9; 39/4; 10; 9; 9; 8; 17/2; 8; 21/2; 19/2; 34/5; 9; 11; 21/2; 10; 14/5; 31/5; 54/5; 54/5; ; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-26 18:23:07 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 1/3; 1/3; 8/25; 3/10; 3/10; 3/10; 1/3; 3/10; 1/3; 3/10; 3/10; 1/3; 1/3; 2/7; 3/10; 6/19; 3/10; 3/10; 3/10; 3/10; 1/3; 1/4; 3/10; 3/10
Draw; 15/4; 7/2; 18/5; 18/5; 39/10; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 7/2; 50/13; 4; 62/17; 19/5; 4; 39/10; 15/4; 19/10; 7/2; 7/2; 7/2
Lorca; 10; 9; 10; 10; 9; 9; 17/2; 17/2; 9; 9; 43/4; 19/2; 34/5; 9; 11; 43/4; 10; 14/5; 32/5; 54/5; 54/5; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-26 22:22:46 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 3/10; 1/3; 31/00; 3/10; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 3/10; 3/10; 1/3; 1/4; 3/10; 3/10
Draw; 15/4; 7/2; 18/5; 18/5; 81/20; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 18/5; 15/4; 15/4; 50/13; 4; 62/17; 19/5; 4; 39/10; 15/4; 19/10; 7/2; 7/2; 7/2
Lorca; 10; 9; 10; 10; 9; 9; 8; 8; 21/2; 19/2; 34/5; 9; 11; 43/4; 10; 14/5; 32/5; 54/5; 54/5; ; ; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-27 02:22:41 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 1/3; 1/3; 31/00; 3/10; 2/7; 3/10; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 2/7; 3/10; 6/19; 3/10; 3/10; 2/7; 3/10; 2/9; 1/4; 3/10; 3/10
Draw; 15/4; 7/2; 18/5; 18/5; 81/20; 4; 7/2; 39/10; 18/5; 4; 7/2; 15/4; 7/2; 15/4; 15/4; 39/10; 4; 62/17; 19/5; 4; 75/19; 15/4; 19/10; 7/2; 4; 
Lorca; 10; 9; 10; 10; 9; 9; 10; 17/2; 17/2; 8; 43/4; 19/2; 34/5; 9; 21/2; 43/4; 10; 7/2; 32/5; 54/5; 54/5; ; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-27 10:22:42 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 4/11; 2/7; 1/3; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 1/3; 1/3; 3/10; 2/7; 3/10; 4/13; 3/10; 1/3; 2/7; 2/7; 3/10; 2/7; 3/10; 3/10
Draw; 7/2; 15/4; 15/4; 18/5; 85/20; 4; 39/10; 15/4; 4; 15/4; 4; 18/5; 15/4; 15/4; 4; 50/13; 19/5; 4; 77/19; 4; 7/2; 21/5; 21/5; ; ; 
Lorca; 8; 17/2; 17/2; 8; 39/4; 19/2; 8; 17/2; 9; 17/2; 8; 8; 17/2; 41/4; 19/2; 77/10; 9; 10; 21/2; 10; 54/5; 51/5; 54/5; 56/5; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-27 14:23:00 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 3/10; 3/10; 2/7; 1/3; 7/25; 2/7; 2/7; 5/19; 3/10; 2/7; 3/10; 3/10; 3/10; 30/00; 2/7; 1/4; 3/10; 2/7; 5/19; 2/7; 5/19; 1/4; 3/10; 3/10; 1/4; 3/10
Draw; 4; 15/4; 4; 18/5; 22/5; 4; 7/2; 43/10; 19/5; 4; 4; 15/4; 17/4; 15/4; 9/2; 4; 41/10; 17/4; 22/5; 9/2; 17/4; 9/2; 23/5; 23/5; 23/5; 
Lorca; 10; 17/2; 9; 21/2; 10; 10; 9; 17/2; 8; 17/2; 8; 11; 19/2; 81/10; 10; 21/2; 45/4; 10; 57/5; 56/5; 59/5; 59/5; ; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-27 18:22:15 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 1/4; 3/10; 2/7; 3/10; 13/50; 1/4; 1/4; 5/19; 3/10; 1/4; 2/7; 2/7; 2/7; 30/00; 1/4; 3/13; 5/18; 5/18; 5/19; 2/7; 4/17; 1/4; 1/4; 1/4; 3/10; 2/7
Draw; 17/4; 15/4; 4; 19/5; 47/10; 9/2; 4; 43/10; 19/5; 9/2; 15/4; 17/4; 19/5; 17/4; 15/4; 47/10; 17/4; 41/10; 17/4; 22/5; 19/4; 9/2; 23/5; 23/5; 24/5; 24/5
Lorca; 12; 17/2; 10; 17/2; 11; 11; 10; 10; 10; 17/2; 9; 9; 12; 21/2; 83/10; 10; 21/2; 12; 11; 62/5; 63/5; 61/5; 61/5; ; ; 
META; spain/la-liga-segunda/osasuna-v-lorca; 2018-05-27 22:21:45 GMT+3; 2018-05-27 19:30; Nothing; Xlenovo
Osasuna; 9/25; 8/13; 8/15; 11/20; 4/7; 10/21; 10/17; 4/7; 4/9; 4/7; 4/7; 4/7
Draw; 39/10; 19/10; 12/5; 2; 27/11; 21/10; 21/10; 11/4; 9/4; 23/10; 9/4; 
Lorca; 41/5; 7; 17/2; 15/2; 29/4; 33/5; 8; 15/2; 44/5; 7; 43/5; 
